Date,Open,High,Low,Close,Volume,Change
2015-01-02,78200,78400,76800,77000,154013,-0.020356234096692072
2015-01-05,76400,76600,73600,74600,265594,-0.03116883116883118
2015-01-06,72800,73300,70300,70800,353518,-0.05093833780160861
2015-01-07,70000,72000,69600,70100,224750,-0.009887005649717562
2015-01-08,71100,71400,70100,70100,147867,0.0
2015-01-09,71300,73000,70600,72600,260904,0.03566333808844502
2015-01-12,72300,74400,71700,73500,169571,0.012396694214876103
2015-01-13,72700,73400,71600,73000,156542,-0.006802721088435382
2015-01-14,73400,74600,72200,72300,138450,-0.009589041095890427
2015-01-15,73200,74200,72700,74200,187577,0.026279391424619547
2015-01-16,73500,73900,70900,72100,218023,-0.028301886792452824
2015-01-19,73400,73900,72100,73000,269474,0.012482662968099856
2015-01-20,73200,75400,73200,73500,213450,0.006849315068493178
2015-01-21,73300,73300,71700,72700,151046,-0.010884353741496544
2015-01-22,73300,76000,73300,74800,270027,0.028885832187070193
2015-01-23,76200,76700,73100,73200,221924,-0.021390374331550777
2015-01-26,73400,73700,72300,73100,96982,-0.001366120218579181
2015-01-27,73200,74900,73200,74900,150770,0.024623803009576006
2015-01-28,74400,79300,74200,79000,417947,0.05473965287049398
2015-01-29,77800,79200,76800,78500,249772,-0.006329113924050667
2015-01-30,79400,80900,78200,78200,258369,-0.003821656050955413
2015-02-02,79300,83400,78900,81300,428664,0.03964194373401542
2015-02-03,85500,86300,82700,83000,555993,0.02091020910209096
2015-02-04,86000,86000,83500,84200,304264,0.014457831325301207
2015-02-05,82500,83000,80100,81300,274463,-0.03444180522565321
2015-02-06,82700,86300,81100,85700,528391,0.05412054120541199
2015-02-09,85700,86500,84000,85700,252865,0.0
2015-02-10,85800,88000,82800,88000,412069,0.02683780630105015
2015-02-11,88800,89600,86000,86100,500037,-0.021590909090909105
2015-02-12,86000,86000,84200,84600,249947,-0.017421602787456414
2015-02-13,85800,86000,84600,84800,170523,0.0023640661938533203
2015-02-16,84900,85700,83000,83000,220228,-0.021226415094339646
2015-02-17,83600,86900,83000,86800,280574,0.04578313253012056
2015-02-23,87100,88900,86800,87800,311955,0.011520737327188835
2015-02-24,87900,88200,86600,88100,192349,0.003416856492027387
2015-02-25,89400,94600,89100,93200,794486,0.057888762769580104
2015-02-26,94300,95700,91900,94700,416669,0.016094420600858417
2015-02-27,94500,99300,94000,98000,566536,0.03484688489968324
2015-03-02,99400,112500,99300,112500,1170794,0.1479591836734695
2015-03-03,112500,122000,107500,113500,2149960,0.008888888888888946
2015-03-04,113000,118000,110000,112500,697911,-0.008810572687224627
2015-03-05,114000,118000,113000,114000,534065,0.01333333333333342
2015-03-06,117500,131000,117000,128000,1794935,0.12280701754385959
2015-03-09,128500,130500,124000,127500,888626,-0.00390625
2015-03-10,129000,129500,117500,120500,1082356,-0.05490196078431375
2015-03-11,117000,121500,115000,119500,674479,-0.008298755186721962
2015-03-12,119000,119000,110000,110000,1094423,-0.07949790794979084
2015-03-13,111000,113500,108500,109500,542636,-0.004545454545454519
2015-03-16,108000,109000,105000,108000,564544,-0.013698630136986356
2015-03-17,108000,111500,106500,110500,568641,0.02314814814814814
2015-03-18,110500,111000,102500,105000,705759,-0.04977375565610864
2015-03-19,108500,112500,107500,109000,761879,0.03809523809523818
2015-03-20,108000,111500,104500,111500,460181,0.022935779816513735
2015-03-23,113000,114500,111000,111500,330622,0.0
2015-03-24,112000,116000,112000,112500,304439,0.008968609865470878
2015-03-25,113000,113000,104500,105000,584518,-0.06666666666666665
2015-03-26,105000,107500,102000,103000,563427,-0.01904761904761909
2015-03-27,105000,105500,101000,102000,379299,-0.009708737864077666
2015-03-30,103000,104000,101500,102500,213036,0.004901960784313708
2015-03-31,103500,104500,100500,103500,287486,0.009756097560975618
2015-04-01,102000,103000,98500,98500,489195,-0.048309178743961345
2015-04-02,98600,101500,98300,99100,235890,0.006091370558375608
2015-04-03,99700,103500,98500,102500,255086,0.034308779011099855
2015-04-06,102000,102500,99700,100500,176397,-0.019512195121951237
