Date,Open,High,Low,Close,Volume,Change
2015-01-02,68140,68912,67330,68296,1433,-0.005605626010104725
2015-01-05,67793,69838,66751,67755,1517,-0.007921400960524738
2015-01-06,67099,68218,66173,66173,1513,-0.023348830344623983
2015-01-07,66365,67330,65786,66752,1119,0.00874979221132488
2015-01-08,66635,67947,66597,66791,903,0.0005842521572387849
2015-01-09,66905,68217,66905,67794,1097,0.015016993307481519
2015-01-12,68873,69336,68024,69183,1044,0.020488538808744128
2015-01-13,69182,69529,68526,68720,1634,-0.006692395530694006
2015-01-14,68796,72616,68796,72386,2739,0.05334691501746214
2015-01-15,72076,74276,71189,71382,2108,-0.013870085375625174
2015-01-16,72539,73041,71227,72424,1479,0.014597517581463215
2015-01-19,72424,73002,70996,71537,1012,-0.012247321329945882
2015-01-20,71536,76359,71536,73157,3148,0.022645623942854742
2015-01-21,73388,74237,71767,72347,1712,-0.011072077859945018
2015-01-22,71961,72964,71420,72810,984,0.006399712496717225
2015-01-23,72230,73233,71883,72656,1113,-0.002115094080483493
2015-01-26,72231,73118,71189,71884,914,-0.01062541290464658
2015-01-27,71536,72539,71420,72154,675,0.003756051416170525
2015-01-28,71921,72384,71574,72077,640,-0.0010671619037059266
2015-01-29,71575,72501,71421,72000,692,-0.0010683019548538564
2015-01-30,72153,72848,71767,72116,1134,0.0016111111111110077
2015-02-02,71497,72771,71343,71768,786,-0.004825558821898057
2015-02-03,71536,72308,71536,72038,1069,0.003762122394382006
2015-02-04,71921,72384,71690,72077,925,0.0005413809378382872
2015-02-05,71729,73118,71266,72849,1509,0.010710767651261888
2015-02-06,72307,74237,72307,73157,674,0.004227923513020038
2015-02-09,73156,74005,72539,72540,910,-0.00843391609825439
2015-02-10,72500,73272,71459,71768,1289,-0.010642404190791321
2015-02-11,71613,72462,71304,71614,1143,-0.0021458031434622438
2015-02-12,71227,71574,69568,69685,2405,-0.02693607395202058
2015-02-13,70224,71265,70031,71151,772,0.021037526009901608
2015-02-16,70610,72462,70610,72154,811,0.014096780087419658
2015-02-17,72423,72616,71883,72270,618,0.0016076724783102847
2015-02-23,72307,73580,72076,72116,1095,-0.002130898021308947
2015-02-24,71767,73273,71266,71421,1238,-0.009637251095457322
2015-02-25,71922,71961,71459,71460,606,0.0005460578821354645
2015-02-26,71536,71999,70224,70263,944,-0.01675062972292196
2015-02-27,70301,70995,69877,70186,1342,-0.0010958826124702892
2015-03-02,69877,70803,68796,68913,1356,-0.018137520303194377
2015-03-03,68411,70224,68333,69453,1690,0.0078359670889383
