Date,Open,High,Low,Close,Volume,Change
2015-01-02,51100,51400,49550,49650,130343,-0.032163742690058506
2015-01-05,49500,49850,48450,49300,105841,-0.007049345417925457
2015-01-06,48800,48800,46800,47100,253503,-0.04462474645030423
2015-01-07,46850,47550,46500,46550,155428,-0.011677282377919318
2015-01-08,46800,47900,46500,47750,167238,0.025778732545649774
2015-01-09,47900,48800,47400,48500,106248,0.015706806282722585
2015-01-12,48500,49700,47950,49100,87264,0.012371134020618513
2015-01-13,49400,49400,48150,48900,67421,-0.004073319755600768
2015-01-14,48900,48950,47700,47700,72860,-0.024539877300613466
2015-01-15,47500,48050,46500,47850,149271,0.003144654088050425
2015-01-16,47900,47900,46100,46150,173704,-0.03552769070010453
2015-01-19,46250,47000,45550,45800,158425,-0.007583965330444253
2015-01-20,45750,46850,45100,45350,220954,-0.009825327510917026
2015-01-21,45400,45600,43900,44900,295977,-0.009922822491730932
2015-01-22,45500,45500,42900,43150,403123,-0.03897550111358572
2015-01-23,43550,43750,41700,41850,419877,-0.030127462340672095
2015-01-26,41700,43350,41700,42550,216877,0.016726403823178027
2015-01-27,42550,43150,42200,42850,157118,0.007050528789659172
2015-01-28,42600,43300,42350,43250,149251,0.009334889148191472
2015-01-29,43250,43800,42800,43100,144696,-0.003468208092485603
2015-01-30,43450,43450,42100,42650,191310,-0.01044083526682138
2015-02-02,42650,43150,41900,43000,201736,0.008206330597889888
2015-02-03,43000,43000,42150,42400,160172,-0.013953488372092981
2015-02-04,42700,43900,42550,43850,319608,0.034198113207547065
2015-02-05,43550,43700,42850,43000,259655,-0.019384264538198415
2015-02-06,43050,43350,42200,43000,172538,0.0
2015-02-09,43200,43950,43050,43950,176417,0.02209302325581386
2015-02-10,44350,46650,44300,46450,507257,0.056882821387940874
2015-02-11,46450,46950,45400,46250,251715,-0.0043057050592034685
2015-02-12,46300,46350,45200,45500,173034,-0.01621621621621616
2015-02-13,45750,46850,44500,45500,211658,0.0
2015-02-16,46000,46100,43550,43650,354344,-0.040659340659340626
2015-02-17,43350,46350,42150,46100,395582,0.056128293241695326
2015-02-23,46850,48300,46250,48050,315458,0.042299349240780826
2015-02-24,48150,48550,47200,47600,218023,-0.009365244536940653
2015-02-25,47650,48950,47600,48850,182775,0.02626050420168058
2015-02-26,48900,49350,47900,48700,150775,-0.0030706243602866
2015-02-27,48550,48600,47450,48000,184714,-0.014373716632443578
2015-03-02,48500,49500,47200,49500,241714,0.03125
2015-03-03,49800,50700,49100,50500,265365,0.02020202020202011
2015-03-04,54400,55100,50100,50700,996033,0.003960396039603964
2015-03-05,51500,52700,50700,51100,310484,0.007889546351084853
2015-03-06,51400,52200,50500,51800,230613,0.013698630136986356
2015-03-09,50800,51600,50000,50300,159945,-0.02895752895752901
2015-03-10,50500,50700,48150,48300,298602,-0.03976143141153077
2015-03-11,47950,48250,46200,46950,478719,-0.02795031055900621
2015-03-12,46950,47800,46150,47200,169348,0.005324813631522929
2015-03-13,47200,47600,46500,47250,120618,0.0010593220338983578
2015-03-16,47300,47300,45500,45600,140264,-0.03492063492063491
2015-03-17,46000,46000,45450,45750,158916,0.00328947368421062
2015-03-18,46000,47200,45750,46400,174944,0.014207650273224015
2015-03-19,47000,47050,45950,46500,146261,0.0021551724137931494
2015-03-20,46750,46800,45550,45900,128803,-0.012903225806451646
2015-03-23,46000,46900,45900,46700,98591,0.017429193899782147
2015-03-24,47100,48200,46800,47950,164404,0.02676659528907921
2015-03-25,48200,48700,47500,48500,153306,0.011470281543274341
2015-03-26,48100,48750,47700,47950,110482,-0.01134020618556697
2015-03-27,48050,48400,47450,48000,133677,0.0010427528675704956
2015-03-30,47800,48450,46850,48350,176110,0.007291666666666696
2015-03-31,48700,48700,47700,48250,106253,-0.0020682523267838704
2015-04-01,48100,48150,47000,47100,100919,-0.023834196891191706
2015-04-02,46800,47350,46150,46400,123784,-0.014861995753715496
2015-04-03,46350,46850,45800,46450,146837,0.0010775862068965747
2015-04-06,46450,46600,45550,45900,163895,-0.011840688912809427
2015-04-07,45900,46600,45900,46050,85820,0.0032679738562091387
2015-04-08,46600,47200,44050,44300,442832,-0.03800217155266017
2015-04-09,44500,44500,43450,43800,271696,-0.011286681715575675
2015-04-10,43800,44550,43600,44400,181576,0.013698630136986356
2015-04-13,44200,44400,43800,43900,200350,-0.011261261261261257
2015-04-14,44200,45700,44050,45650,290710,0.03986332574031892
2015-04-15,45900,46150,45150,45450,157835,-0.004381161007667056
2015-04-16,45700,46250,45300,45350,158885,-0.002200220022002153
2015-04-17,45700,46100,44900,45100,247396,-0.005512679162072764
2015-04-20,44600,45350,44350,45150,116530,0.0011086474501109667
2015-04-21,45600,45850,45150,45300,169651,0.0033222591362125353
2015-04-22,45300,46900,44900,46250,427015,0.020971302428256067
2015-04-23,47950,48150,45700,45800,475401,-0.009729729729729741
2015-04-24,45550,45700,44200,44450,419597,-0.029475982532751077
2015-04-27,43150,43450,42650,42750,490101,-0.038245219347581516
2015-04-28,42900,43350,42000,42100,364012,-0.01520467836257311
2015-04-29,42400,42850,41800,42250,267102,0.0035629453681709222
2015-04-30,42000,42200,41700,41700,254177,-0.013017751479289963
2015-05-04,41750,41950,40700,40900,262682,-0.01918465227817745
2015-05-06,40700,42500,40650,41450,234756,0.01344743276283622
2015-05-07,41450,41500,40150,40400,242657,-0.02533172496984315
2015-05-08,40750,41350,40600,41300,103641,0.022277227722772297
2015-05-11,41450,42050,40700,40900,147396,-0.009685230024213065
2015-05-12,40900,41200,40350,40750,140101,-0.003667481662591676
2015-05-13,40650,40850,39900,39950,258397,-0.019631901840490795
2015-05-14,40050,40150,39300,39400,296912,-0.013767209011264048
2015-05-15,39600,39750,38600,38650,263790,-0.019035532994923887
2015-05-18,38650,38750,37600,37800,298412,-0.021992238033635148
2015-05-19,37700,38800,37700,38100,189918,0.007936507936507908
2015-05-20,38350,38700,37600,37650,158135,-0.011811023622047223
2015-05-21,37650,37650,36150,36200,349519,-0.038512616201859196
2015-05-22,35800,38250,35800,38200,339339,0.05524861878453047
2015-05-26,38200,39350,36800,37200,293938,-0.02617801047120416
2015-05-27,37000,38000,36950,37750,151666,0.014784946236559238
2015-05-28,37800,39200,37500,38650,265205,0.02384105960264904
2015-05-29,38900,38900,37850,37850,150177,-0.02069857697283317
2015-06-01,37950,38800,37300,38800,155035,0.025099075297225992
2015-06-02,39200,39700,38300,38600,206683,-0.005154639175257714
2015-06-03,38750,38900,37100,37300,178112,-0.033678756476683946
2015-06-04,37500,38000,36900,37300,123097,0.0
2015-06-05,37100,38400,37050,38400,126347,0.029490616621983934
2015-06-08,38500,39350,37750,38050,183605,-0.00911458333333337
2015-06-09,39000,41450,38850,40000,797264,0.05124835742444156
2015-06-10,40150,40400,39050,39350,278853,-0.016249999999999987
2015-06-11,39650,40900,39050,40900,297938,0.03939008894536222
2015-06-12,41250,41300,39500,39700,198621,-0.02933985330073352
2015-06-15,39150,40050,38200,38200,172183,-0.03778337531486142
2015-06-16,37500,39350,37450,39350,223840,0.030104712041884918
2015-06-17,39600,41400,39200,41100,367692,0.044472681067344366
2015-06-18,41400,43000,41100,42700,444374,0.038929440389294356
2015-06-19,43000,43400,41950,42750,268420,0.0011709601873535203
2015-06-22,42800,43500,41850,42350,221912,-0.009356725146198785
2015-06-23,42400,42700,41350,41650,197448,-0.016528925619834656
2015-06-24,41900,42650,41300,42500,165243,0.020408163265306145
2015-06-25,42400,42400,40950,41000,181483,-0.03529411764705881
2015-06-26,40700,40950,40000,40300,145502,-0.017073170731707332
2015-06-29,39450,39600,38100,38250,209167,-0.0508684863523573
2015-06-30,38000,39000,38000,38350,138515,0.002614379084967311
2015-07-01,38450,38800,38150,38650,150917,0.007822685788787531
2015-07-02,38750,39350,38550,38950,115684,0.0077619663648125226
2015-07-03,38950,40100,38450,39700,149801,0.019255455712451797
2015-07-06,39400,39400,38050,38150,126303,-0.03904282115869018
2015-07-07,38700,38800,37500,38250,126538,0.002621231979030192
2015-07-08,38500,39100,37950,38200,72515,-0.0013071895424836555
2015-07-09,37650,37900,36900,37300,190959,-0.023560209424083767
2015-07-10,37300,37550,36000,36600,354538,-0.018766756032171594
2015-07-13,36950,37850,36650,37700,85460,0.030054644808743092
2015-07-14,37900,38300,37450,37500,97626,-0.0053050397877983935
2015-07-15,37550,38300,37300,37450,84143,-0.0013333333333332975
2015-07-16,37550,37800,37250,37400,75648,-0.001335113484646211
2015-07-17,37400,37500,36400,36600,153836,-0.021390374331550777
2015-07-20,36900,37100,36600,36700,54098,0.002732240437158362
2015-07-21,36950,37200,36300,36500,76114,-0.00544959128065392
2015-07-22,36350,36750,36350,36500,70175,0.0
2015-07-23,36650,36900,36000,36000,79159,-0.013698630136986356
2015-07-24,36050,36050,33100,33150,361735,-0.07916666666666672
2015-07-27,32500,33450,32350,32700,126760,-0.013574660633484115
2015-07-28,31500,31900,30750,30850,380140,-0.05657492354740057
2015-07-29,30850,31050,29100,29150,391381,-0.05510534846029169
2015-07-30,28900,29500,28000,28100,322290,-0.03602058319039447
2015-07-31,27900,28650,27500,28150,214415,0.001779359430605032
2015-08-03,28300,29750,28150,28850,242271,0.0248667850799289
2015-08-04,29300,29300,28500,28850,119147,0.0
2015-08-05,28350,28800,27700,28150,189952,-0.024263431542461023
2015-08-06,28300,28650,27850,28100,147397,-0.001776198934280604
2015-08-07,28150,28150,27600,27700,102941,-0.014234875444839812
2015-08-10,27550,27900,25600,25800,265942,-0.06859205776173283
2015-08-11,25850,26700,25750,26050,177619,0.009689922480620172
2015-08-12,26000,26350,25300,25750,124317,-0.01151631477927062
2015-08-13,25800,26750,25650,26250,137181,0.01941747572815533
2015-08-17,26200,26450,25850,25850,68893,-0.015238095238095273
2015-08-18,26150,26200,25600,25750,96070,-0.003868471953578312
2015-08-19,25650,25850,23900,24050,197497,-0.06601941747572815
2015-08-20,24050,24450,23250,23300,156468,-0.03118503118503113
2015-08-21,22550,23150,22100,22850,256917,-0.01931330472102999
2015-08-24,22500,23900,22500,22850,187219,0.0
2015-08-25,22800,23850,22500,23750,146325,0.03938730853391692
2015-08-26,23950,24400,23500,24300,135589,0.023157894736842044
2015-08-27,24550,24800,24000,24150,107885,-0.006172839506172867
2015-08-28,24400,26300,24300,25700,247578,0.06418219461697716
2015-08-31,25950,25950,24900,25200,153259,-0.01945525291828798
2015-09-01,25100,25700,24750,24900,92797,-0.011904761904761862
2015-09-02,24200,24900,23800,24900,266279,0.0
2015-09-03,26000,32300,25800,31100,2734372,0.24899598393574296
2015-09-04,31400,31700,27650,28100,1054614,-0.09646302250803862
2015-09-07,28000,29600,27650,28250,489969,0.005338078291814874
2015-09-08,28300,28750,26900,27100,329644,-0.04070796460176995
2015-09-09,27250,28000,27200,27600,257628,0.01845018450184499
2015-09-10,27050,29500,27000,29100,421965,0.05434782608695654
2015-09-11,29100,29900,28350,29250,232328,0.005154639175257714
2015-09-14,29700,29700,28550,28750,144470,-0.017094017094017144
2015-09-15,28650,29800,28650,29700,173102,0.03304347826086951
2015-09-16,30150,30600,29800,30000,254405,0.010101010101010166
2015-09-17,30300,30500,29650,29850,196417,-0.0050000000000000044
2015-09-18,30100,30250,29300,29750,132192,-0.00335008375209378
2015-09-21,29400,29650,28650,28800,174324,-0.031932773109243695
2015-09-22,28850,29250,28750,29000,96009,0.00694444444444442
2015-09-23,28900,29600,28500,29300,116399,0.010344827586206806
2015-09-24,29300,29700,28900,29000,102567,-0.010238907849829393
2015-09-25,29000,30800,28750,30450,301374,0.050000000000000044
