Date,Open,High,Low,Close,Volume,Change
2015-01-02,48000,49150,47200,48600,277660,0.004132231404958775
2015-01-05,48000,48700,46750,48250,482876,-0.007201646090534974
2015-01-06,46950,47750,45050,45100,648975,-0.06528497409326428
2015-01-07,45100,46750,45000,45300,429378,0.0044345898004434225
2015-01-08,46250,46600,45600,46500,298402,0.026490066225165476
2015-01-09,47050,49000,46100,48600,534327,0.04516129032258065
2015-01-12,48500,50400,48200,48850,408784,0.005144032921810648
2015-01-13,48250,49450,47150,48600,396731,-0.0051177072671443335
2015-01-14,48850,50600,48800,50100,504328,0.030864197530864113
2015-01-15,51000,51500,49450,50200,471881,0.001996007984031989
2015-01-16,50200,50200,48450,48900,332484,-0.02589641434262946
2015-01-19,50600,53900,50300,53900,1283979,0.10224948875255624
2015-01-20,53600,54800,53000,54500,669938,0.011131725417439675
2015-01-21,53600,54800,53000,54800,486439,0.005504587155963359
2015-01-22,55100,57800,55000,56100,973450,0.02372262773722622
2015-01-23,56700,58100,55300,56400,752343,0.005347593582887722
2015-01-26,55700,55900,54600,55000,383390,-0.024822695035460973
2015-01-27,55600,58200,55100,58200,615574,0.05818181818181811
2015-01-28,58000,59900,57900,58200,656055,0.0
2015-01-29,57400,60000,56300,58200,600250,0.0
2015-01-30,59500,60600,57700,60500,778834,0.03951890034364269
2015-02-02,63400,64700,60200,60200,1507847,-0.0049586776859503745
2015-02-03,61700,63800,60900,63500,1137757,0.054817275747508276
2015-02-04,65300,66000,62100,62900,1268010,-0.009448818897637823
2015-02-05,61000,63600,60800,62100,689464,-0.012718600953895098
2015-02-06,63400,63900,62300,63000,735290,0.01449275362318847
2015-02-09,62200,63900,62000,62800,540956,-0.0031746031746031633
2015-02-10,62500,64000,62000,62200,572873,-0.009554140127388533
2015-02-11,62200,62800,61500,62000,395946,-0.003215434083601254
2015-02-12,61500,62000,59400,59900,870052,-0.03387096774193543
2015-02-13,60900,63000,60000,62800,542183,0.048414023372287174
2015-02-16,64000,64100,61500,61900,313984,-0.014331210191082855
2015-02-17,61900,63400,61400,62800,290739,0.01453957996768973
2015-02-23,63200,63300,62200,63000,243795,0.0031847133757962887
2015-02-24,62800,63900,62400,63200,287742,0.0031746031746031633
2015-02-25,63200,65700,63200,65300,484076,0.03322784810126578
2015-02-26,65900,66400,65100,66400,354911,0.016845329249617125
2015-02-27,65300,65700,64400,64800,391485,-0.02409638554216864
2015-03-02,65700,67700,65700,67600,539836,0.043209876543209846
2015-03-03,67600,68600,66200,68400,449536,0.01183431952662728
2015-03-04,68600,68600,64500,64900,902088,-0.051169590643274865
2015-03-05,64900,67700,64800,67300,550798,0.036979969183358996
2015-03-06,67900,68000,66900,68000,376766,0.010401188707280795
2015-03-09,66400,67900,66400,67400,187124,-0.008823529411764675
2015-03-10,67800,68000,64500,65300,487743,-0.03115727002967361
2015-03-11,63600,64300,62400,62500,692359,-0.04287901990811638
2015-03-12,62800,65300,62400,63000,826187,0.008000000000000007
2015-03-13,63700,63700,61300,61800,524785,-0.01904761904761909
2015-03-16,60600,60700,58700,58900,763321,-0.046925566343042124
2015-03-17,58800,61500,58700,61400,501821,0.042444821731748794
2015-03-18,60700,61600,59800,60600,343941,-0.013029315960912058
2015-03-19,63000,64000,62400,63000,576767,0.03960396039603964
2015-03-20,62500,63600,61900,63600,230403,0.00952380952380949
2015-03-23,64500,64700,62600,62600,295715,-0.01572327044025157
2015-03-24,63200,63300,61200,62200,357490,-0.006389776357827448
2015-03-25,62300,62400,60100,60500,372749,-0.02733118971061088
2015-03-26,61300,63600,61100,63300,567119,0.046280991735537125
2015-03-27,65000,65200,63400,63800,433547,0.00789889415481837
2015-03-30,62100,63800,62100,63100,208551,-0.010971786833855801
2015-03-31,63300,64400,62600,64300,244469,0.019017432646592614
2015-04-01,64600,67000,63100,66700,723260,0.03732503888024885
2015-04-02,68000,69000,66900,67000,602585,0.004497751124437732
2015-04-03,66500,68000,65000,67200,538092,0.0029850746268655914
2015-04-06,65900,66900,64700,65600,414124,-0.023809523809523836
2015-04-07,67600,67800,66500,66500,295432,0.013719512195121908
2015-04-08,68000,72700,67900,72400,1541497,0.08872180451127809
2015-04-09,70900,73300,70700,72700,503813,0.004143646408839796
2015-04-10,73500,73700,71700,72700,277098,0.0
2015-04-13,73500,75300,72200,73900,442468,0.016506189821182904
2015-04-14,74500,75500,72200,72800,387667,-0.014884979702300405
2015-04-15,74000,74700,73200,73900,304848,0.015109890109890056
2015-04-16,77600,79000,74400,74900,825265,0.013531799729364025
2015-04-17,75600,75600,73000,74400,346395,-0.006675567423230944
2015-04-20,73500,77400,73100,76700,425606,0.03091397849462374
2015-04-21,76500,78100,76100,76300,293107,-0.0052151238591916504
2015-04-22,76400,78600,75700,76500,378141,0.002621231979030192
2015-04-23,76900,78800,76800,78100,419727,0.020915032679738488
2015-04-24,79400,79600,75400,76500,447968,-0.020486555697823317
2015-04-27,77500,77900,73300,74500,755420,-0.02614379084967322
2015-04-28,75500,76500,73600,74900,578651,0.005369127516778427
2015-04-29,75700,75700,72500,73700,417852,-0.01602136181575431
2015-04-30,74400,74500,72700,73400,318859,-0.004070556309362261
2015-05-04,74200,74500,72500,73000,204319,-0.00544959128065392
2015-05-06,74000,75000,73000,73800,283100,0.010958904109588996
2015-05-07,74500,74700,71700,72600,277444,-0.016260162601625994
2015-05-08,72500,72500,69500,70700,396701,-0.026170798898071612
2015-05-11,71100,71700,70400,70700,217706,0.0
2015-05-12,71000,71000,68300,69200,477799,-0.021216407355021172
2015-05-13,70100,72100,69500,71200,424986,0.028901734104046284
2015-05-14,71300,71500,69400,69500,282024,-0.023876404494381998
2015-05-15,69500,69900,66700,66700,502354,-0.0402877697841727
2015-05-18,66700,68700,66600,67500,235085,0.011994002998500841
2015-05-19,67800,70000,66600,70000,333406,0.03703703703703698
2015-05-20,69000,69000,66800,66900,428449,-0.04428571428571426
2015-05-21,67700,68100,65200,65600,522021,-0.019431988041853532
2015-05-22,67000,69200,67000,69000,512323,0.05182926829268286
2015-05-26,68800,70700,67000,70300,415264,0.018840579710144967
2015-05-27,68900,69500,68500,69200,379763,-0.015647226173541973
2015-05-28,69100,69100,66900,67000,496817,-0.03179190751445082
2015-05-29,67000,68600,66000,66000,458491,-0.014925373134328401
2015-06-01,67700,68300,66400,66500,395907,0.007575757575757569
2015-06-02,66300,67800,64100,64700,506988,-0.02706766917293235
2015-06-03,65600,66600,65200,65500,293054,0.012364760432766575
2015-06-04,64500,65400,62600,63000,565010,-0.03816793893129766
2015-06-05,62800,63400,61700,62400,377281,-0.00952380952380949
2015-06-08,63200,65700,62400,65300,444732,0.04647435897435903
2015-06-09,64600,68300,64500,66600,516466,0.019908116385911168
2015-06-10,68700,69000,66200,66700,561216,0.0015015015015014122
2015-06-11,67600,68400,64700,66100,1349508,-0.008995502248875575
2015-06-12,66100,66600,64100,64300,480963,-0.027231467473525006
2015-06-15,64300,66900,63500,65200,449517,0.013996889580093264
2015-06-16,66100,67900,65000,67900,582272,0.04141104294478537
2015-06-17,69000,69800,67100,69700,482495,0.026509572901325384
2015-06-18,69600,71200,69100,70700,505998,0.01434720229555242
2015-06-19,72000,72200,70300,71300,379276,0.008486562942008558
2015-06-22,70700,72300,70500,70800,282380,-0.007012622720897643
2015-06-23,71100,71800,69800,70000,278039,-0.011299435028248594
2015-06-24,70500,72000,70000,70700,364165,0.010000000000000009
2015-06-25,70300,71900,70300,71900,288469,0.016973125884016893
2015-06-26,71900,72300,70900,71200,215333,-0.009735744089012566
2015-06-29,68800,69000,66000,66100,571138,-0.0716292134831461
2015-06-30,65700,68400,65500,67600,349870,0.0226928895612708
2015-07-01,67800,68700,67000,67800,241604,0.002958579881656709
2015-07-02,67400,67900,66200,67800,425388,0.0
2015-07-03,68000,68700,65800,66400,364940,-0.020648967551622377
2015-07-06,65700,65800,62100,62600,840686,-0.05722891566265065
2015-07-07,61800,63200,60200,63200,554431,0.009584664536741228
2015-07-08,63500,63500,60600,60800,482431,-0.03797468354430378
2015-07-09,59900,60900,59300,60600,468318,-0.003289473684210509
2015-07-10,62000,62700,61500,62300,449597,0.028052805280528004
2015-07-13,62200,63000,61500,62900,255732,0.009630818619582593
2015-07-14,63000,63200,62000,62200,180713,-0.011128775834658211
2015-07-15,62200,64000,62200,63800,337253,0.025723472668810254
2015-07-16,63400,63700,61800,62200,309639,-0.025078369905956133
2015-07-17,62200,63200,61300,62800,284977,0.009646302250803762
2015-07-20,62300,63300,61500,62000,162663,-0.01273885350318471
2015-07-21,61400,61700,60200,60600,413218,-0.022580645161290325
2015-07-22,60900,64900,60000,61300,939578,0.011551155115511635
2015-07-23,61300,61400,59500,59600,539818,-0.027732463295269127
2015-07-24,59000,59400,57400,57800,537065,-0.030201342281879207
2015-07-27,57200,60100,56000,59500,488255,0.02941176470588225
2015-07-28,59400,60500,57700,59000,506624,-0.008403361344537785
2015-07-29,59900,60300,59100,59900,313664,0.015254237288135686
2015-07-30,60900,61400,60600,61000,411603,0.01836393989983298
2015-07-31,61500,62700,60400,62700,386407,0.02786885245901649
2015-08-03,61100,61300,57600,57700,409994,-0.0797448165869219
2015-08-04,56500,59600,56400,59500,266641,0.03119584055459268
2015-08-05,59500,60000,58400,59400,259153,-0.001680672268907557
2015-08-06,59500,60900,59000,59100,259506,-0.005050505050505083
2015-08-07,59100,60300,58200,60200,205325,0.01861252115059231
2015-08-10,59100,60200,57600,58200,358231,-0.03322259136212624
2015-08-11,59600,59600,58600,58600,205944,0.0068728522336769515
2015-08-12,58500,59500,57900,58800,311032,0.0034129692832765013
2015-08-13,59900,62700,59500,62600,511988,0.06462585034013602
2015-08-17,62400,63200,61600,62900,316651,0.004792332268370503
2015-08-18,62300,62600,60500,60800,352614,-0.03338632750397452
2015-08-19,60800,62200,60500,61000,341666,0.00328947368421062
2015-08-20,59500,60700,58400,58800,406125,-0.0360655737704918
2015-08-21,57700,58700,57200,58100,345548,-0.011904761904761862
2015-08-24,57800,57800,53400,54200,668818,-0.06712564543889843
2015-08-25,54100,57000,52400,55800,446483,0.029520295202952074
2015-08-26,56100,58600,54900,58300,365013,0.04480286738351258
2015-08-27,58100,59100,57100,58500,263788,0.0034305317324185847
