Date,Open,High,Low,Close,Volume,Change
2015-01-02,66500,68000,66400,66500,14011,-0.01041666666666663
2015-01-05,65700,69000,65700,68500,18774,0.03007518796992481
2015-01-06,68000,69800,67600,68800,18612,0.004379562043795637
2015-01-07,68800,69500,67200,67200,14414,-0.023255813953488413
2015-01-08,66700,67900,65800,65800,18236,-0.02083333333333337
2015-01-09,66900,66900,65700,65800,12051,0.0
2015-01-12,65800,67300,65800,67100,14600,0.019756838905775176
2015-01-13,65400,67500,65400,67400,14386,0.0044709388971684305
2015-01-14,66800,67800,66800,67600,9771,0.0029673590504450953
2015-01-15,66900,67800,66100,67600,18446,0.0
2015-01-16,66600,67700,66600,67500,5419,-0.0014792899408283544
2015-01-19,68200,68200,66800,67700,9657,0.002962962962963056
2015-01-20,67200,68300,67000,67300,11043,-0.005908419497784312
2015-01-21,67200,67900,65000,67000,9079,-0.004457652303120341
2015-01-22,67400,67500,66400,67100,12322,0.0014925373134329067
2015-01-23,66700,67500,66100,66500,13879,-0.008941877794336861
2015-01-26,66300,67000,65500,65700,12634,-0.012030075187969946
2015-01-27,65600,66100,62800,63000,45975,-0.04109589041095896
2015-01-28,62300,63000,60900,61500,86257,-0.023809523809523836
2015-01-29,61700,62300,61300,61600,34129,0.001626016260162677
2015-01-30,62200,62900,61500,62000,24970,0.006493506493506551
2015-02-02,62000,62400,60200,60300,28236,-0.02741935483870972
2015-02-03,60300,60900,59300,59600,34071,-0.011608623548922004
2015-02-04,60200,62400,58800,60100,55564,0.008389261744966348
2015-02-05,59700,60700,58300,58700,58570,-0.02329450915141429
2015-02-06,58600,59500,58500,58900,33504,0.0034071550255536653
2015-02-09,58800,59500,58000,59200,28062,0.005093378607809784
2015-02-10,58100,58300,55400,56000,106209,-0.05405405405405406
2015-02-11,55900,56400,55400,56100,59836,0.0017857142857142794
2015-02-12,56300,57500,55900,56000,39536,-0.0017825311942959443
2015-02-13,56000,57400,56000,57300,27205,0.023214285714285632
2015-02-16,57100,57500,56700,57500,19250,0.003490401396160525
2015-02-17,57500,57600,56600,57300,15128,-0.003478260869565264
2015-02-23,57500,58300,57100,58200,21029,0.015706806282722585
2015-02-24,57900,59200,57900,59100,28705,0.015463917525773141
2015-02-25,59400,59400,58200,58900,34057,-0.0033840947546531774
2015-02-26,58700,59200,58100,58300,22847,-0.01018675721561968
2015-02-27,58000,58600,56900,58200,34061,-0.0017152658662092923
2015-03-02,57900,59500,57600,58300,29310,0.0017182130584192379
2015-03-03,58300,59400,58100,58100,19108,-0.0034305317324184736
2015-03-04,57800,58500,57700,58100,18804,0.0
2015-03-05,58100,59100,58100,58900,21319,0.013769363166953541
2015-03-06,58800,59100,58100,58300,44999,-0.01018675721561968
2015-03-09,58200,58800,57400,57600,28155,-0.012006861063464824
2015-03-10,57500,58200,57000,57800,25814,0.003472222222222321
2015-03-11,57500,57700,56600,57000,33930,-0.01384083044982698
2015-03-12,56700,58200,56600,57500,38431,0.00877192982456143
2015-03-13,58100,61400,58000,60700,133467,0.05565217391304356
2015-03-16,61300,61800,60500,60700,47914,0.0
2015-03-17,61000,61400,59300,60300,51647,-0.00658978583196046
2015-03-18,60300,61000,60100,60500,33430,0.0033167495854062867
2015-03-19,62100,63900,62100,63100,142565,0.04297520661157028
2015-03-20,63400,65400,62000,62400,151712,-0.011093502377179099
2015-03-23,62600,62700,60700,60800,55676,-0.02564102564102566
2015-03-24,60800,62600,60300,60800,82172,0.0
2015-03-25,60900,61300,60300,60900,66082,0.00164473684210531
2015-03-26,60700,61500,59700,60000,66869,-0.014778325123152691
2015-03-27,59800,60700,59400,60200,49857,0.0033333333333334103
2015-03-30,60900,62600,60600,62000,80822,0.029900332225913706
2015-03-31,62000,62000,59800,60000,78233,-0.032258064516129004
2015-04-01,60000,60900,59100,59800,91045,-0.0033333333333332993
2015-04-02,60000,61400,59500,60500,68218,0.0117056856187292
2015-04-03,60500,60900,59500,60500,41814,0.0
2015-04-06,60800,61400,60200,60500,49022,0.0
2015-04-07,60900,62500,60300,62500,76069,0.03305785123966931
2015-04-08,62700,64200,61200,62200,136541,-0.0048000000000000265
2015-04-09,62600,63100,61300,62000,87658,-0.003215434083601254
2015-04-10,62100,62800,61300,62500,84296,0.008064516129032251
2015-04-13,63400,63400,61200,62400,99455,-0.0016000000000000458
2015-04-14,62100,62400,61100,61200,86639,-0.019230769230769273
2015-04-15,61200,63000,61000,61600,89379,0.006535947712418277
2015-04-16,61700,66100,61700,64600,219454,0.04870129870129869
2015-04-17,64500,67100,63800,67000,199366,0.037151702786377694
2015-04-20,65600,68000,65300,67200,163660,0.0029850746268655914
2015-04-21,67600,69000,66700,68500,152982,0.019345238095238138
2015-04-22,69000,72100,64500,68100,244961,-0.005839416058394109
2015-04-23,68600,68800,65000,66700,122056,-0.02055800293685761
2015-04-24,66600,67600,65400,66400,93287,-0.004497751124437732
2015-04-27,66600,68600,66000,67800,77913,0.02108433734939763
2015-04-28,67800,68000,66600,66800,45067,-0.014749262536873142
2015-04-29,66800,67100,65500,65800,37796,-0.014970059880239472
2015-04-30,65900,66000,64300,64700,69776,-0.016717325227963542
2015-05-04,64700,67400,64600,67200,68304,0.03863987635239563
2015-05-06,66700,67200,63300,64600,69046,-0.038690476190476164
2015-05-07,64400,64600,61700,63500,72477,-0.017027863777089758
2015-05-08,63500,65600,63100,64900,42783,0.022047244094488105
2015-05-11,66000,69700,65900,68000,151239,0.04776579352850541
2015-05-12,67600,69700,65600,66200,197918,-0.026470588235294135
2015-05-13,66100,67100,65100,67100,133897,0.013595166163141936
2015-05-14,67400,67400,65700,66900,115293,-0.0029806259314456574
2015-05-15,66800,68100,65600,65700,95470,-0.017937219730941756
2015-05-18,65600,66700,64600,65800,102743,0.0015220700152207556
2015-05-19,66000,75600,66000,75400,586639,0.14589665653495443
2015-05-20,75200,86700,73500,86700,514063,0.14986737400530514
2015-05-21,89300,97100,88000,90500,638163,0.04382929642445221
2015-05-22,93000,94600,87000,91500,361029,0.011049723756906049
2015-05-26,93000,97000,89700,89700,274554,-0.01967213114754096
2015-05-27,87500,88200,84400,86300,203253,-0.03790412486064665
2015-05-28,89200,97800,87600,93600,322136,0.08458864426419477
2015-05-29,93900,99800,90500,92200,356997,-0.014957264957264904
2015-06-01,97600,98500,91800,91800,303158,-0.004338394793926281
2015-06-02,91200,96000,88800,91500,305234,-0.0032679738562091387
2015-06-03,91700,93800,86100,86100,168044,-0.059016393442622994
2015-06-04,86400,88800,85600,87300,105472,0.013937282229965264
2015-06-05,86200,90900,85300,86000,113204,-0.014891179839633395
2015-06-08,86300,89500,85100,86700,87193,0.008139534883720989
2015-06-09,86700,95300,86200,94300,228862,0.0876585928489042
2015-06-10,94300,94700,88800,90300,136127,-0.042417815482502674
2015-06-11,90900,95800,89500,94200,203129,0.04318936877076407
2015-06-12,95000,99300,90600,92000,205163,-0.023354564755838636
2015-06-15,92000,94800,90100,93300,113954,0.01413043478260878
2015-06-16,92400,93900,89600,91700,99637,-0.017148981779206873
2015-06-17,91600,92400,88900,91900,91373,0.0021810250817884125
2015-06-18,92400,113000,92000,111500,649799,0.21327529923830246
2015-06-19,116500,119000,106500,110000,324463,-0.013452914798206317
2015-06-22,110000,111000,105500,109500,186963,-0.004545454545454519
2015-06-23,110500,111500,105500,108500,149259,-0.0091324200913242
2015-06-24,111000,123500,110000,115000,466794,0.05990783410138256
2015-06-25,117500,140000,114500,136000,482434,0.18260869565217397
2015-06-26,139500,151500,132500,141000,460579,0.03676470588235303
2015-06-29,134500,143000,126000,132500,323034,-0.06028368794326244
2015-06-30,129000,133500,120000,127000,350880,-0.04150943396226414
2015-07-01,128500,134000,127000,130500,263224,0.027559055118110187
2015-07-02,135000,135000,125500,128500,271062,-0.01532567049808431
2015-07-03,127500,139000,126500,129000,347608,0.0038910505836575737
2015-07-06,125500,132000,124000,124000,209104,-0.03875968992248058
2015-07-07,128000,129500,97800,101500,766220,-0.18145161290322576
2015-07-08,101000,103500,93800,97800,456887,-0.03645320197044333
2015-07-09,96000,107500,94300,105000,411665,0.07361963190184051
2015-07-10,106500,109500,99000,101500,276608,-0.033333333333333326
2015-07-13,101500,106500,98700,106000,153730,0.044334975369458185
2015-07-14,108000,108500,102500,105000,142935,-0.009433962264150941
2015-07-15,107000,111000,104500,104500,184884,-0.004761904761904745
2015-07-16,102000,104000,97500,98500,254658,-0.0574162679425837
2015-07-17,99600,101500,98500,100000,146089,0.015228426395939021
2015-07-20,101500,107500,99600,105500,176063,0.05499999999999994
2015-07-21,106500,107500,101500,103500,122412,-0.018957345971563955
2015-07-22,104000,109000,104000,106000,140520,0.024154589371980784
2015-07-23,106500,107500,103500,107500,98035,0.014150943396226356
2015-07-24,107500,108000,104000,105000,105944,-0.023255813953488413
2015-07-27,103000,104000,98800,99800,116211,-0.049523809523809526
2015-07-28,97200,100500,93200,100000,120470,0.002004008016031955
2015-07-29,102000,103000,89200,90200,218017,-0.09799999999999998
2015-07-30,89800,91700,84800,86700,241341,-0.03880266075388028
2015-07-31,86700,90600,84000,89500,201245,0.032295271049596286
2015-08-03,88900,88900,82400,82500,111598,-0.07821229050279332
2015-08-04,82000,86400,82000,86000,97880,0.042424242424242475
2015-08-05,85500,90700,85000,89600,87305,0.041860465116279055
2015-08-06,90400,92600,89300,90800,75572,0.013392857142857206
2015-08-07,88400,90200,87700,89200,45563,-0.017621145374449365
2015-08-10,89000,91000,85500,87400,54038,-0.020179372197309364
2015-08-11,89000,89000,84100,85000,56845,-0.027459954233409634
2015-08-12,83500,85000,80300,81500,105625,-0.04117647058823526
2015-08-13,81500,86900,80900,86000,63648,0.05521472392638027
2015-08-17,86600,86600,84300,86100,49435,0.0011627906976743319
2015-08-18,87200,87800,80700,82400,115665,-0.04297328687572588
2015-08-19,80100,80900,74000,76500,155520,-0.07160194174757284
2015-08-20,76200,79500,75200,76600,90608,0.0013071895424836555
2015-08-21,72000,76400,72000,74900,88830,-0.022193211488250708
2015-08-24,74200,78300,73800,75000,92847,0.001335113484646211
2015-08-25,75400,78600,74000,77800,81582,0.03733333333333344
2015-08-26,77700,81900,77400,80900,106316,0.03984575835475579
2015-08-27,81400,81900,77800,78500,115519,-0.02966625463535233
2015-08-28,79500,80500,78100,78900,87350,0.005095541401273884
2015-08-31,78900,78900,75900,76000,82615,-0.03675538656527255
2015-09-01,75700,78900,75400,75900,87658,-0.001315789473684159
2015-09-02,74300,76700,73800,75500,78794,-0.005270092226614009
2015-09-03,76200,78800,75900,77300,79979,0.02384105960264904
2015-09-04,78400,78900,71800,72400,94048,-0.06338939197930138
2015-09-07,72000,75400,71500,73000,72058,0.008287292817679592
2015-09-08,73200,74400,70500,71500,78393,-0.020547945205479423
2015-09-09,73000,75900,72700,75900,82348,0.06153846153846154
2015-09-10,75500,77900,74200,77900,49755,0.026350461133069825
2015-09-11,77700,77700,75800,76800,47675,-0.014120667522464658
2015-09-14,77300,77600,74800,75300,40752,-0.01953125
2015-09-15,75000,79000,75000,78100,81310,0.03718459495351922
