Date,Open,High,Low,Close,Volume,Change
2015-01-02,36150,36500,35800,36000,787884,-0.004149377593360981
2015-01-05,36000,36300,35300,35400,948722,-0.01666666666666672
2015-01-06,35000,35550,34800,35300,694478,-0.0028248587570621764
2015-01-07,35000,35350,34800,35000,673972,-0.008498583569405138
2015-01-08,35000,36750,34900,36600,1629176,0.04571428571428582
2015-01-09,36900,37250,36650,36850,811202,0.006830601092896238
2015-01-12,36500,36700,35450,35750,1212260,-0.02985074626865669
2015-01-13,35700,36250,35550,35900,491812,0.00419580419580412
2015-01-14,35900,36800,35750,36700,891807,0.022284122562674202
2015-01-15,36350,36750,35950,36550,772981,-0.004087193460490468
2015-01-16,36550,36600,35650,36000,944881,-0.015047879616963078
2015-01-19,35900,37050,35900,36500,984714,0.01388888888888884
2015-01-20,36600,37050,36600,36800,516909,0.008219178082191858
2015-01-21,37150,37300,36650,37250,621765,0.012228260869565188
2015-01-22,37350,37500,36900,37450,583287,0.005369127516778427
2015-01-23,37900,38250,37200,37450,685358,0.0
2015-01-26,37600,38500,37450,38200,879889,0.020026702269692942
2015-01-27,38650,38700,37650,37800,712349,-0.010471204188481686
2015-01-28,37500,37750,36400,36500,1444760,-0.03439153439153442
2015-01-29,36350,37200,36200,37050,846440,0.015068493150685036
2015-01-30,37300,37400,36650,36800,1213014,-0.006747638326585648
2015-02-02,37200,37400,36850,37200,594348,0.010869565217391353
2015-02-03,38200,38250,37550,37950,1076017,0.02016129032258074
2015-02-04,38450,38450,37900,38100,654960,0.0039525691699604515
2015-02-05,37800,38050,36000,36350,1753819,-0.04593175853018372
2015-02-06,36600,37500,36450,37500,977407,0.031636863823933936
2015-02-09,37500,37500,36450,36750,700682,-0.020000000000000018
2015-02-10,37050,37200,36350,36950,670900,0.0054421768707482165
2015-02-11,37400,37600,36850,37050,963544,0.0027063599458727605
2015-02-12,37050,37350,36550,36800,787853,-0.006747638326585648
2015-02-13,36800,37650,36750,37650,760402,0.02309782608695654
2015-02-16,37800,37900,37250,37550,303162,-0.0026560424966799445
2015-02-17,37300,38200,37300,38200,705620,0.017310252996005415
2015-02-23,38650,38750,38500,38650,740025,0.011780104712041828
2015-02-24,38250,38800,38250,38750,708832,0.002587322121604174
2015-02-25,38750,39400,38350,39200,1037407,0.011612903225806548
2015-02-26,39250,39750,38850,39700,1100099,0.012755102040816313
2015-02-27,39400,39650,38800,39000,982720,-0.017632241813602012
2015-03-02,38650,39000,37550,37600,1305776,-0.03589743589743588
2015-03-03,37850,38050,37500,37500,973187,-0.0026595744680850686
2015-03-04,37700,38150,37650,37850,503605,0.009333333333333416
2015-03-05,37700,38050,37300,37400,547335,-0.011889035667106973
2015-03-06,37600,37650,36600,36700,1092695,-0.018716577540106916
2015-03-09,36750,37100,36550,36800,517550,0.0027247956403269047
2015-03-10,36850,37050,36800,36800,381631,0.0
2015-03-11,36900,37150,36500,36650,1140735,-0.0040760869565217295
2015-03-12,36500,38600,36400,38150,3031404,0.04092769440654842
2015-03-13,38400,38450,37600,38200,849344,0.001310615989515096
2015-03-16,38150,38450,37750,38050,555255,-0.003926701570680646
2015-03-17,38150,39000,37900,38800,966724,0.019710906701708275
2015-03-18,39000,39000,38500,38850,731568,0.0012886597938144284
2015-03-19,39000,40000,38500,39650,1489984,0.0205920205920207
2015-03-20,39650,40000,39400,40000,1107602,0.008827238335435084
2015-03-23,40000,40400,39250,39900,723215,-0.0024999999999999467
2015-03-24,39900,39900,38650,38900,1122565,-0.02506265664160401
2015-03-25,38550,38750,38000,38050,1414482,-0.02185089974293064
2015-03-26,38400,39150,38050,39150,1281864,0.028909329829172048
2015-03-27,38750,38950,38100,38300,919285,-0.02171136653895278
2015-03-30,39550,39700,38600,38850,1105178,0.01436031331592691
2015-03-31,39350,39450,39000,39300,1002220,0.01158301158301156
2015-04-01,39500,39500,38500,38600,694282,-0.01781170483460559
2015-04-02,38400,38850,38400,38450,762695,-0.0038860103626943143
2015-04-03,38450,39300,38400,39000,553282,0.014304291287386306
2015-04-06,39000,39150,38350,38400,467489,-0.01538461538461533
2015-04-07,38400,38650,37750,37850,724341,-0.01432291666666663
2015-04-08,37550,37950,37500,37750,823776,-0.0026420079260237594
2015-04-09,37950,38050,36700,36800,1482139,-0.025165562913907258
2015-04-10,36900,37900,36850,37750,1041290,0.025815217391304435
2015-04-13,37900,38300,37750,38300,1328688,0.014569536423840956
2015-04-14,38400,41000,38350,40500,2491716,0.05744125326370764
2015-04-15,40750,40850,39200,40000,1187403,-0.012345679012345734
2015-04-16,39650,40700,39200,40300,933713,0.007500000000000062
2015-04-17,40300,40750,40150,40600,1022485,0.007444168734491274
2015-04-20,40200,41100,40000,40800,943468,0.0049261083743843415
2015-04-21,41200,41200,40100,40600,816789,-0.004901960784313708
2015-04-22,40100,40500,39650,39800,868956,-0.019704433497536922
2015-04-23,40300,41200,39950,41000,1537365,0.03015075376884413
2015-04-24,41050,42800,40850,41650,2112007,0.01585365853658538
2015-04-27,41750,42100,40300,40300,1216096,-0.032412965186074394
2015-04-28,40700,40950,40250,40550,744668,0.006203473945409321
2015-04-29,41000,41450,40600,41000,939151,0.011097410604192337
2015-04-30,41000,41250,40700,40950,864834,-0.0012195121951219523
2015-05-04,40950,42050,40800,41700,1297585,0.01831501831501825
2015-05-06,41950,42150,41250,41900,1543539,0.004796163069544335
2015-05-07,42000,42100,40600,41400,1086084,-0.011933174224343701
2015-05-08,41050,41350,40500,40800,904846,-0.01449275362318836
2015-05-11,40900,41200,40550,40600,647767,-0.004901960784313708
2015-05-12,40650,41450,40600,41150,911871,0.013546798029556717
2015-05-13,40900,41800,40900,41500,1230837,0.008505467800729027
2015-05-14,41000,41500,40950,41100,590190,-0.009638554216867434
2015-05-15,41700,42100,40700,40800,509543,-0.007299270072992692
2015-05-18,40700,40900,40000,40450,445909,-0.008578431372548989
2015-05-19,40400,41200,40150,40850,774916,0.009888751545117369
2015-05-20,41200,41200,40550,41000,463170,0.003671970624234966
2015-05-21,40750,40800,39700,39750,1002716,-0.030487804878048808
2015-05-22,39900,41000,39750,41000,904801,0.03144654088050314
2015-05-26,40700,40900,39850,40100,570888,-0.02195121951219514
2015-05-27,39500,40000,39050,39200,1226265,-0.02244389027431426
2015-05-28,39200,39950,39050,39550,828337,0.008928571428571397
2015-05-29,38850,40250,38700,40250,1990471,0.017699115044247815
2015-06-01,40150,40200,39250,39450,746821,-0.019875776397515477
2015-06-02,39200,40100,39200,39850,684165,0.010139416983523386
2015-06-03,40200,40200,39550,39750,873655,-0.0025094102885822034
2015-06-04,39350,39750,38700,38750,969390,-0.02515723270440251
2015-06-05,38550,39100,38050,38350,833195,-0.010322580645161339
2015-06-08,38350,39150,38100,39150,529220,0.020860495436766602
2015-06-09,38800,38950,38400,38850,578103,-0.007662835249042099
2015-06-10,39000,40000,38800,39950,934771,0.028314028314028405
2015-06-11,39550,40550,39500,40000,1188283,0.0012515644555695093
2015-06-12,40000,40000,38850,39050,864381,-0.02375000000000005
2015-06-15,38400,38650,38150,38150,752009,-0.023047375160051176
2015-06-16,38000,38400,37300,37300,1268062,-0.022280471821756187
2015-06-17,37300,37500,37000,37200,966303,-0.002680965147453085
2015-06-18,37200,37500,36950,37050,633511,-0.0040322580645161255
2015-06-19,37200,37250,36100,36150,1455199,-0.02429149797570851
2015-06-22,36150,36750,36100,36500,734289,0.009681881051175623
2015-06-23,37000,38200,36900,37550,892134,0.02876712328767117
2015-06-24,37900,38050,37600,37850,719364,0.007989347536617952
2015-06-25,37850,37850,37300,37300,924027,-0.014531043593130732
2015-06-26,37850,38200,37450,37700,561647,0.01072386058981234
2015-06-29,36900,37000,36550,36900,859026,-0.021220159151193685
2015-06-30,36700,37050,36550,36900,741426,0.0
2015-07-01,36700,37200,36600,36800,608886,-0.0027100271002710175
2015-07-02,36700,37000,36100,36200,1183161,-0.016304347826086918
2015-07-03,36100,36700,35850,36200,1257962,0.0
2015-07-06,35300,35600,35200,35500,985217,-0.01933701657458564
2015-07-07,35550,35950,35450,35950,706582,0.012676056338028152
2015-07-08,36250,36250,35400,35400,520417,-0.015299026425591111
2015-07-09,35350,35700,34900,35450,796866,0.0014124293785311437
2015-07-10,35700,35750,35200,35600,569599,0.004231311706629048
2015-07-13,35500,36500,35350,36250,830831,0.018258426966292207
2015-07-14,36500,37050,36400,36550,874831,0.008275862068965578
2015-07-15,36550,37100,34850,35150,2825458,-0.03830369357045149
2015-07-16,35250,35700,35050,35400,1026678,0.007112375533428139
2015-07-17,35850,35900,34400,34700,1349139,-0.019774011299435013
