Date,Open,High,Low,Close,Volume,Change
2015-01-02,288500,309500,288500,308500,104299,0.05831903945111483
2015-01-05,305000,310000,298500,305000,71462,-0.011345218800648316
2015-01-06,305000,305000,296500,298500,75863,-0.021311475409836023
2015-01-07,298500,300500,296000,298000,32052,-0.0016750418760469454
2015-01-08,296500,305000,296000,299000,44551,0.003355704697986628
2015-01-09,304000,307000,300000,305500,110946,0.021739130434782705
2015-01-12,302500,304000,295500,300000,107725,-0.018003273322422242
2015-01-13,255000,255000,255000,255000,459828,-0.15000000000000002
2015-01-14,241000,246000,225000,231500,2375856,-0.09215686274509804
2015-01-15,233000,239500,232000,237500,672431,0.02591792656587466
2015-01-16,239000,240500,233000,235000,298702,-0.010526315789473717
2015-01-19,236000,239500,231500,234000,248845,-0.004255319148936176
2015-01-20,235000,237000,233000,236500,171665,0.010683760683760646
2015-01-21,236000,236500,225500,225500,339222,-0.046511627906976716
2015-01-22,225500,234500,225500,227500,279361,0.008869179600886845
2015-01-23,231000,232500,224500,227000,198634,-0.00219780219780219
2015-01-26,225000,229000,224500,227500,129168,0.0022026431718060735
2015-01-27,228500,238500,228000,238500,249674,0.0483516483516484
2015-01-28,239000,248500,235500,247000,249969,0.03563941299790363
2015-01-29,249000,254500,242000,242500,273754,-0.018218623481781382
2015-01-30,245000,252000,236500,244500,153101,0.008247422680412342
2015-02-02,242000,245000,235000,236000,215503,-0.03476482617586907
2015-02-03,237500,238500,230500,232500,172944,-0.014830508474576232
2015-02-04,234000,243000,233000,240500,210830,0.03440860215053765
2015-02-05,239000,240000,233500,237000,163745,-0.014553014553014498
2015-02-06,243000,260000,237000,251000,6739343,0.05907172995780585
2015-02-09,252500,253500,244000,246500,550298,-0.017928286852589626
2015-02-10,246500,248500,241000,242500,286667,-0.016227180527383367
2015-02-11,243500,250000,241000,249000,337742,0.02680412371134011
2015-02-12,249000,253000,246500,250500,249607,0.006024096385542244
2015-02-13,251000,252500,243000,246000,194460,-0.017964071856287456
2015-02-16,244500,245500,239000,239500,199677,-0.026422764227642226
2015-02-17,240000,242000,238000,242000,113975,0.010438413361169019
2015-02-23,244500,248000,241000,248000,266160,0.024793388429751984
2015-02-24,246000,249500,244000,246000,175657,-0.008064516129032251
2015-02-25,248000,248000,243000,245000,181346,-0.004065040650406471
2015-02-26,245500,246000,236000,239000,287977,-0.024489795918367308
2015-02-27,239500,244000,237500,238500,561790,-0.0020920502092049986
2015-03-02,239000,239500,228000,230000,389810,-0.03563941299790352
2015-03-03,230500,236000,230000,233000,248596,0.01304347826086949
2015-03-04,233000,235500,227000,228500,187852,-0.01931330472102999
2015-03-05,228500,233000,228500,230500,155471,0.00875273522975939
2015-03-06,231000,234500,229500,234000,160024,0.015184381778741818
2015-03-09,232000,233500,225500,228000,158048,-0.02564102564102566
2015-03-10,229500,233500,226000,231000,192628,0.013157894736842035
2015-03-11,230000,240500,228500,237500,387897,0.02813852813852824
2015-03-12,241000,242500,238000,241000,540373,0.01473684210526316
2015-03-13,242000,242000,234500,236500,177437,-0.018672199170124526
2015-03-16,236500,236500,231000,232500,100985,-0.016913319238900604
2015-03-17,236500,241500,235500,241000,211473,0.03655913978494629
2015-03-18,240500,242500,235500,235500,129547,-0.022821576763485507
2015-03-19,239000,241000,234500,240000,178700,0.019108280254777066
2015-03-20,236500,238000,233500,234500,372773,-0.022916666666666696
2015-03-23,237000,239500,234000,236000,152650,0.006396588486140775
2015-03-24,237000,237500,233500,236000,100710,0.0
2015-03-25,235000,237000,231000,231000,116788,-0.021186440677966156
2015-03-26,231000,233000,228000,232000,90812,0.0043290043290042934
2015-03-27,232500,233000,228500,231000,89193,-0.004310344827586188
2015-03-30,231000,231000,226500,227000,129005,-0.017316017316017285
