Date,Open,High,Low,Close,Volume,Change
2015-01-02,250000,253000,247000,248500,12213,-0.015841584158415856
2015-01-05,248500,249500,241000,242000,15599,-0.026156941649899346
2015-01-06,240000,243500,238000,243000,10376,0.004132231404958775
2015-01-07,243500,244000,238000,239500,7220,-0.014403292181069949
2015-01-08,238000,239000,233000,233000,18629,-0.02713987473903967
2015-01-09,234000,239000,233000,239000,12393,0.025751072961373467
2015-01-12,238000,242000,237500,240500,6091,0.006276150627614996
2015-01-13,242000,242000,236000,240000,14536,-0.0020790020790020236
2015-01-14,238000,242000,238000,238000,7065,-0.008333333333333304
2015-01-15,238000,242000,237500,242000,7940,0.01680672268907557
2015-01-16,240000,242500,240000,242500,5972,0.0020661157024792765
2015-01-19,243000,243500,239000,240500,6022,-0.008247422680412342
2015-01-20,240000,244500,238500,243500,15327,0.012474012474012364
2015-01-21,242000,244000,240000,241500,8672,-0.008213552361396315
2015-01-22,241000,242000,238000,239000,13443,-0.010351966873705987
2015-01-23,238000,240000,236500,237000,10934,-0.008368200836820106
2015-01-26,236500,236500,227000,228500,31741,-0.03586497890295359
2015-01-27,229000,234000,228000,234000,31032,0.024070021881838155
2015-01-28,231000,234000,230000,234000,17854,0.0
2015-01-29,231500,236000,231000,235000,14910,0.004273504273504258
2015-01-30,239000,239000,231500,231500,18097,-0.014893617021276562
2015-02-02,231000,236000,230500,236000,14986,0.01943844492440605
2015-02-03,235000,246000,235000,246000,33131,0.04237288135593231
2015-02-04,246500,251500,244500,249000,22154,0.012195121951219523
2015-02-05,252500,268000,251000,264000,43729,0.06024096385542177
2015-02-06,260500,264500,257000,259500,20020,-0.017045454545454586
2015-02-09,258000,269500,258000,265000,22208,0.021194605009633882
2015-02-10,264500,265500,254000,261000,17856,-0.015094339622641506
2015-02-11,255500,262000,248000,260500,44093,-0.0019157088122605526
2015-02-12,259500,263000,255000,261000,14418,0.0019193857965451588
2015-02-13,261500,261500,253500,254500,13802,-0.02490421455938696
2015-02-16,254500,256500,251000,253000,9249,-0.005893909626719096
2015-02-17,255500,256000,253500,254500,3702,0.005928853754940677
2015-02-23,254500,260000,254000,259500,8736,0.01964636542239684
2015-02-24,261000,262500,258000,261500,11635,0.007707129094412402
2015-02-25,263000,263000,256500,262000,12554,0.0019120458891013214
2015-02-26,261500,261500,255000,256500,12824,-0.020992366412213692
2015-02-27,254500,257500,252000,253500,11852,-0.011695906432748537
2015-03-02,253500,254500,250500,251000,8073,-0.009861932938856066
2015-03-03,250000,253000,249000,250000,12635,-0.003984063745019917
2015-03-04,248000,250500,243500,249000,33173,-0.0040000000000000036
2015-03-05,245500,254500,245500,253500,12998,0.01807228915662651
2015-03-06,251500,254000,247000,248500,14600,-0.01972386587771202
