Date,Open,High,Low,Close,Volume,Change
2015-01-02,191500,194000,183500,187500,83721,-0.04336734693877553
2015-01-05,186000,186500,179000,182500,69494,-0.026666666666666616
2015-01-06,179500,182500,178000,181500,42648,-0.005479452054794498
2015-01-07,180000,184500,178000,183500,57375,0.011019283746556363
2015-01-08,182000,187000,181500,184500,47157,0.005449591280654031
2015-01-09,185000,188500,182000,188000,51307,0.01897018970189701
2015-01-12,186000,191500,184500,190500,38166,0.013297872340425565
2015-01-13,191500,192500,189000,192000,34483,0.007874015748031482
2015-01-14,190000,192000,183500,183500,41388,-0.04427083333333337
2015-01-15,182000,183500,179500,182000,42729,-0.008174386920980936
2015-01-16,182000,182500,178000,182000,61254,0.0
2015-01-19,182000,183000,179000,182000,41980,0.0
2015-01-20,182500,183500,178000,179000,62788,-0.016483516483516536
2015-01-21,177500,181000,174500,176000,71014,-0.016759776536312887
2015-01-22,177500,177500,168000,172000,80126,-0.022727272727272707
2015-01-23,173000,178500,172000,175000,48949,0.01744186046511631
2015-01-26,173000,181500,173000,177000,59697,0.011428571428571344
2015-01-27,177000,178500,176000,178000,30696,0.005649717514124353
2015-01-28,178500,187000,174500,187000,83646,0.050561797752809
2015-01-29,187000,188000,183000,184000,40948,-0.016042780748663055
2015-01-30,187000,193500,184000,191500,82315,0.040760869565217295
2015-02-02,192500,193500,189500,191000,44933,-0.0026109660574412663
2015-02-03,188500,202000,188500,200000,116309,0.04712041884816753
2015-02-04,204000,204000,194500,194500,59741,-0.02749999999999997
2015-02-05,196000,201000,196000,199000,59594,0.023136246786632286
2015-02-06,197500,199500,194000,195500,39043,-0.017587939698492483
2015-02-09,195500,198000,192000,193500,28917,-0.010230179028132946
2015-02-10,196000,196000,186500,189000,48973,-0.023255813953488413
2015-02-11,190000,198500,187500,196000,42235,0.03703703703703698
2015-02-12,194500,198500,192500,197000,34426,0.005102040816326481
2015-02-13,198000,201000,194000,199500,29699,0.012690355329949332
2015-02-16,197000,202000,195000,195000,47382,-0.022556390977443663
2015-02-17,195000,200000,191500,200000,27057,0.02564102564102555
2015-02-23,182000,190500,175000,181500,221755,-0.09250000000000003
2015-02-24,183000,185500,179500,180000,104444,-0.008264462809917328
2015-02-25,182000,183500,179000,182500,54784,0.01388888888888884
2015-02-26,181500,184500,175500,178000,87543,-0.024657534246575352
2015-02-27,176500,181000,175500,181000,65226,0.016853932584269593
2015-03-02,178500,179500,170000,173000,123815,-0.04419889502762431
2015-03-03,173000,175000,170500,175000,59541,0.011560693641618602
2015-03-04,173500,174500,171500,171500,39377,-0.020000000000000018
2015-03-05,171500,173000,170000,170500,33080,-0.005830903790087438
2015-03-06,170500,172000,166500,168500,81521,-0.011730205278592365
2015-03-09,167500,171500,166000,170500,52069,0.011869436201780381
2015-03-10,169500,170500,165500,166000,60802,-0.02639296187683282
2015-03-11,164000,167000,163500,163500,48369,-0.015060240963855387
2015-03-12,162500,166500,162500,164000,40288,0.003058103975535076
2015-03-13,166000,176500,164500,176000,108233,0.07317073170731714
2015-03-16,175000,175500,169000,174000,70613,-0.011363636363636354
2015-03-17,174500,175000,171500,175000,55051,0.005747126436781658
2015-03-18,175500,178500,172000,172500,51770,-0.014285714285714235
2015-03-19,174000,174500,170000,170000,42139,-0.01449275362318836
2015-03-20,175500,187500,174500,187500,150235,0.10294117647058831
2015-03-23,190500,194500,184000,187000,69910,-0.002666666666666706
2015-03-24,187000,192500,184000,190000,56239,0.016042780748663166
2015-03-25,190000,195500,190000,195500,62707,0.02894736842105261
2015-03-26,195500,196000,191500,195500,49259,0.0
2015-03-27,198000,198000,190000,191000,68363,-0.023017902813299185
2015-03-30,192000,197000,191000,197000,42608,0.03141361256544495
2015-03-31,194000,196500,191000,195000,41681,-0.010152284263959421
2015-04-01,192500,197000,192500,195000,38793,0.0
2015-04-02,196000,196000,191000,191500,24463,-0.017948717948717996
2015-04-03,193000,194000,189000,192500,22589,0.005221932114882533
2015-04-06,191500,194000,189500,189500,17672,-0.01558441558441559
2015-04-07,189000,191000,182000,188500,43900,-0.00527704485488123
2015-04-08,190000,190000,186000,187000,30955,-0.007957559681697646
2015-04-09,187500,193500,187000,192500,41653,0.02941176470588225
2015-04-10,190000,193000,189500,192000,29870,-0.0025974025974025983
2015-04-13,190500,191000,187000,188500,50655,-0.01822916666666663
2015-04-14,189500,193000,186000,188000,34771,-0.0026525198938992522
2015-04-15,186500,193000,186500,193000,32203,0.02659574468085113
2015-04-16,191500,193500,190000,192500,34578,-0.002590673575129543
2015-04-17,191500,206000,191000,205500,95158,0.06753246753246755
2015-04-20,204500,215000,202000,208000,75605,0.012165450121654597
2015-04-21,209000,210000,199500,199500,65566,-0.04086538461538458
2015-04-22,199500,201000,195000,197500,66839,-0.010025062656641603
2015-04-23,198000,201500,193500,201500,46661,0.020253164556962133
2015-04-24,201000,201500,195500,196500,35839,-0.02481389578163773
2015-04-27,198000,200500,196500,199500,20014,0.01526717557251911
2015-04-28,202000,211000,199500,211000,71448,0.057644110275689275
2015-04-29,212000,215000,207000,208000,43028,-0.014218009478673022
2015-04-30,207500,208000,198500,204500,47241,-0.016826923076923128
2015-05-04,203500,211000,199500,199500,53738,-0.02444987775061125
2015-05-06,200500,207000,198000,200000,46759,0.0025062656641603454
2015-05-07,200000,201000,195500,196500,38270,-0.01749999999999996
2015-05-08,196500,201000,194500,201000,28784,0.022900763358778553
2015-05-11,201000,206000,200000,200500,28984,-0.0024875621890547706
2015-05-12,198500,200500,197500,198500,24478,-0.009975062344139696
2015-05-13,199000,201000,197000,198500,15185,0.0
2015-05-14,197000,200000,197000,198500,19346,0.0
2015-05-15,199000,200500,193500,195000,29821,-0.017632241813602012
2015-05-18,193500,200500,190500,200500,36816,0.028205128205128105
2015-05-19,198000,200000,195000,198500,27024,-0.009975062344139696
2015-05-20,196500,199000,193500,194500,42010,-0.02015113350125941
2015-05-21,193000,196000,189000,190500,44433,-0.020565552699228773
2015-05-22,190000,195000,188000,190000,50954,-0.002624671916010457
2015-05-26,189500,192500,183500,187500,80633,-0.013157894736842146
2015-05-27,184500,191000,184000,190500,37417,0.016000000000000014
2015-05-28,188500,191500,184500,189000,35124,-0.007874015748031482
2015-05-29,186500,190500,185500,188000,48515,-0.005291005291005346
2015-06-01,188000,194000,184000,193500,35286,0.0292553191489362
2015-06-02,193500,195000,188500,189500,25748,-0.02067183462532296
2015-06-03,189500,191500,187000,189500,26566,0.0
2015-06-04,186500,190500,184000,189000,36570,-0.0026385224274406704
2015-06-05,185500,188500,185500,185500,27697,-0.01851851851851849
2015-06-08,185000,194000,184500,192500,29495,0.037735849056603765
2015-06-09,194500,194500,188000,192000,43351,-0.0025974025974025983
2015-06-10,192500,192500,188000,188000,50054,-0.02083333333333337
2015-06-11,186000,187500,178500,178500,74615,-0.05053191489361697
2015-06-12,179000,181500,175000,178000,70336,-0.0028011204481792618
2015-06-15,175000,178000,170000,174000,88772,-0.022471910112359605
2015-06-16,175500,182000,175500,179500,51201,0.031609195402298784
2015-06-17,179500,182500,178500,180500,31593,0.0055710306406684396
2015-06-18,182500,185500,179000,185000,38191,0.024930747922437657
2015-06-19,186000,186500,181500,186500,39123,0.008108108108108025
2015-06-22,184000,186500,181500,186000,29948,-0.002680965147453085
2015-06-23,185500,188000,183000,183500,49172,-0.013440860215053752
2015-06-24,186000,186500,183000,184000,55849,0.0027247956403269047
2015-06-25,184500,195500,182500,194500,62236,0.057065217391304435
2015-06-26,194500,197500,191000,195000,41292,0.0025706940874035134
2015-06-29,191500,194000,186000,190000,43958,-0.02564102564102566
2015-06-30,190000,194000,187000,194000,36911,0.021052631578947434
2015-07-01,192000,195000,188000,188000,43846,-0.030927835051546393
2015-07-02,189000,193000,185500,191000,64943,0.015957446808510634
