Date,Open,High,Low,Close,Volume,Change
2015-01-02,26400,26450,26000,26000,212632,0.0
2015-01-05,26000,26200,25750,26100,182932,0.0038461538461538325
2015-01-06,26000,26750,25800,26750,456727,0.02490421455938696
2015-01-07,26750,26750,26250,26700,246756,-0.0018691588785046953
2015-01-08,26750,26900,26450,26700,206685,0.0
2015-01-09,26800,26800,26450,26700,164444,0.0
2015-01-12,26700,26850,26300,26550,154010,-0.005617977528089901
2015-01-13,26300,26650,26050,26550,219839,0.0
2015-01-14,26400,26550,26000,26150,160202,-0.015065913370998163
2015-01-15,26250,26600,26100,26400,155992,0.009560229445506607
2015-01-16,26500,26500,26200,26250,99672,-0.005681818181818232
2015-01-19,26350,26500,25950,25950,105711,-0.011428571428571455
2015-01-20,25950,26100,25600,25800,166314,-0.005780346820809301
2015-01-21,25700,25750,25050,25350,311763,-0.01744186046511631
2015-01-22,25200,25400,24800,25100,380629,-0.009861932938856066
2015-01-23,25150,25300,24750,25100,275987,0.0
2015-01-26,25100,25150,24800,24900,177644,-0.007968127490039834
2015-01-27,24950,25500,24800,25500,265970,0.024096385542168752
2015-01-28,25350,25350,25100,25150,182391,-0.013725490196078383
2015-01-29,25200,25950,25150,25800,296559,0.025844930417495027
2015-01-30,25800,26400,25300,26100,498578,0.011627906976744207
2015-02-02,26100,26100,25250,25350,257563,-0.028735632183908066
2015-02-03,25300,25800,25300,25600,290455,0.009861932938856066
2015-02-04,25750,26150,25500,26000,306618,0.015625
2015-02-05,26000,26200,25850,26150,261853,0.005769230769230749
2015-02-06,26150,26250,25850,26150,196232,0.0
2015-02-09,26150,26400,25950,26200,207159,0.0019120458891013214
2015-02-10,26150,26200,25600,25750,229337,-0.01717557251908397
2015-02-11,25800,25800,25300,25650,245322,-0.003883495145631022
2015-02-12,25650,26000,25500,25850,225919,0.007797270955165692
2015-02-13,25700,25900,25600,25850,177444,0.0
2015-02-16,25800,26300,25650,26100,126718,0.009671179883945946
2015-02-17,26150,27050,26050,26750,246435,0.02490421455938696
2015-02-23,26900,27350,26250,27200,337984,0.016822429906542036
2015-02-24,27400,27400,26750,27100,252225,-0.003676470588235281
2015-02-25,27500,27850,27000,27400,354261,0.011070110701107083
2015-02-26,27000,27700,26550,27450,365996,0.0018248175182482562
2015-02-27,27400,27700,27000,27250,272782,-0.007285974499089298
2015-03-02,26850,27100,26350,27050,324711,-0.007339449541284404
2015-03-03,27050,27200,26700,26950,161016,-0.003696857670979714
2015-03-04,26700,26800,26500,26600,243507,-0.012987012987012991
2015-03-05,26700,26900,26450,26600,230377,0.0
2015-03-06,26700,26700,25950,26150,260373,-0.016917293233082664
2015-03-09,26200,26350,25950,26250,170541,0.003824091778202643
2015-03-10,26450,26450,25700,25900,151243,-0.013333333333333308
2015-03-11,25700,25800,25200,25400,276892,-0.019305019305019266
2015-03-12,25600,26250,25100,25700,370869,0.011811023622047223
2015-03-13,25750,25800,25200,25350,254924,-0.013618677042801508
2015-03-16,25350,25500,25200,25450,140187,0.0039447731755424265
2015-03-17,25500,25900,25300,25550,230652,0.003929273084479323
2015-03-18,25550,25950,25450,25800,257008,0.009784735812133016
2015-03-19,25850,25900,25100,25300,376792,-0.019379844961240345
2015-03-20,25150,25200,24850,24900,370070,-0.015810276679841917
2015-03-23,25000,25050,24700,24800,207011,-0.004016064257028162
2015-03-24,24800,25100,24700,24850,211793,0.002016129032258007
2015-03-25,24900,24950,24500,24700,283065,-0.006036217303822977
2015-03-26,24600,25150,24550,25100,272030,0.0161943319838056
2015-03-27,25100,25200,24700,24900,256676,-0.007968127490039834
2015-03-30,24800,24850,24400,24650,265750,-0.010040160642570295
2015-03-31,24700,24850,24500,24800,206093,0.006085192697768749
2015-04-01,24800,25200,24700,25000,226819,0.008064516129032251
2015-04-02,25000,25200,24850,24900,146947,-0.0040000000000000036
2015-04-03,25000,25200,24900,25150,159874,0.010040160642570184
2015-04-06,25200,25300,24850,24850,188901,-0.011928429423459286
2015-04-07,24850,24900,24000,24350,446577,-0.02012072434607648
2015-04-08,24100,24350,23750,23950,466002,-0.01642710472279263
2015-04-09,24200,24350,23900,24000,233121,0.0020876826722338038
2015-04-10,24150,25000,24050,25000,617642,0.04166666666666674
2015-04-13,25100,25700,24750,25450,502553,0.018000000000000016
2015-04-14,25400,26000,25400,25950,999681,0.01964636542239684
2015-04-15,26000,26100,25400,25650,527899,-0.011560693641618491
2015-04-16,25900,25950,25500,25850,341291,0.007797270955165692
2015-04-17,25850,26250,25750,26050,373092,0.007736943907156624
2015-04-20,25600,26100,25500,26100,198261,0.0019193857965451588
2015-04-21,26100,26150,25700,25950,247939,-0.005747126436781658
2015-04-22,25750,26000,25300,25700,430121,-0.009633911368015391
2015-04-23,25500,26050,25400,25750,333093,0.0019455252918287869
2015-04-24,25950,27400,25850,26700,829575,0.03689320388349504
2015-04-27,26800,27200,26450,26950,419706,0.009363295880149725
2015-04-28,27150,27300,26550,26800,343971,-0.005565862708719838
2015-04-29,26750,27350,26300,27200,540043,0.014925373134328401
2015-04-30,27300,28600,27250,28600,1125142,0.05147058823529416
2015-05-04,28550,29300,28400,28450,399177,-0.005244755244755206
2015-05-06,28650,29000,28200,28400,514032,-0.0017574692442882123
2015-05-07,28300,28600,27600,28350,344355,-0.0017605633802817433
2015-05-08,28300,28350,27950,28150,207621,-0.007054673721340388
2015-05-11,28050,28500,28000,28150,146572,0.0
2015-05-12,28200,28300,27800,28300,245048,0.005328596802841812
2015-05-13,28050,28450,28000,28150,238862,-0.005300353356890497
2015-05-14,28400,28400,27800,28150,480926,0.0
2015-05-15,28150,28150,27550,27650,372052,-0.017761989342806372
2015-05-18,27500,27550,26650,26850,404482,-0.02893309222423146
2015-05-19,26850,27450,26750,27000,375390,0.005586592178770999
2015-05-20,27200,27400,26900,27300,178918,0.011111111111111072
2015-05-21,27500,27500,26800,26900,162011,-0.0146520146520146
