Date,Open,High,Low,Close,Volume,Change
2015-01-02,287000,291500,279500,289000,6028,-0.00857632933104635
2015-01-05,282500,297000,282500,296500,6104,0.02595155709342567
2015-01-06,296500,299000,289500,293500,5382,-0.010118043844856706
2015-01-07,290500,292500,280000,280000,6332,-0.04599659284497448
2015-01-08,277000,278000,267500,267500,7304,-0.044642857142857095
2015-01-09,271500,278000,265000,277500,6039,0.03738317757009346
2015-01-12,277500,277500,271000,272000,3730,-0.01981981981981984
2015-01-13,272000,274000,267000,269500,5012,-0.009191176470588203
2015-01-14,269500,276000,268000,272000,4510,0.00927643784786647
2015-01-15,269000,282500,268000,282000,5154,0.03676470588235303
2015-01-16,279000,293000,278500,291000,7541,0.03191489361702127
2015-01-19,291000,308000,289000,307500,9631,0.05670103092783507
2015-01-20,308000,319500,305000,314000,6636,0.021138211382113914
2015-01-21,312000,321000,304500,319500,5981,0.01751592356687892
2015-01-22,323500,323500,313500,313500,1954,-0.018779342723004744
2015-01-23,313500,320000,312500,317500,1173,0.012759170653907415
2015-01-26,313500,319500,309000,314000,1908,-0.011023622047244053
2015-01-27,321500,321500,311500,314500,2492,0.0015923566878981443
2015-01-28,326500,326500,314000,316500,3988,0.006359300476947549
2015-01-29,319000,329000,317500,328500,2558,0.03791469194312791
2015-01-30,324000,329000,320500,328000,4200,-0.0015220700152207556
2015-02-02,324000,333500,323000,333000,3793,0.015243902439024293
2015-02-03,329000,333500,321000,322000,4958,-0.033033033033033066
2015-02-04,322500,334500,322000,326500,5709,0.013975155279503104
2015-02-05,324000,334500,324000,328000,3838,0.004594180704440953
2015-02-06,326500,335000,326500,331500,3015,0.010670731707317138
2015-02-09,330000,334000,321000,325500,3116,-0.018099547511312264
2015-02-10,329500,338000,321000,327000,5075,0.004608294930875667
2015-02-11,323000,342000,323000,340000,5048,0.039755351681957096
2015-02-12,343500,348500,332500,343000,4497,0.008823529411764675
2015-02-13,345000,351000,341500,350500,4067,0.02186588921282806
2015-02-16,346000,355000,345000,350000,3580,-0.0014265335235378318
2015-02-17,347500,357500,338000,339000,3818,-0.03142857142857147
2015-02-23,347000,353500,337500,350500,4101,0.03392330383480835
2015-02-24,346000,390000,346000,388500,6909,0.108416547788873
2015-02-25,400000,400000,371000,375500,9529,-0.03346203346203347
2015-02-26,376000,389000,371000,386000,4257,0.02796271637816239
2015-02-27,379000,393500,370500,382000,6714,-0.010362694300518172
2015-03-02,377500,389000,373500,381500,4860,-0.0013089005235602524
2015-03-03,377000,400000,372500,383000,6570,0.003931847968545288
2015-03-04,378000,396000,377000,390000,5942,0.018276762402088753
2015-03-05,386000,394500,380000,387500,7157,-0.0064102564102563875
2015-03-06,387500,391000,380500,380500,3945,-0.01806451612903226
2015-03-09,374500,386500,362000,369000,5565,-0.030223390275952666
2015-03-10,369000,382500,365500,377000,7123,0.021680216802167918
2015-03-11,376500,376500,359500,361000,7002,-0.04244031830238726
2015-03-12,357000,364500,355000,355000,5732,-0.0166204986149584
2015-03-13,351000,368000,351000,357500,5211,0.007042253521126751
2015-03-16,355500,372000,355500,370000,5813,0.034965034965035
2015-03-17,365500,376500,365500,372000,3482,0.00540540540540535
2015-03-18,379500,379500,360500,362500,5245,-0.025537634408602128
2015-03-19,365500,374500,353000,370500,3812,0.022068965517241468
2015-03-20,371000,386500,365000,366500,12576,-0.010796221322537103
2015-03-23,369500,369500,356500,357000,5612,-0.02592087312414737
2015-03-24,357000,368500,357000,366000,4986,0.025210084033613356
2015-03-25,362000,367500,358000,361500,5418,-0.012295081967213073
2015-03-26,366000,366000,358000,362000,5923,0.0013831258644536604
2015-03-27,361500,362000,351500,353500,3914,-0.023480662983425438
2015-03-30,362000,377500,359500,371500,7646,0.0509193776520509
2015-03-31,377000,400000,370500,400000,19355,0.07671601615074031
2015-04-01,395000,407500,378500,378500,8405,-0.053749999999999964
2015-04-02,377000,382000,375000,377500,4781,-0.0026420079260237594
2015-04-03,383500,383500,371500,381000,2793,0.009271523178807861
2015-04-06,378000,380000,370000,373500,4050,-0.019685039370078705
2015-04-07,373000,373500,361000,365500,7718,-0.021419009370816644
2015-04-08,361000,370000,361000,366500,2690,0.002735978112175186
2015-04-09,366000,368000,359000,359000,4488,-0.02046384720327421
2015-04-10,356000,370500,356000,365500,5735,0.01810584958217265
2015-04-13,363000,374000,348500,356000,7234,-0.025991792065663488
2015-04-14,353500,353500,334000,335500,13581,-0.057584269662921295
2015-04-15,335500,349500,335500,346000,6550,0.03129657228017879
2015-04-16,346000,355000,344500,351500,10509,0.01589595375722541
2015-04-17,351500,369000,351500,365500,7771,0.03982930298719767
2015-04-20,365500,370500,350000,350000,5747,-0.04240766073871405
2015-04-21,353000,361500,348500,351000,3905,0.0028571428571428914
2015-04-22,351000,358500,337000,342500,9137,-0.024216524216524205
2015-04-23,339500,350000,338000,348000,7475,0.016058394160583855
2015-04-24,342500,353000,338000,346000,7340,-0.005747126436781658
2015-04-27,343500,355000,341000,353000,6449,0.020231213872832443
2015-04-28,361500,369500,357500,366000,9827,0.03682719546742219
2015-04-29,369500,371500,359000,362500,5011,-0.0095628415300546
2015-04-30,371000,371000,351000,352000,5641,-0.0289655172413793
2015-05-04,355500,356500,342000,349500,4218,-0.007102272727272707
2015-05-06,345500,347000,335500,335500,5324,-0.04005722460658079
2015-05-07,336500,336500,322000,329000,5811,-0.019374068554396384
2015-05-08,331000,351000,328000,339500,7261,0.03191489361702127
2015-05-11,340000,361000,339500,360500,3875,0.061855670103092786
2015-05-12,355500,366500,355500,359500,3214,-0.00277392510402219
2015-05-13,354000,361000,351000,353000,3672,-0.018080667593880384
2015-05-14,347000,350500,338500,345000,7059,-0.022662889518413554
2015-05-15,349500,350500,343500,348000,3052,0.008695652173912993
2015-05-18,352000,352000,335000,344000,4981,-0.011494252873563204
2015-05-19,344000,348500,338000,344000,3378,0.0
2015-05-20,340000,346500,335500,342500,4049,-0.0043604651162790775
2015-05-21,340000,364000,339500,362500,8855,0.058394160583941535
2015-05-22,359000,371000,355500,365500,6961,0.008275862068965578
2015-05-26,363000,363000,348000,348500,7014,-0.046511627906976716
2015-05-27,343000,348500,333000,334500,6824,-0.04017216642754662
2015-05-28,333000,340000,331000,335000,2718,0.001494768310911887
2015-05-29,333000,341500,328000,333000,4173,-0.005970149253731294
2015-06-01,330500,333000,314000,327500,6997,-0.016516516516516533
2015-06-02,323000,323500,315500,315500,5218,-0.036641221374045796
2015-06-03,312000,317500,304000,306000,4742,-0.030110935023771823
2015-06-04,306000,315500,306000,311000,4982,0.016339869281045694
2015-06-05,305500,312500,304000,305500,4493,-0.01768488745980712
2015-06-08,305500,328500,305500,327500,5264,0.07201309328968897
2015-06-09,326000,326000,311500,313000,7458,-0.04427480916030535
2015-06-10,312000,317000,304000,304000,5106,-0.028753993610223683
2015-06-11,304000,307000,288500,290000,18590,-0.046052631578947345
2015-06-12,293500,333500,291500,333500,23173,0.1499999999999999
2015-06-15,333500,369000,318500,361000,32090,0.08245877061469264
2015-06-16,361000,361000,337000,338500,10311,-0.06232686980609414
2015-06-17,341500,342000,318500,324500,6382,-0.041358936484490405
2015-06-18,334500,344500,326000,343000,7276,0.057010785824345156
2015-06-19,347500,347500,325500,327500,7231,-0.04518950437317781
2015-06-22,328500,330000,316500,320000,10084,-0.022900763358778664
2015-06-23,320000,331000,318500,326500,7431,0.020312499999999956
2015-06-24,324000,337500,324000,331000,4726,0.013782542113323082
2015-06-25,331000,346000,328000,345500,5663,0.04380664652567967
2015-06-26,347500,364000,345500,363000,13973,0.05065123010130246
2015-06-29,358000,382500,353500,374500,17520,0.031680440771349794
2015-06-30,374000,383500,371000,378000,13388,0.009345794392523255
2015-07-01,378000,380500,365000,377000,9591,-0.002645502645502673
2015-07-02,371000,381000,362000,375000,10178,-0.0053050397877983935
2015-07-03,371000,385500,369500,380500,7503,0.014666666666666606
2015-07-06,372500,381500,353000,367500,6737,-0.0341655716162943
2015-07-07,367500,373500,352000,373500,7941,0.01632653061224487
2015-07-08,385000,385000,366500,381000,6945,0.02008032128514059
2015-07-09,385000,385000,362000,378500,6084,-0.006561679790026198
2015-07-10,374500,398000,370000,398000,8791,0.05151915455746359
2015-07-13,397500,449000,390500,425000,20137,0.0678391959798994
2015-07-14,425000,460000,415500,443000,13709,0.04235294117647048
2015-07-15,447500,463500,444000,453500,8232,0.023702031602708784
2015-07-16,453500,464000,447000,460500,8265,0.015435501653803696
2015-07-17,453500,515000,453500,487500,10397,0.05863192182410426
2015-07-20,488500,516000,477500,499500,8220,0.024615384615384706
2015-07-21,499000,519000,480000,519000,10192,0.039039039039038936
2015-07-22,539000,539000,486000,487500,9811,-0.06069364161849711
2015-07-23,485000,515000,468500,489500,8401,0.004102564102564044
2015-07-24,495500,498500,461000,462000,14388,-0.0561797752808989
2015-07-27,460000,473000,443500,471500,8572,0.02056277056277067
2015-07-28,470000,470000,448500,464000,8488,-0.01590668080593849
2015-07-29,456500,485000,456500,466000,6582,0.004310344827586299
2015-07-30,466000,469500,425000,446000,11347,-0.0429184549356223
2015-07-31,435000,470500,426500,460500,6753,0.032511210762331766
2015-08-03,460000,479500,453000,479500,3815,0.04125950054288818
2015-08-04,488000,488000,464000,478000,5230,-0.0031282586027111536
2015-08-05,471500,513000,471500,502000,10044,0.05020920502092041
2015-08-06,507000,507000,493000,499000,5102,-0.005976095617529875
2015-08-07,508000,508000,483500,484000,4186,-0.030060120240480992
2015-08-10,493500,603000,473000,560000,16746,0.15702479338842967
2015-08-11,565000,584000,512000,527000,13417,-0.05892857142857144
2015-08-12,532000,532000,449000,449000,15896,-0.14800759013282727
2015-08-13,449500,469500,431500,452000,14835,0.006681514476614803
2015-08-17,463000,463000,439500,443500,5356,-0.01880530973451322
2015-08-18,435000,445000,406500,419000,13780,-0.055242390078917736
2015-08-19,410000,415000,395500,404500,9303,-0.034606205250596656
2015-08-20,401000,414500,398500,407000,4550,0.006180469715698411
2015-08-21,386000,407500,381500,396500,10764,-0.025798525798525818
2015-08-24,406500,410500,385000,404500,6986,0.020176544766708604
2015-08-25,410500,410500,388000,392500,11065,-0.02966625463535233
2015-08-26,392500,419000,384000,419000,7043,0.06751592356687897
