Date,Open,High,Low,Close,Volume,Change
2015-01-02,33400,34800,33300,34250,167685,0.025449101796407136
2015-01-05,34300,35450,33600,35200,274188,0.027737226277372296
2015-01-06,34800,35200,34300,34550,161368,-0.01846590909090906
2015-01-07,34800,34950,33650,33700,202883,-0.02460202604920403
2015-01-08,33350,33450,31900,32600,468082,-0.03264094955489616
2015-01-09,32650,33400,32450,32750,250374,0.004601226993865115
2015-01-12,32200,33400,32200,32850,189498,0.003053435114503733
2015-01-13,32650,32900,32100,32150,276806,-0.0213089802130898
2015-01-14,32150,32450,31300,32000,371145,-0.004665629860031051
2015-01-15,31800,32800,31650,32400,222227,0.012499999999999956
2015-01-16,32100,32750,31950,32500,293229,0.0030864197530864335
2015-01-19,32700,33200,32650,33000,243600,0.01538461538461533
2015-01-20,33100,33200,32100,32200,324377,-0.024242424242424288
2015-01-21,32300,34650,32200,34450,506196,0.06987577639751552
2015-01-22,34750,35450,34300,35050,382654,0.01741654571843254
2015-01-23,35550,36300,35100,35400,391460,0.009985734664764712
2015-01-26,35400,37500,35400,37200,461533,0.05084745762711873
2015-01-27,37750,37750,36700,37450,303407,0.006720430107526987
2015-01-28,37300,38200,36700,38100,260987,0.01735647530040052
2015-01-29,38000,38000,37300,37300,211826,-0.02099737532808399
2015-01-30,37600,38700,37300,38050,228339,0.020107238605898026
2015-02-02,37700,38250,36750,37800,189065,-0.006570302233902758
2015-02-03,37800,38300,37100,37300,192377,-0.013227513227513255
2015-02-04,37500,39750,37400,39150,384714,0.04959785522788196
2015-02-05,39650,40100,38500,39300,316235,0.003831417624521105
2015-02-06,39500,39800,39000,39600,183340,0.007633587786259444
2015-02-09,39600,39650,38050,38350,255355,-0.031565656565656575
2015-02-10,38550,38900,37050,38750,257011,0.010430247718383301
2015-02-11,38400,38900,37800,38350,192262,-0.010322580645161339
2015-02-12,38400,38850,37700,38500,137523,0.003911342894393766
2015-02-13,38650,39050,38250,38850,152041,0.009090909090909038
2015-02-16,38900,38900,38100,38800,160968,-0.0012870012870013214
2015-02-17,39200,39200,37500,37500,211154,-0.03350515463917525
2015-02-23,37500,38950,37500,38950,150412,0.03866666666666663
2015-02-24,39250,39300,38150,39100,185219,0.0038510911424902705
2015-02-25,39000,39100,38300,38300,107819,-0.020460358056266004
2015-02-26,38450,38450,36950,37050,366562,-0.03263707571801566
2015-02-27,37150,37550,36500,37350,172242,0.00809716599190291
2015-03-02,37250,37450,36200,36350,230904,-0.02677376171352075
2015-03-03,35950,36800,35900,36750,186365,0.011004126547455195
2015-03-04,36400,37400,36350,37000,160761,0.006802721088435382
2015-03-05,37150,39200,36750,39050,329888,0.055405405405405395
2015-03-06,39450,41800,39400,41400,716018,0.060179257362355854
2015-03-09,41550,42100,40900,41400,412359,0.0
2015-03-10,42100,42100,40900,40900,253956,-0.012077294685990392
2015-03-11,40800,40950,39500,40550,273681,-0.008557457212713948
2015-03-12,40550,40550,39500,39500,209151,-0.025893958076448786
2015-03-13,39800,41000,39400,40850,204333,0.03417721518987338
2015-03-16,40750,41700,40050,40750,170377,-0.002447980416156681
2015-03-17,40850,41100,39850,40950,161500,0.004907975460122671
2015-03-18,41150,41750,40150,41550,164656,0.0146520146520146
2015-03-19,41650,41750,40850,41000,144389,-0.013237063778580027
2015-03-20,40750,42100,40750,41900,204851,0.02195121951219514
2015-03-23,41900,42050,40800,41450,92780,-0.010739856801909253
2015-03-24,41450,41850,41100,41600,65744,0.003618817852834688
2015-03-25,41750,43450,41500,43250,211534,0.03966346153846145
2015-03-26,42850,43200,41650,42150,206813,-0.02543352601156068
2015-03-27,42350,42950,41750,42200,116595,0.0011862396204034287
2015-03-30,42200,42800,41700,42000,75046,-0.004739336492891044
2015-03-31,41800,42200,41200,41900,166241,-0.0023809523809523725
2015-04-01,42000,43450,41650,42900,219255,0.023866348448687402
2015-04-02,42850,44750,42500,44500,248540,0.037296037296037365
2015-04-03,44650,44850,43400,43850,131778,-0.014606741573033655
2015-04-06,44100,45450,43550,45450,192579,0.036488027366020415
2015-04-07,45950,45950,44800,45000,138055,-0.00990099009900991
2015-04-08,44600,45150,44100,44350,187067,-0.014444444444444482
2015-04-09,44650,45350,44350,45300,105749,0.021420518602029315
2015-04-10,45300,45500,44250,44600,155160,-0.015452538631346546
2015-04-13,44400,45050,44000,44400,162362,-0.004484304932735439
2015-04-14,44400,44950,43500,44950,197031,0.012387387387387427
2015-04-15,44500,46150,44100,45500,228702,0.012235817575083408
