Date,Open,High,Low,Close,Volume,Change
2015-01-02,81000,85800,80500,85100,82706,0.061097256857855387
2015-01-05,87300,90900,86400,89500,108535,0.051703877790834296
2015-01-06,89100,90900,86600,88600,79156,-0.010055865921787754
2015-01-07,88600,89500,86100,86600,50152,-0.02257336343115124
2015-01-08,86500,87000,85100,86000,37405,-0.006928406466512715
2015-01-09,86000,88900,85000,86300,55135,0.0034883720930232176
2015-01-12,86300,89500,86300,89000,39011,0.03128621089223649
2015-01-13,89200,89300,87100,88000,33895,-0.011235955056179803
2015-01-14,88100,97500,88100,94000,133785,0.06818181818181812
2015-01-15,93000,97000,90800,92000,116699,-0.021276595744680882
2015-01-16,92500,93800,91000,92300,47225,0.003260869565217428
2015-01-19,93000,93000,88100,88200,95835,-0.044420368364030294
2015-01-20,89600,92100,88200,90600,74716,0.027210884353741527
2015-01-21,92000,93600,89700,91300,50919,0.007726269315673218
2015-01-22,91200,91900,89500,90300,48280,-0.010952902519167584
2015-01-23,91900,93000,89900,92100,72537,0.019933554817275656
2015-01-26,92300,93900,91200,92000,35324,-0.0010857763300760048
2015-01-27,92200,93000,90400,92500,56533,0.005434782608695565
2015-01-28,91200,92800,90600,92400,43316,-0.00108108108108107
2015-01-29,93400,97500,92400,95900,109917,0.037878787878787845
2015-01-30,96500,104500,94000,101500,121114,0.058394160583941535
2015-02-02,98900,99900,96900,98000,100902,-0.03448275862068961
2015-02-03,95900,98200,92800,98000,121812,0.0
2015-02-04,95000,97000,92600,95800,127627,-0.022448979591836782
2015-02-05,97100,99000,93000,93400,92262,-0.025052192066805867
2015-02-06,93000,93400,91500,91700,44542,-0.018201284796573902
2015-02-09,91000,91300,86000,86000,126396,-0.06215921483097053
2015-02-10,85400,87200,84600,86600,83061,0.006976744186046435
2015-02-11,87600,89900,86700,89900,74648,0.038106235565819935
2015-02-12,90800,92300,89200,91500,55702,0.017797552836484876
2015-02-13,90100,90600,87600,89900,51833,-0.01748633879781425
2015-02-16,89800,89800,85900,87800,52098,-0.023359288097886566
2015-02-17,87900,88800,85900,88800,30891,0.011389521640091216
2015-02-23,89500,89900,87600,87800,15075,-0.011261261261261257
2015-02-24,87900,100500,87900,99800,196940,0.13667425968109348
2015-02-25,98300,101000,96200,97000,89776,-0.028056112224448926
2015-02-26,97300,101000,95500,100500,87404,0.03608247422680422
2015-02-27,101000,101500,99000,101000,56439,0.004975124378109541
2015-03-02,100000,102500,99500,102500,46804,0.014851485148514865
2015-03-03,102500,103500,98200,102500,40688,0.0
2015-03-04,101500,101500,97200,98400,60669,-0.040000000000000036
2015-03-05,98500,101500,97300,100000,55563,0.016260162601626105
2015-03-06,100500,100500,97000,97000,42551,-0.030000000000000027
2015-03-09,97500,98400,94300,97700,55358,0.007216494845360799
2015-03-10,97100,97300,90400,92600,90602,-0.05220061412487209
2015-03-11,92600,95400,91600,92800,43024,0.002159827213822796
2015-03-12,94500,97400,92500,97400,52261,0.049568965517241326
2015-03-13,98400,99000,96700,98200,24721,0.008213552361396204
2015-03-16,99500,102500,97700,102500,103114,0.04378818737270884
2015-03-17,105000,111000,97300,98700,245682,-0.03707317073170735
2015-03-18,99300,100500,94700,95200,72667,-0.03546099290780147
2015-03-19,94500,95900,91700,95000,62434,-0.0021008403361344463
2015-03-20,95000,97000,94500,96000,76486,0.010526315789473717
2015-03-23,94200,96000,93200,96000,27987,0.0
2015-03-24,96000,98300,94900,96100,66313,0.0010416666666666075
2015-03-25,95400,95700,92800,93900,86419,-0.02289281997918835
2015-03-26,93200,93600,89200,91300,112022,-0.027689030883919052
2015-03-27,90100,91600,89500,90900,27263,-0.004381161007667056
2015-03-30,92000,93900,91600,93500,35080,0.028602860286028653
2015-03-31,95300,98200,93700,98200,76465,0.05026737967914441
2015-04-01,97500,99000,95700,98500,42605,0.003054989816700715
2015-04-02,98300,98300,94500,95300,50273,-0.03248730964467006
2015-04-03,96400,97300,96000,97200,25370,0.019937040923399874
2015-04-06,98200,98200,95700,97200,28971,0.0
2015-04-07,94700,95900,94100,94700,32973,-0.025720164609053464
2015-04-08,94000,94100,91000,92000,73836,-0.028511087645195388
2015-04-09,93500,94100,91000,91300,44565,-0.007608695652173925
2015-04-10,91300,92300,90400,90600,55451,-0.00766703176341732
2015-04-13,91800,92300,90500,92100,39810,0.01655629139072845
2015-04-14,93000,96900,92600,93400,68055,0.014115092290988063
2015-04-15,92600,93400,90800,91100,56096,-0.024625267665952855
2015-04-16,90900,91100,87300,89100,122345,-0.021953896816684915
2015-04-17,88900,90100,87900,89900,56693,0.008978675645342271
2015-04-20,89600,89700,87900,88600,35451,-0.014460511679644017
2015-04-21,88600,91000,88300,89600,35371,0.011286681715575675
2015-04-22,90100,91100,84000,88300,67402,-0.014508928571428603
2015-04-23,88800,88800,84000,88800,97259,0.005662514156285381
2015-04-24,88500,88800,86500,88500,51908,-0.0033783783783783994
2015-04-27,88500,90100,87200,90100,44357,0.01807909604519775
2015-04-28,90500,92000,88100,88300,40038,-0.019977802441731418
2015-04-29,89000,89300,85600,87400,60918,-0.010192525481313663
2015-04-30,87500,87900,84000,85000,63100,-0.027459954233409634
2015-05-04,85100,85100,78800,81000,108226,-0.04705882352941182
2015-05-06,77200,79500,76700,79000,91455,-0.024691358024691357
2015-05-07,76500,79800,76200,79100,61522,0.0012658227848101333
2015-05-08,79400,81800,79300,80700,60169,0.020227560050568805
2015-05-11,80700,83300,78000,82000,70779,0.01610904584882289
2015-05-12,82100,82800,80600,82800,34566,0.009756097560975618
2015-05-13,82000,82800,80600,82800,38973,0.0
2015-05-14,82700,82700,80600,81200,36671,-0.019323671497584516
2015-05-15,81600,84900,80300,84900,76081,0.04556650246305427
2015-05-18,87000,87000,83600,85000,96057,0.0011778563015312216
2015-05-19,85400,86600,84100,86200,79805,0.014117647058823568
2015-05-20,87200,91900,87100,90000,172116,0.044083526682134666
2015-05-21,89500,89800,87200,88300,38912,-0.018888888888888844
2015-05-22,87300,88300,85600,85700,45855,-0.029445073612684003
2015-05-26,85700,88600,85600,86500,44455,0.009334889148191472
2015-05-27,87700,88000,84500,86600,957328,0.0011560693641619046
2015-05-28,88000,93400,88000,92200,154796,0.0646651270207852
2015-05-29,93000,95000,90500,92100,137954,-0.0010845986984815426
