Date,Open,High,Low,Close,Volume,Change
2025-12-15,3000,3200,1992,2045,49273744,
2025-12-16,1994,1995,1974,1988,2274416,-0.027872860635696828
2025-12-17,1988,1989,1976,1985,739031,-0.0015090543259557165
2025-12-18,1982,1986,1979,1986,329114,0.0005037783375314575
2025-12-19,1986,1988,1979,1983,179165,-0.0015105740181269312
2025-12-22,1985,1991,1983,1987,263260,0.0020171457387796465
2025-12-23,1987,2005,1983,1995,196581,0.004026170105686955
2025-12-24,1994,1996,1986,1990,99861,-0.0025062656641604564
2025-12-26,1991,1995,1985,1991,147807,0.0005025125628139726
2025-12-29,1990,1993,1987,1990,103983,-0.0005022601707684871
2025-12-30,1990,1995,1987,1995,82977,0.002512562814070307
2026-01-02,1995,2000,1988,2000,86237,0.0025062656641603454
2026-01-05,2000,2000,1993,1997,165783,-0.0014999999999999458
2026-01-06,1997,2015,1990,2010,121135,0.006509764646970506
2026-01-07,2010,2015,1998,1999,162795,-0.005472636815920362
2026-01-08,2010,2010,1993,1996,81605,-0.0015007503751875984
2026-01-09,1996,2030,1995,2020,216203,0.012024048096192397
2026-01-12,2010,2025,2007,2020,48438,0.0
2026-01-13,2005,2030,2005,2020,78976,0.0
2026-01-14,2010,2025,2010,2015,25232,-0.0024752475247524774
2026-01-15,2010,2025,2000,2010,65863,-0.002481389578163795
2026-01-16,2015,2020,2000,2015,69317,0.0024875621890547706
2026-01-19,2005,2015,2005,2010,54526,-0.002481389578163795
2026-01-20,2015,2015,2000,2010,72734,0.0
2026-01-21,2010,2010,2000,2005,75047,-0.0024875621890547706
2026-01-22,2005,2010,2005,2005,25261,0.0
2026-01-23,2005,2015,2005,2015,83122,0.004987531172069737
2026-01-26,2010,2030,2010,2030,35467,0.007444168734491274
2026-01-27,2030,2040,2020,2030,68870,0.0
2026-01-28,2030,2045,2025,2035,56102,0.0024630541871921707
2026-01-29,2040,2060,2030,2055,48136,0.00982800982800991
2026-01-30,2050,2165,2050,2135,241169,0.038929440389294356
2026-02-02,2130,2130,2035,2115,134861,-0.00936768149882905
2026-02-03,2110,2120,2095,2115,86136,0.0
2026-02-04,2100,2120,2095,2110,33653,-0.0023640661938534313
2026-02-05,2095,2115,2095,2110,17987,0.0
2026-02-06,2090,2110,2075,2110,74219,0.0
2026-02-09,2110,2140,2100,2125,92590,0.007109004739336511
