Date,Open,High,Low,Close,Volume,Change
2022-01-03,9300,9840,9210,9440,2178955,0.03169398907103815
2022-01-04,9520,9740,9350,9440,1466774,0.0
2022-01-05,9420,9880,9410,9800,3133607,0.03813559322033888
2022-01-06,9900,10300,8870,8870,3928622,-0.0948979591836735
2022-01-07,8870,9240,8760,8810,553659,-0.006764374295377684
2022-01-10,9220,9790,9050,9230,3381312,0.047673098751418896
2022-01-11,9230,9260,8770,8810,672243,-0.04550379198266519
2022-01-12,8920,9220,8870,8870,823522,0.006810442678774065
2022-01-13,9380,9640,9020,9050,1729955,0.02029312288613294
2022-01-14,8840,9150,8840,8900,421057,-0.016574585635359074
2022-01-17,8970,9140,8600,8630,492637,-0.030337078651685445
2022-01-18,8530,9490,8220,8710,2948951,0.009269988412514474
2022-01-19,8910,9140,8600,8650,1111235,-0.006888633754305373
2022-01-20,8490,8660,8260,8350,502342,-0.034682080924855474
2022-01-21,8320,8590,8260,8280,615608,-0.008383233532934131
2022-01-24,8410,8750,8260,8360,1036264,0.009661835748792313
2022-01-25,8650,10350,8480,9440,15950528,0.1291866028708133
2022-01-26,9390,9880,8800,8840,3874920,-0.06355932203389836
2022-01-27,8990,9190,8090,8140,1965842,-0.079185520361991
2022-01-28,8260,8450,7700,7830,2374169,-0.03808353808353804
2022-02-03,8250,9420,8250,9050,6290325,0.15581098339719035
2022-02-04,9070,9450,8880,9220,2829436,0.01878453038674044
2022-02-07,9150,9470,8810,9180,1813690,-0.004338394793926281
2022-02-08,8950,9340,8780,8990,1802908,-0.020697167755991286
2022-02-09,8700,8700,8420,8460,761169,-0.05895439377085654
2022-02-10,8420,8560,8230,8290,624564,-0.02009456264775411
2022-02-11,8300,8940,8300,8570,2626793,0.033775633293124274
2022-02-14,9200,11100,9100,11100,21015017,0.29521586931155186
2022-02-15,10500,10550,9270,9440,7139465,-0.14954954954954958
2022-02-16,8150,8760,8130,8610,2866542,-0.08792372881355937
2022-02-17,8760,10700,8700,9790,16930861,0.1370499419279907
2022-02-18,10450,10700,9500,9510,7792110,-0.02860061287027582
2022-02-21,10650,10900,9660,9750,7910129,0.025236593059936974
2022-02-22,11050,12600,10200,12550,25118950,0.28717948717948727
2022-02-23,12250,15600,11250,13750,31408278,0.095617529880478
2022-02-24,15900,17850,15600,17850,24673517,0.2981818181818181
2022-02-25,15100,21400,15000,16350,37963221,-0.08403361344537819
2022-02-28,17700,18700,16400,16900,12736104,0.033639143730886945
2022-03-02,19100,19100,16900,17600,8001305,0.041420118343195256
2022-03-03,17500,18200,16050,16500,4286777,-0.0625
2022-03-04,16300,17050,15200,15400,4454889,-0.06666666666666665
2022-03-07,16500,16650,15150,15250,3074590,-0.009740259740259716
2022-03-08,15600,15650,13950,14350,3480261,-0.059016393442622994
2022-03-10,13450,14750,12600,14000,3886004,-0.024390243902439046
2022-03-11,14250,14350,12450,12700,3258140,-0.09285714285714286
2022-03-14,12550,13350,12300,12450,3637245,-0.019685039370078705
2022-03-15,12150,12250,11350,11700,2168081,-0.06024096385542166
2022-03-16,11650,11950,11250,11700,1333853,0.0
2022-03-17,11400,11600,11050,11600,1630359,-0.008547008547008517
2022-03-18,12050,12200,11500,11500,2707139,-0.008620689655172376
2022-03-21,11500,12350,11400,12350,3916196,0.07391304347826089
2022-03-22,12550,13300,12250,12300,4246119,-0.004048582995951455
2022-03-23,12100,13200,11750,12700,5358095,0.03252032520325199
2022-03-24,13500,13700,12500,12900,3103332,0.015748031496062964
2022-03-25,12750,12750,12150,12200,1253728,-0.054263565891472854
2022-03-28,12250,12300,11450,11550,897993,-0.05327868852459017
2022-03-29,11200,11650,11150,11250,828829,-0.025974025974025983
2022-03-30,10900,11150,10550,11000,1459495,-0.022222222222222254
2022-03-31,12700,12700,11250,11350,3396763,0.031818181818181746
2022-04-01,11750,11900,11150,11650,1610945,0.026431718061673992
2022-04-04,11350,11350,11100,11100,504610,-0.047210300429184504
2022-04-05,11200,11300,10800,11150,472563,0.0045045045045044585
2022-04-06,11550,11600,11150,11250,830124,0.008968609865470878
2022-04-07,11250,11500,10650,10750,550315,-0.0444444444444444
2022-04-08,10850,11000,10500,10550,386236,-0.018604651162790753
2022-04-11,10400,10650,10250,10450,474153,-0.009478672985781977
2022-04-12,10700,13350,10450,12000,13732188,0.14832535885167464
2022-04-13,12100,12450,11300,12200,2697398,0.016666666666666607
2022-04-14,12450,12450,11650,11800,1667553,-0.032786885245901676
2022-04-15,12300,12450,11800,12000,2137876,0.016949152542372836
2022-04-18,12350,13000,12050,12100,3022691,0.008333333333333304
2022-04-19,12550,12600,12000,12150,1262507,0.004132231404958775
2022-04-20,11600,11750,11200,11200,1044493,-0.07818930041152261
2022-04-21,11100,11300,10750,11100,732077,-0.008928571428571397
2022-04-22,11000,11350,10900,11150,595983,0.0045045045045044585
2022-04-25,10750,11150,10550,10700,653716,-0.04035874439461884
2022-04-26,10750,10850,10400,10500,495627,-0.01869158878504673
2022-04-27,11450,13650,11400,13650,14766861,0.30000000000000004
2022-04-28,15900,17200,13700,15300,38397960,0.1208791208791209
2022-04-29,14950,18300,14600,17650,27877922,0.15359477124182996
2022-05-02,19300,19850,17450,17900,10821022,0.014164305949008416
2022-05-03,17500,18250,17050,17900,5155387,0.0
2022-05-04,18700,18850,15300,15350,6338992,-0.14245810055865926
2022-05-06,16200,16550,14550,14750,4694328,-0.039087947882736174
2022-05-09,14700,15600,14200,14300,3754378,-0.03050847457627115
2022-05-10,13900,14600,13700,14500,2174183,0.013986013986013957
2022-05-11,14700,15150,14100,14850,3296724,0.024137931034482696
2022-05-12,15200,15250,13300,13550,2344238,-0.08754208754208759
2022-05-13,13400,14100,13000,13950,1492816,0.029520295202952074
