Date,Open,High,Low,Close,Volume,Change
2023-07-28,42400,53700,29700,30000,2897986,
2023-07-31,34000,39000,32500,39000,980970,0.30000000000000004
2023-08-01,50700,50700,43100,45450,2981025,0.16538461538461546
2023-08-02,48950,59000,48100,59000,1778458,0.29812981298129815
2023-08-03,64600,74100,57700,62500,2890817,0.05932203389830515
2023-08-04,63600,66300,50700,55000,1355779,-0.12
2023-08-07,52900,53100,45500,46850,677721,-0.1481818181818182
2023-08-08,45000,55600,44450,46050,2280209,-0.01707577374599789
2023-08-09,45100,49000,43550,45050,863321,-0.021715526601520097
2023-08-10,46800,47600,41150,41650,725773,-0.07547169811320753
2023-08-11,40700,42050,39750,41000,474258,-0.015606242496998823
2023-08-14,40100,41400,39000,39050,260818,-0.04756097560975614
2023-08-16,38150,38550,36050,37400,316451,-0.04225352112676062
2023-08-17,36700,36800,33800,36000,394843,-0.03743315508021394
2023-08-18,34650,36500,33400,34000,480185,-0.05555555555555558
2023-08-21,33150,35950,33050,33750,296521,-0.007352941176470562
2023-08-22,33650,33700,31350,31350,280647,-0.07111111111111112
2023-08-23,31150,32600,30650,30950,243351,-0.012759170653907526
2023-08-24,30950,32950,30900,31950,319449,0.03231017770597733
2023-08-25,31050,31150,28650,28700,390654,-0.10172143974960879
2023-08-28,28950,36900,28350,35150,1610223,0.2247386759581882
2023-08-29,34200,35800,32650,33500,581096,-0.04694167852062592
2023-08-30,33300,34100,32550,32600,256367,-0.0268656716417911
2023-08-31,32650,32650,30550,30650,221768,-0.059815950920245387
2023-09-01,30550,30750,29700,29700,146028,-0.030995106035889064
2023-09-04,29350,31500,29250,30300,212605,0.02020202020202011
2023-09-05,29600,31150,29600,30250,112555,-0.0016501650165016146
2023-09-06,30300,30700,29100,29100,118306,-0.0380165289256198
2023-09-07,28950,29950,28650,28750,102544,-0.012027491408934665
2023-09-08,28500,29650,28450,28750,74839,0.0
2023-09-11,28850,28950,27200,27300,153880,-0.050434782608695605
2023-09-12,27700,27800,26500,26550,121293,-0.027472527472527486
2023-09-13,26300,27150,26100,26200,82340,-0.013182674199623379
2023-09-14,26950,30850,26800,27400,676140,0.04580152671755733
2023-09-15,27150,28300,27050,27700,130758,0.010948905109489093
2023-09-18,27650,27650,26400,26450,90974,-0.045126353790613694
2023-09-19,26600,27300,26200,26200,71365,-0.009451795841209809
2023-09-20,26200,26500,25200,25350,85780,-0.03244274809160308
2023-09-21,25250,25800,24200,24250,96677,-0.04339250493096647
2023-09-22,24250,24800,23800,24700,47975,0.01855670103092777
2023-09-25,25000,25000,23500,23500,54422,-0.04858299595141702
2023-09-26,23400,23850,22550,22550,59407,-0.04042553191489362
2023-09-27,22500,23700,22100,23500,48266,0.04212860310421296
2023-10-04,23300,23350,21900,21950,48598,-0.06595744680851068
2023-10-05,22150,22550,21350,21350,37268,-0.02733485193621865
2023-10-06,21350,24350,21350,22750,92368,0.06557377049180335
2023-10-10,22550,23000,21600,21800,29822,-0.04175824175824172
2023-10-11,22100,23050,22100,22600,36036,0.03669724770642202
2023-10-12,22950,23400,22600,23000,21146,0.017699115044247815
2023-10-13,23000,23050,22400,22500,24043,-0.021739130434782594
2023-10-16,22500,22500,21500,21750,29897,-0.033333333333333326
2023-10-17,22000,24800,21950,23150,161863,0.06436781609195408
2023-10-18,23150,24600,22400,22450,66734,-0.030237580993520474
2023-10-19,22350,22350,21300,21550,61787,-0.04008908685968815
2023-10-20,21550,21550,20150,20500,48930,-0.04872389791183296
2023-10-23,20100,20700,20050,20100,33724,-0.019512195121951237
2023-10-24,20100,20800,19420,20750,50619,0.03233830845771135
2023-10-25,21000,21000,20100,20100,14857,-0.031325301204819245
2023-10-26,19640,19650,18940,18960,55530,-0.05671641791044779
2023-10-27,18970,19310,18710,18750,33253,-0.011075949367088556
2023-10-30,18620,19500,18620,19200,21903,0.02400000000000002
2023-10-31,19210,19380,18300,18320,34465,-0.04583333333333328
2023-11-01,18340,18710,18320,18500,12975,0.009825327510917026
2023-11-02,18700,19330,18520,19330,20970,0.04486486486486485
2023-11-03,19380,19940,19100,19800,24081,0.024314536989135993
2023-11-06,20250,21350,19850,20850,64477,0.05303030303030298
2023-11-07,20500,20600,19510,20100,26910,-0.03597122302158273
2023-11-08,20000,20450,19680,19680,15736,-0.020895522388059695
2023-11-09,22500,25550,22250,25550,318946,0.2982723577235773
2023-11-10,28900,30300,24850,25750,2741371,0.007827788649706457
2023-11-13,27850,31300,26850,27000,2521367,0.04854368932038833
2023-11-14,26600,28850,26200,26950,617032,-0.0018518518518518823
2023-11-15,30600,31400,27900,28000,1450099,0.03896103896103886
2023-11-16,28000,28900,27550,28650,211776,0.023214285714285632
2023-11-17,27900,28000,25350,25650,200222,-0.10471204188481675
2023-11-20,25200,25400,24650,25300,111095,-0.013645224171540016
2023-11-21,24950,25000,23950,24300,113462,-0.03952569169960474
2023-11-22,24100,24300,23600,24300,52086,0.0
2023-11-23,24200,24250,23350,23600,70006,-0.028806584362139898
2023-11-24,23700,25050,23450,24850,126772,0.052966101694915224
2023-11-27,24850,24850,23600,24050,52824,-0.03219315895372232
2023-11-28,24050,24050,22900,23050,75479,-0.04158004158004158
2023-11-29,22800,23300,22600,22850,39313,-0.008676789587852451
2023-11-30,22900,23350,22600,23050,36148,0.00875273522975939
2023-12-01,22950,23050,21850,22000,59439,-0.045553145336225564
2023-12-04,21750,22450,21500,21750,31305,-0.011363636363636354
2023-12-05,21900,21950,21300,21450,28968,-0.01379310344827589
2023-12-06,21450,21800,21250,21450,18645,0.0
2023-12-07,21650,21650,20800,20800,38754,-0.030303030303030276
2023-12-08,21000,21700,20850,21650,29800,0.04086538461538458
2023-12-11,21600,22050,21400,21500,25240,-0.006928406466512715
2023-12-12,21550,21750,21300,21600,16939,0.0046511627906977715
2023-12-13,21600,22850,21350,21650,46619,0.0023148148148148806
2023-12-14,21900,21900,21050,21050,38879,-0.02771362586605086
2023-12-15,21050,21400,20550,20800,35265,-0.01187648456057011
2023-12-18,20850,21200,20550,21150,19385,0.016826923076923128
2023-12-19,21300,21300,20850,20900,23289,-0.011820330969267157
2023-12-20,21000,21300,20950,21200,17379,0.014354066985645897
2023-12-21,20900,21350,20900,21250,17519,0.002358490566037652
2023-12-22,21450,21450,20850,20850,24352,-0.018823529411764683
2023-12-26,20850,20950,20500,20700,16569,-0.007194244604316502
2023-12-27,20350,20950,20350,20750,15645,0.0024154589371980784
2023-12-28,20600,21250,20550,21250,19273,0.024096385542168752
2024-01-02,21250,21500,20650,21500,17363,0.0117647058823529
2024-01-03,21200,21450,20950,21050,8972,-0.020930232558139528
2024-01-04,20900,21250,20700,20800,13573,-0.01187648456057011
2024-01-05,20650,20950,20650,20900,9987,0.004807692307692291
2024-01-08,21300,21300,20650,20900,12692,0.0
2024-01-09,21150,21400,20900,20900,15926,0.0
2024-01-10,20900,21100,20650,20900,10358,0.0
