Date,Open,High,Low,Close,Volume,Change
2023-10-18,15610,19800,14140,14460,26659196,
2023-10-19,14100,16950,12710,13660,18094879,-0.05532503457814664
2023-10-20,13200,14740,13200,13430,5979071,-0.0168374816983895
2023-10-23,13980,14470,13050,13320,3483736,-0.008190618019359608
2023-10-24,13590,13880,12110,12440,2470878,-0.06606606606606602
2023-10-25,12530,13000,12150,12180,1903347,-0.020900321543408373
2023-10-26,11600,11830,10880,10880,1230804,-0.10673234811165844
2023-10-27,11150,11350,10240,10260,1305340,-0.05698529411764708
2023-10-30,10500,11700,10400,11200,3731098,0.09161793372319682
2023-10-31,12100,12370,10620,11580,4088446,0.03392857142857153
2023-11-01,11790,12070,11330,11780,2295768,0.017271157167530138
2023-11-02,12600,15310,12400,14840,12960676,0.2597623089983021
2023-11-03,14420,14520,13220,13390,3273586,-0.09770889487870615
2023-11-06,13930,14180,13250,13500,3372850,0.00821508588498876
2023-11-07,13180,13180,11860,11970,1347648,-0.11333333333333329
2023-11-08,12400,12860,11670,11700,1705158,-0.022556390977443663
2023-11-09,11870,11870,11170,11300,525266,-0.03418803418803418
2023-11-10,11010,11200,10540,10880,472930,-0.03716814159292037
2023-11-13,10910,11150,10340,10350,363679,-0.04871323529411764
2023-11-14,10490,11100,10350,10830,536765,0.04637681159420293
2023-11-15,11280,11760,11050,11540,847160,0.06555863342566948
2023-11-16,11640,11640,11110,11380,400810,-0.013864818024263426
2023-11-17,11410,11430,10690,10760,437828,-0.054481546572935025
2023-11-20,10760,11210,10690,11120,399275,0.03345724907063197
2023-11-21,11120,11410,10810,11100,436285,-0.0017985611510791255
2023-11-22,11050,11170,10830,11160,284752,0.00540540540540535
2023-11-23,11240,11950,11120,11420,946136,0.023297491039426577
2023-11-24,11260,11560,11140,11440,482010,0.0017513134851139256
2023-11-27,11510,12600,11300,11970,2247743,0.046328671328671245
2023-11-28,12120,12430,11780,11870,830877,-0.00835421888053467
2023-11-29,12000,12250,11650,11660,523349,-0.017691659646166813
2023-11-30,11560,12100,11410,11940,320248,0.02401372212692965
2023-12-01,11940,11950,11400,11400,331728,-0.045226130653266305
2023-12-04,11400,11400,10710,10730,388748,-0.058771929824561364
2023-12-05,10600,10750,10390,10470,247627,-0.024231127679403497
2023-12-06,10410,10670,10310,10620,132782,0.014326647564469885
2023-12-07,10810,10810,10390,10410,153112,-0.019774011299435013
2023-12-08,10640,10850,10550,10770,225718,0.03458213256484144
2023-12-11,10820,11120,10750,10950,199578,0.01671309192200554
2023-12-12,11000,11730,10970,11370,636101,0.03835616438356171
2023-12-13,11580,11820,11090,11220,409991,-0.01319261213720313
2023-12-14,11400,11500,10840,10970,244653,-0.022281639928698804
2023-12-15,11020,11580,11020,11220,283838,0.022789425706472244
2023-12-18,11290,11830,11290,11610,355361,0.03475935828876997
2023-12-19,11650,11860,11410,11710,310584,0.008613264427217882
2023-12-20,11940,12250,11640,11850,865015,0.011955593509820561
2023-12-21,11640,11830,11500,11520,270319,-0.027848101265822822
2023-12-22,11650,11850,11520,11570,281779,0.004340277777777679
2023-12-26,11650,11650,10880,11060,219935,-0.04407951598962834
2023-12-27,10960,11160,10890,10920,171418,-0.012658227848101222
2023-12-28,11010,11050,10900,10900,151441,-0.001831501831501825
2024-01-02,10910,11380,10850,11340,214160,0.04036697247706411
2024-01-03,11510,14740,11390,13980,15418219,0.2328042328042328
2024-01-04,13840,13950,13310,13850,2842416,-0.009298998569384875
2024-01-05,14780,14890,13200,13690,4015009,-0.011552346570397165
2024-01-08,14450,15340,14040,14100,9138439,0.02994886778670569
2024-01-09,14400,15060,14060,14370,2592357,0.01914893617021285
2024-01-10,14260,14370,13660,13690,799036,-0.04732080723729992
2024-01-11,13400,13800,13340,13380,539542,-0.02264426588750912
2024-01-12,13480,13480,12720,12790,464668,-0.044095665171898335
2024-01-15,12560,13490,12550,13160,587255,0.02892885066458173
2024-01-16,13290,13290,12550,12650,350333,-0.03875379939209722
2024-01-17,12650,12690,11770,11850,369626,-0.06324110671936756
2024-01-18,11350,11930,11320,11650,540734,-0.016877637130801704
2024-01-19,11890,12460,11890,12450,653451,0.06866952789699576
2024-01-22,13040,14650,12450,14100,3335191,0.1325301204819278
2024-01-23,14280,14620,13900,14400,1692285,0.02127659574468077
2024-01-24,14430,14500,13680,14000,611590,-0.02777777777777779
2024-01-25,14100,14590,13670,13720,1003093,-0.020000000000000018
2024-01-26,13600,13720,13210,13230,420492,-0.0357142857142857
2024-01-29,13150,13150,12510,12540,378841,-0.05215419501133789
2024-01-30,12570,13040,12260,12420,276030,-0.009569377990430672
2024-01-31,12200,12400,11870,11950,315867,-0.037842190016103006
2024-02-01,11950,12080,11500,11650,295572,-0.025104602510460206
2024-02-02,11730,12040,11650,11830,273577,0.015450643776824036
2024-02-05,11950,11960,11330,11400,255107,-0.036348267117497834
2024-02-06,11410,11660,11070,11640,305425,0.021052631578947434
2024-02-07,11960,13350,11860,12310,2077839,0.05756013745704469
2024-02-08,12650,12960,12260,12260,603854,-0.004061738424045447
2024-02-13,12510,13080,12380,12960,618399,0.057096247960848334
2024-02-14,12680,12760,12380,12700,337403,-0.020061728395061706
2024-02-15,12910,12920,12410,12660,384798,-0.0031496062992125706
2024-02-16,12720,12730,12200,12230,332276,-0.033965244865718835
2024-02-19,12210,12550,12160,12260,202095,0.002452984464431651
2024-02-20,12300,14190,12260,14190,2757958,0.15742251223491022
2024-02-21,14010,15000,13880,14280,2271856,0.00634249471458781
2024-02-22,14300,14420,13520,14280,1067194,0.0
2024-02-23,14390,14400,13580,13610,588962,-0.046918767507002856
2024-02-26,13750,14080,13330,13830,389860,0.016164584864070575
2024-02-27,13700,13880,12980,13010,323381,-0.05929139551699203
2024-02-28,13200,13350,12870,13120,166491,0.008455034588777943
2024-02-29,13080,13350,12770,13180,230223,0.004573170731707377
2024-03-04,13510,13780,13230,13260,301332,0.006069802731411222
2024-03-05,13400,13440,12970,13130,213389,-0.009803921568627416
2024-03-06,13300,13820,12920,13740,437420,0.046458492003046414
2024-03-07,13900,13970,13220,13300,332453,-0.03202328966521106
2024-03-08,13530,14100,13270,13580,664953,0.021052631578947434
2024-03-11,13630,13630,12860,12950,503103,-0.046391752577319534
2024-03-12,13100,13700,13060,13070,1433631,0.009266409266409203
2024-03-13,13150,13280,12700,12800,422608,-0.02065799540933433
2024-03-14,12800,12800,12260,12330,281184,-0.03671875000000002
2024-03-15,12300,12370,11960,12270,176749,-0.0048661800486617945
2024-03-18,12280,12550,12080,12310,283398,0.0032599837000815146
2024-03-19,12320,12530,12160,12160,205640,-0.012185215272136452
2024-03-20,12190,12420,12040,12420,207636,0.021381578947368363
2024-03-21,12720,13400,12660,12850,721841,0.0346215780998389
2024-03-22,12880,13050,12560,12570,191260,-0.021789883268482524
2024-03-25,12600,12900,12300,12300,206546,-0.021479713603818618
2024-03-26,12380,12420,12180,12250,127886,-0.004065040650406471
2024-03-27,12250,12580,12180,12380,276163,0.010612244897959089
2024-03-28,12450,12450,12200,12250,161456,-0.01050080775444262
2024-03-29,12340,12400,12240,12260,119185,0.0008163265306122547
2024-04-01,12260,12650,12260,12470,157302,0.0171288743882545
2024-04-02,12480,13460,12330,12660,977893,0.015236567762630271
2024-04-03,12440,12520,12000,12300,303122,-0.028436018957345932
2024-04-04,12440,13850,12330,13850,3209761,0.1260162601626016
2024-04-05,13710,14390,13240,13860,2489442,0.0007220216606498298
2024-04-08,13750,13780,12590,12590,848474,-0.09163059163059162
2024-04-09,12720,12720,12270,12390,406959,-0.015885623510722757
2024-04-11,12240,12660,12110,12530,201983,0.011299435028248483
2024-04-12,12730,12810,12490,12510,256323,-0.0015961691939345712
2024-04-15,12270,12520,12120,12520,208564,0.0007993605115907965
2024-04-16,12350,13110,12350,12610,617799,0.007188498402555865
2024-04-17,12890,13080,12520,12640,396303,0.0023790642347343294
2024-04-18,12450,12830,12390,12830,284751,0.015031645569620222
2024-04-19,12720,12720,12120,12370,366366,-0.03585346843335935
2024-04-22,12180,12380,12160,12270,165605,-0.00808407437348424
2024-04-23,12410,12450,12180,12250,120739,-0.0016299918500407573
2024-04-24,12330,12560,12330,12410,150081,0.013061224489795853
2024-04-25,12400,12640,12270,12270,129609,-0.011281224818694646
2024-04-26,12460,12550,12250,12330,109225,0.004889975550122161
2024-04-29,12400,12900,12380,12660,337870,0.02676399026763998
2024-04-30,12680,12940,12510,12550,250647,-0.008688783570300118
2024-05-02,12470,12500,12340,12390,138362,-0.012749003984063756
2024-05-03,12470,12540,12320,12330,135851,-0.004842615012106588
2024-05-07,12440,12520,12330,12430,130161,0.008110300081102917
2024-05-08,12380,12400,12180,12210,215365,-0.017699115044247815
2024-05-09,12160,12260,12150,12200,94119,-0.0008190008190007703
2024-05-10,12200,12250,11680,11740,276112,-0.03770491803278686
2024-05-13,11600,11970,11600,11600,109983,-0.011925042589437829
2024-05-14,11460,11870,11430,11620,121130,0.0017241379310344307
2024-05-16,11750,11980,11710,11780,101478,0.013769363166953541
2024-05-17,11740,11850,11530,11600,83242,-0.015280135823429575
2024-05-20,11700,11700,11130,11340,158156,-0.022413793103448265
2024-05-21,11350,11450,11240,11300,45577,-0.003527336860670194
2024-05-22,11400,11420,11210,11280,56747,-0.001769911504424737
2024-05-23,11320,11330,11080,11100,114246,-0.015957446808510634
2024-05-24,11100,11110,10720,10720,132550,-0.03423423423423422
2024-05-27,10720,10820,10490,10820,123894,0.009328358208955168
2024-05-28,10720,10950,10630,10650,90203,-0.015711645101663563
2024-05-29,10690,11750,10650,11170,543808,0.04882629107981229
2024-05-30,11090,11250,10810,10990,104648,-0.0161145926589078
2024-05-31,11000,11530,11000,11280,157407,0.02638762511373982
2024-06-03,11330,11450,11200,11260,64735,-0.0017730496453900457
2024-06-04,11260,11260,10860,10900,73847,-0.03197158081705154
2024-06-05,11400,11470,11000,11130,102846,0.02110091743119269
2024-06-07,11190,11250,10980,11080,61134,-0.004492362982928988
2024-06-10,11050,11090,10910,10980,54017,-0.009025270758122761
2024-06-11,11010,11100,10850,10850,60546,-0.011839708561020013
2024-06-12,10860,10940,10800,10850,53285,0.0
2024-06-13,10950,11100,10900,10920,61989,0.006451612903225712
2024-06-14,10850,11090,10810,10810,61162,-0.010073260073260037
2024-06-17,10820,10850,10620,10640,70781,-0.015726179463459777
2024-06-18,10720,10720,10370,10430,108003,-0.019736842105263164
2024-06-19,10470,10630,10390,10520,60889,0.008628954937679678
2024-06-20,10500,10680,10460,10610,53928,0.008555133079847899
2024-06-21,10600,10600,10350,10430,66035,-0.016965127238454336
2024-06-24,10350,10390,10020,10020,94450,-0.03930968360498566
2024-06-25,10020,10270,9910,10200,90029,0.017964071856287456
2024-06-26,10200,10210,9990,10060,56992,-0.013725490196078383
2024-06-27,10060,10080,9830,9850,79914,-0.020874751491053667
2024-06-28,9850,9900,9780,9800,54582,-0.005076142131979711
2024-07-01,9920,10020,9810,9900,59906,0.010204081632652962
2024-07-02,9930,9970,9490,9530,93900,-0.03737373737373739
