Date,Open,High,Low,Close,Volume,Change
2023-09-15,25100,32600,25100,32600,1930735,
2023-09-18,35000,38200,25750,26200,8667877,-0.19631901840490795
2023-09-19,25400,28750,23150,23500,3314914,-0.10305343511450382
2023-09-20,26550,30550,25700,30550,8265638,0.30000000000000004
2023-09-21,29700,32550,26400,27200,6034242,-0.10965630114566283
2023-09-22,25800,26000,24000,24650,1465525,-0.09375
2023-09-25,24550,24600,21350,22050,1307435,-0.10547667342799194
2023-09-26,21550,25500,20150,20900,3802166,-0.05215419501133789
2023-09-27,20550,20750,19100,19630,1336401,-0.06076555023923447
2023-10-04,19720,20400,17410,17450,1470742,-0.1110545084055018
2023-10-05,17350,17500,16170,16230,1047945,-0.06991404011461322
2023-10-06,16060,20850,16050,19230,6193315,0.18484288354898326
2023-10-10,19050,20100,16550,16550,2359514,-0.13936557462298493
2023-10-11,17200,19500,17020,18110,3594275,0.09425981873111788
2023-10-12,18400,19400,17770,17820,1088951,-0.016013252346769757
2023-10-13,18200,18430,16390,16710,625448,-0.062289562289562284
2023-10-16,16250,16450,15050,15370,636869,-0.08019150209455417
2023-10-17,16000,16490,15200,15270,660066,-0.006506180871828193
2023-10-18,15510,19100,14140,15780,4921320,0.03339882121807469
2023-10-19,15200,18800,15150,16460,7676963,0.043092522179974724
2023-10-20,15000,16480,14270,14290,2311616,-0.13183475091130015
2023-10-23,14140,15500,14040,14190,1095899,-0.0069979006298110935
2023-10-24,14150,14560,13360,13860,771278,-0.023255813953488413
2023-10-25,14000,14800,13440,13550,1069488,-0.022366522366522368
2023-10-26,12900,13200,12040,12040,564333,-0.11143911439114396
2023-10-27,12000,12540,11600,11600,447693,-0.03654485049833889
2023-10-30,11690,13460,11670,12700,2288514,0.09482758620689657
2023-10-31,12500,12810,11740,11810,371431,-0.07007874015748028
2023-11-01,12100,13520,12090,12200,1140274,0.03302286198137172
2023-11-02,12200,13040,12200,12590,459542,0.031967213114754145
2023-11-03,12700,13230,11840,11990,498685,-0.04765687053216838
2023-11-06,12150,12430,11850,12170,523439,0.015012510425354453
2023-11-07,12250,12250,11080,11320,456585,-0.06984387838948236
2023-11-08,11410,11420,10950,10970,228127,-0.030918727915194344
2023-11-09,10980,11000,10520,10840,175805,-0.01185050136736554
2023-11-10,10700,10700,10110,10400,135272,-0.040590405904059046
2023-11-13,10520,13400,10310,12460,5150818,0.19807692307692304
2023-11-14,12030,12400,11500,11700,1286362,-0.0609951845906902
2023-11-15,11820,13500,11660,12250,3296176,0.047008547008547064
2023-11-16,12400,12690,12110,12150,489882,-0.008163265306122436
2023-11-17,12430,12430,11360,11460,349813,-0.05679012345679013
2023-11-20,11430,12600,11080,12140,932528,0.059336823734729593
2023-11-21,12010,12460,11780,12110,313710,-0.0024711696869851307
2023-11-22,12110,13100,11930,12560,948903,0.03715937241948808
2023-11-23,12560,12780,12150,12150,304603,-0.03264331210191085
2023-11-24,12140,12140,11620,11710,224152,-0.036213991769547316
2023-11-27,11720,12450,11650,11820,486810,0.009393680614859123
2023-11-28,11820,12000,11420,11550,200134,-0.022842639593908642
2023-11-29,11740,11740,11380,11420,144526,-0.011255411255411296
2023-11-30,11450,14200,11420,12810,4535096,0.12171628721541161
2023-12-01,12820,13570,12350,12530,1257062,-0.021857923497267784
2023-12-04,12790,15670,12610,15200,5695242,0.21308858739026326
2023-12-05,14680,15590,14010,15100,1959509,-0.006578947368421018
2023-12-06,15530,15990,14200,14950,1216129,-0.009933774834437137
2023-12-07,14750,15100,13710,14070,522520,-0.05886287625418063
2023-12-08,14150,14890,13500,13600,580384,-0.03340440653873489
2023-12-11,13670,14060,13360,13680,328860,0.00588235294117645
2023-12-12,13840,14750,13530,13960,655796,0.020467836257309857
2023-12-13,13900,14090,13050,13230,258137,-0.05229226361031514
2023-12-14,13500,15570,12700,13310,2894262,0.006046863189720364
2023-12-15,13310,13730,12770,12950,401024,-0.02704733283245675
2023-12-18,14200,14700,13200,13890,965818,0.07258687258687258
2023-12-19,14220,14500,13310,13530,634120,-0.02591792656587477
2023-12-20,13530,14070,13130,13610,642835,0.00591278640059123
2023-12-21,13900,13980,13120,13150,399497,-0.033798677443056535
2023-12-22,13190,13220,12730,12980,212637,-0.012927756653992373
2023-12-26,12710,13070,12220,12220,174914,-0.05855161787365182
2023-12-27,12360,12950,12040,12300,241284,0.00654664484451728
2023-12-28,12400,12600,12200,12330,104251,0.0024390243902439046
2024-01-02,12500,12500,12250,12350,71478,0.0016220600162206722
2024-01-03,12330,12350,11910,11940,113499,-0.03319838056680158
2024-01-04,12300,14450,12100,13050,3591131,0.09296482412060292
2024-01-05,12580,12690,12250,12370,388646,-0.05210727969348661
2024-01-08,12380,12440,12130,12230,130668,-0.011317704122877914
2024-01-09,12080,12900,12050,12250,541162,0.0016353229762877675
2024-01-10,12260,12570,12150,12250,147603,0.0
2024-01-11,12210,12400,12150,12170,141829,-0.0065306122448979265
2024-01-12,13300,14240,12560,12730,2796547,0.046014790468364763
2024-01-15,13310,13530,12730,12910,781079,0.014139827179890041
2024-01-16,12860,12880,11900,12140,344883,-0.05964368706429124
2024-01-17,12460,14430,12380,12780,4331970,0.05271828665568368
2024-01-18,13000,13020,12190,12460,460454,-0.025039123630672955
2024-01-19,12300,12410,12150,12180,271704,-0.022471910112359605
2024-01-22,12200,12230,11530,11550,271433,-0.051724137931034475
2024-01-23,11500,12000,11500,11620,166149,0.0060606060606061
2024-01-24,11620,11890,11200,11230,133816,-0.033562822719449215
2024-01-25,11160,11220,10700,10880,89407,-0.03116651825467498
2024-01-26,11050,11070,10800,10920,69303,0.003676470588235281
2024-01-29,11400,11400,10390,10790,100940,-0.011904761904761862
2024-01-30,10800,11060,10600,10720,66974,-0.006487488415199305
2024-01-31,10610,10740,10150,10240,78573,-0.04477611940298509
2024-02-01,10240,10290,9840,9980,99767,-0.025390625
2024-02-02,10000,10230,9990,10040,60619,0.006012024048096087
2024-02-05,9930,10500,9930,10090,55958,0.004980079681274896
2024-02-06,9950,10250,9800,9970,57798,-0.01189296333002976
2024-02-07,10000,10200,9970,10150,44473,0.01805416248746239
2024-02-08,10150,10190,9990,10020,45537,-0.012807881773398977
2024-02-13,10020,10170,10000,10030,41745,0.0009980039920158834
2024-02-14,9930,10180,9880,10080,41346,0.004985044865403854
2024-02-15,10130,10360,9980,10270,63591,0.018849206349206282
2024-02-16,10300,10700,10240,10300,167045,0.0029211295034079487
2024-02-19,10500,10500,10140,10210,34373,-0.008737864077669855
2024-02-20,10210,10290,9950,10110,53572,-0.009794319294809006
2024-02-21,10110,10150,9980,10030,57830,-0.007912957467853587
2024-02-22,9970,10060,9970,10000,31958,-0.0029910269192422456
2024-02-23,10000,10120,9860,9860,60510,-0.014000000000000012
2024-02-26,9870,9930,9520,9590,65383,-0.02738336713995948
