Date,Open,High,Low,Close,Volume,Change
2022-01-03,8800,9200,8600,9190,1039454,0.04550625711035261
2022-01-04,9370,9650,9060,9430,1764384,0.02611534276387384
2022-01-05,9290,9630,9220,9520,767510,0.009544008483563182
2022-01-06,9220,9470,9080,9250,1078836,-0.028361344537815136
2022-01-07,9250,9890,9010,9890,1397252,0.06918918918918915
2022-01-10,9880,10550,9180,9760,3273306,-0.013144590495449915
2022-01-11,9760,9800,9250,9300,781632,-0.047131147540983576
2022-01-12,9360,9580,9100,9300,803200,0.0
2022-01-13,9400,9900,9320,9790,1201917,0.052688172043010795
2022-01-14,9640,9840,9210,9250,986746,-0.05515832482124616
2022-01-17,9290,9300,8720,8730,727171,-0.0562162162162162
2022-01-18,8720,8800,8130,8290,1275967,-0.05040091638029787
2022-01-19,8110,8550,7900,8370,981550,0.00965018094089265
2022-01-20,8370,8600,8300,8570,359258,0.0238948626045401
2022-01-21,8400,8690,8360,8620,437569,0.005834305717619559
2022-01-24,8540,9200,8360,8870,1204880,0.029002320185614883
2022-01-25,9040,9170,8260,8380,1191278,-0.055242390078917736
2022-01-26,8380,8570,8210,8380,356447,0.0
2022-01-27,8370,8510,8100,8340,377794,-0.004773269689737458
2022-01-28,8380,8440,8080,8420,392821,0.00959232613908867
2022-02-03,8510,8670,8230,8230,496161,-0.0225653206650831
2022-02-04,8290,8290,8080,8200,270345,-0.0036452004860266785
2022-02-07,8220,8240,7860,7860,425280,-0.04146341463414638
2022-02-08,7860,7940,7500,7590,443664,-0.03435114503816794
2022-02-09,7570,7760,7350,7580,647105,-0.0013175230566534468
2022-02-10,7670,7720,7220,7330,498428,-0.03298153034300788
2022-02-11,7210,7330,7110,7120,283463,-0.028649386084583894
2022-02-14,6930,7020,6700,6710,379551,-0.057584269662921295
2022-02-15,6750,6880,6530,6640,298664,-0.010432190760059634
2022-02-16,6790,7020,6750,7020,224969,0.05722891566265065
2022-02-17,7030,7240,6860,7090,373859,0.009971509971509862
2022-02-18,6920,7120,6890,7110,229817,0.0028208744710860323
2022-02-21,6990,7450,6810,7410,443701,0.04219409282700415
2022-02-22,7110,7410,7110,7220,245357,-0.02564102564102566
2022-02-23,7330,7490,7210,7480,265388,0.03601108033241007
2022-02-24,7400,7450,7230,7250,242457,-0.03074866310160429
2022-02-25,7430,7450,7220,7400,250638,0.020689655172413834
2022-02-28,7430,7610,7370,7610,360491,0.02837837837837842
2022-03-02,7530,7620,7410,7570,173982,-0.005256241787122251
2022-03-03,7650,7710,7570,7620,144991,0.006605019815059343
2022-03-04,7600,8000,7560,7760,503552,0.018372703412073532
2022-03-07,7610,7640,7260,7260,284060,-0.06443298969072164
2022-03-08,7030,7220,6950,6950,207758,-0.04269972451790638
2022-03-10,7270,7270,7010,7010,90314,0.008633093525179936
2022-03-11,7010,7120,6810,6980,137158,-0.004279600570613384
2022-03-14,6960,6960,6510,6700,245267,-0.04011461318051579
2022-03-15,6690,6740,6530,6550,161074,-0.02238805970149249
2022-03-16,6640,6860,6580,6850,189584,0.04580152671755733
2022-03-17,6940,7760,6910,7090,4002930,0.035036496350364876
2022-03-18,7060,7280,6990,7150,246761,0.008462623413258097
2022-03-21,7240,7250,7080,7090,123711,-0.008391608391608352
2022-03-22,7080,7140,6950,7100,135837,0.0014104372355430161
2022-03-23,7150,7180,7000,7040,184835,-0.008450704225352101
2022-03-24,7040,7040,6950,6990,99792,-0.007102272727272707
2022-03-25,7050,7070,6970,7020,121708,0.0042918454935623185
2022-03-28,7010,7010,6900,6950,98321,-0.009971509971509973
2022-03-29,6960,7040,6900,7020,128573,0.010071942446043147
2022-03-30,7030,7090,6910,7030,146973,0.0014245014245013454
2022-03-31,7020,7030,6930,7000,89705,-0.004267425320056861
2022-04-01,6980,7000,6890,6900,81663,-0.014285714285714235
2022-04-04,6900,7020,6890,7000,63857,0.01449275362318847
2022-04-05,7010,7180,7010,7030,139544,0.004285714285714226
2022-04-06,6980,7000,6920,6950,84596,-0.011379800853485111
2022-04-07,6920,6920,6740,6740,184970,-0.030215827338129442
