Date,Open,High,Low,Close,Volume,Change
2022-01-03,11550,11700,11550,11600,16504,0.0
2022-01-04,11650,11800,11600,11750,18198,0.012931034482758674
2022-01-05,11750,11750,11600,11600,20089,-0.012765957446808529
2022-01-06,11550,12100,11450,11950,93216,0.030172413793103425
2022-01-07,12150,12150,11800,11950,26615,0.0
2022-01-10,12000,12850,11700,12350,300614,0.03347280334728042
2022-01-11,12200,12200,11650,11850,70366,-0.04048582995951422
2022-01-12,11900,12700,11900,12450,214811,0.05063291139240511
2022-01-13,12400,12500,12200,12500,51040,0.004016064257028162
2022-01-14,12300,12450,12100,12350,20364,-0.01200000000000001
2022-01-17,12150,12450,11850,12000,47821,-0.028340080971659964
2022-01-18,11850,12100,11550,12000,55583,0.0
2022-01-19,11800,11850,11450,11450,54542,-0.04583333333333328
2022-01-20,11400,11600,11250,11500,17742,0.004366812227074135
2022-01-21,11500,11550,11200,11400,27732,-0.008695652173912993
2022-01-24,11300,11350,11000,11100,26138,-0.02631578947368418
2022-01-25,11200,11200,10600,10700,34846,-0.036036036036036
2022-01-26,10550,11250,10550,10800,19071,0.009345794392523255
2022-01-27,10950,10950,10250,10300,48543,-0.04629629629629628
2022-01-28,10300,10650,10200,10650,15681,0.03398058252427183
2022-02-03,10700,11050,10700,10900,13456,0.023474178403755763
2022-02-04,10900,11050,10800,10950,5248,0.004587155963302836
2022-02-07,11150,11150,10750,10900,16592,-0.004566210045662156
2022-02-08,10800,11000,10650,10750,9590,-0.013761467889908285
2022-02-09,10850,10850,10650,10750,15199,0.0
2022-02-10,10750,11350,10700,11150,46400,0.037209302325581506
2022-02-11,11150,11150,10800,10850,13056,-0.026905829596412523
2022-02-14,10800,10800,10350,10400,25758,-0.04147465437788023
2022-02-15,10350,10800,10350,10400,10119,0.0
2022-02-16,10750,10800,10450,10600,21655,0.019230769230769162
2022-02-17,10600,11100,10450,10850,34906,0.02358490566037741
2022-02-18,10600,11550,10550,11150,48402,0.02764976958525356
2022-02-21,11150,11150,10650,11000,30257,-0.013452914798206317
2022-02-22,10750,11000,10750,10850,11605,-0.013636363636363669
2022-02-23,10850,11400,10800,11100,37825,0.02304147465437789
2022-02-24,11100,11750,10800,10800,72775,-0.027027027027026973
2022-02-25,11050,11250,11000,11100,38907,0.02777777777777768
2022-02-28,11550,11800,11350,11450,114432,0.03153153153153143
2022-03-02,11450,11650,11450,11500,20541,0.004366812227074135
2022-03-03,11500,11850,11500,11600,24259,0.008695652173912993
2022-03-04,11800,11800,11500,11700,35190,0.008620689655172376
2022-03-07,11700,11750,11400,11550,19538,-0.012820512820512775
2022-03-08,11300,13800,11300,12700,2611356,0.09956709956709964
2022-03-10,12800,12900,12050,12250,447537,-0.03543307086614178
2022-03-11,12200,13000,12000,12750,462980,0.04081632653061229
2022-03-14,13100,13250,12500,12750,388504,0.0
2022-03-15,12500,12900,12150,12150,195280,-0.04705882352941182
2022-03-16,12300,12500,12150,12400,101873,0.020576131687242816
2022-03-17,12500,12550,12200,12300,81760,-0.008064516129032251
2022-03-18,12350,12450,12100,12350,58352,0.004065040650406582
2022-03-21,12300,12450,12050,12050,81047,-0.02429149797570851
2022-03-22,12150,12550,12100,12350,73697,0.024896265560165887
2022-03-23,12300,12700,12250,12500,146782,0.012145748987854255
2022-03-24,12500,12900,12250,12750,232517,0.020000000000000018
