Date,Open,High,Low,Close,Volume,Change
2022-01-03,13050,13300,13050,13200,159802,0.0038022813688212143
2022-01-04,13200,13300,13050,13250,147630,0.0037878787878788955
2022-01-05,13100,13150,12950,13050,199409,-0.015094339622641506
2022-01-06,12900,13150,12900,13000,141095,-0.003831417624521105
2022-01-07,13000,13300,12900,13250,144390,0.019230769230769162
2022-01-10,13200,13300,13000,13250,151793,0.0
2022-01-11,13100,13300,13000,13050,129353,-0.015094339622641506
2022-01-12,13100,13350,13100,13250,142070,0.015325670498084198
2022-01-13,13200,13900,13200,13850,472428,0.04528301886792452
2022-01-14,13900,14050,13650,13750,362597,-0.0072202166064981865
2022-01-17,13700,13850,13350,13500,274506,-0.018181818181818188
2022-01-18,13500,13700,13200,13300,176138,-0.014814814814814836
2022-01-19,13300,13450,13100,13200,132965,-0.007518796992481258
2022-01-20,13150,13650,13150,13450,142867,0.018939393939394034
2022-01-21,13300,13700,13200,13500,175700,0.0037174721189590088
2022-01-24,13500,13600,13150,13150,189696,-0.025925925925925908
2022-01-25,13150,13250,12600,12650,328644,-0.03802281368821292
2022-01-26,12600,13200,12600,13050,332496,0.031620553359683834
2022-01-27,13150,13150,12400,12400,326764,-0.04980842911877392
2022-01-28,12400,13350,12400,13250,287409,0.06854838709677424
2022-02-03,13500,13750,13300,13300,274599,0.0037735849056603765
2022-02-04,13300,14450,13200,14250,588789,0.0714285714285714
2022-02-07,14100,14550,13950,14300,590170,0.0035087719298245723
2022-02-08,14450,14600,13900,14100,524994,-0.013986013986013957
2022-02-09,14400,14500,14050,14400,300526,0.02127659574468077
2022-02-10,14550,14550,14100,14100,311193,-0.02083333333333337
2022-02-11,14000,15150,13950,14650,1097649,0.03900709219858145
2022-02-14,14350,14850,14200,14550,552933,-0.0068259385665528916
2022-02-15,14550,14750,14050,14300,424914,-0.01718213058419249
2022-02-16,14750,14800,14400,14700,339022,0.027972027972027913
2022-02-17,14650,15250,14550,14900,807732,0.013605442176870763
2022-02-18,14700,15050,14600,14900,297396,0.0
2022-02-21,14650,15350,14600,15100,423955,0.01342281879194629
2022-02-22,14800,15100,14750,14950,303706,-0.009933774834437137
2022-02-23,15100,15100,14650,15050,258215,0.006688963210702337
2022-02-24,14800,14850,14250,14350,411960,-0.046511627906976716
2022-02-25,14650,14750,14350,14650,256836,0.020905923344947785
2022-02-28,14650,14900,14400,14600,266603,-0.0034129692832765013
2022-03-02,14600,14750,14450,14700,175966,0.006849315068493178
2022-03-03,14900,14950,14400,14550,328044,-0.010204081632653073
2022-03-04,14550,14750,14250,14700,217135,0.010309278350515427
2022-03-07,14450,14500,14000,14100,370643,-0.04081632653061229
2022-03-08,13800,14000,13600,13700,349796,-0.028368794326241176
2022-03-10,14100,14450,14000,14100,327483,0.029197080291970767
2022-03-11,14150,15250,14100,15100,973644,0.07092198581560294
2022-03-14,15200,15300,14600,14600,487521,-0.0331125827814569
2022-03-15,14650,15100,14550,14700,342241,0.006849315068493178
2022-03-16,15000,15050,14650,14900,268715,0.013605442176870763
2022-03-17,15150,15150,14750,14950,256527,0.003355704697986628
2022-03-18,14900,14950,14600,14700,254422,-0.01672240802675584
2022-03-21,14800,15100,14650,14650,236307,-0.003401360544217691
2022-03-22,14700,14750,14550,14700,130888,0.0034129692832765013
2022-03-23,14750,14800,14550,14700,160102,0.0
2022-03-24,14500,14650,14450,14600,156538,-0.006802721088435382
2022-03-25,14600,14650,14350,14600,210784,0.0
2022-03-28,14550,14700,14400,14550,157340,-0.003424657534246589
2022-03-29,14600,14700,14450,14550,138376,0.0
2022-03-30,14600,14900,14600,14800,255231,0.01718213058419238
2022-03-31,14750,14850,14650,14850,127731,0.0033783783783782884
2022-04-01,14700,15350,14650,15250,559189,0.026936026936027035
2022-04-04,15300,15650,15150,15550,611120,0.01967213114754096
2022-04-05,15850,16500,15500,16250,1678574,0.045016077170418
2022-04-06,16150,16250,15800,15800,550562,-0.027692307692307683
2022-04-07,15700,15850,15300,15300,454194,-0.03164556962025311
2022-04-08,15300,15350,15000,15250,329016,-0.0032679738562091387
2022-04-11,15200,15750,15200,15450,490620,0.013114754098360715
2022-04-12,15250,15350,15000,15050,407197,-0.02588996763754048
2022-04-13,15050,15350,14950,15300,301403,0.01661129568106312
2022-04-14,15350,15500,15150,15200,276592,-0.006535947712418277
2022-04-15,15250,15600,15150,15500,366075,0.019736842105263053
2022-04-18,15550,15850,15400,15500,297203,0.0
2022-04-19,15550,15600,15350,15450,251398,-0.003225806451612856
2022-04-20,15450,15500,15250,15450,192674,0.0
2022-04-21,15550,15550,15350,15500,130499,0.003236245954692629
2022-04-22,15350,15350,15200,15300,209632,-0.012903225806451646
2022-04-25,15050,15350,14950,15200,209004,-0.006535947712418277
2022-04-26,15300,15300,15050,15250,197428,0.00328947368421062
2022-04-27,14900,15000,14800,14900,315196,-0.022950819672131195
2022-04-28,15000,15350,14800,15250,333573,0.02348993288590595
2022-04-29,15250,15500,15150,15500,298002,0.016393442622950838
2022-05-02,15250,15500,15150,15350,206697,-0.009677419354838679
2022-05-03,15400,15450,15000,15050,188387,-0.019543973941368087
2022-05-04,15150,15200,14700,14800,238490,-0.01661129568106312
2022-05-06,14500,14750,14400,14600,205362,-0.013513513513513487
2022-05-09,14500,14550,14050,14150,272203,-0.03082191780821919
2022-05-10,13900,14050,13600,14000,355786,-0.010600706713780883
2022-05-11,13850,14300,13850,13950,175205,-0.0035714285714285587
2022-05-12,13750,14100,13650,13900,227161,-0.0035842293906810374
2022-05-13,13950,14550,13850,14550,211475,0.046762589928057485
2022-05-16,14450,14650,14300,14350,128671,-0.013745704467353903
2022-05-17,14300,14500,14250,14350,87676,0.0
2022-05-18,14450,14500,14250,14250,90975,-0.006968641114982632
2022-05-19,13900,14350,13850,14150,163967,-0.007017543859649145
2022-05-20,14250,14500,14200,14450,107220,0.021201413427561766
2022-05-23,14500,14500,14250,14350,86865,-0.00692041522491349
2022-05-24,14250,14400,14050,14150,101060,-0.013937282229965153
2022-05-25,14150,14300,14050,14250,87766,0.007067137809187329
2022-05-26,14300,14700,14150,14650,210649,0.02807017543859658
2022-05-27,14750,15150,14700,15000,236383,0.023890784982935065
2022-05-30,15050,15250,14950,15050,122844,0.0033333333333334103
2022-05-31,15000,15150,14900,15000,149186,-0.0033222591362126463
2022-06-02,14900,15400,14850,15350,220922,0.023333333333333428
2022-06-03,15450,15500,15300,15400,261082,0.0032573289902280145
2022-06-07,15350,15500,15250,15350,209004,-0.0032467532467532756
2022-06-08,15400,15600,15350,15400,247765,0.0032573289902280145
2022-06-09,15350,15450,15100,15350,263802,-0.0032467532467532756
2022-06-10,15150,15400,15100,15300,271015,-0.0032573289902280145
2022-06-13,15000,15150,14550,14600,313727,-0.04575163398692805
2022-06-14,14300,14800,14250,14700,259799,0.006849315068493178
2022-06-15,14600,14750,13950,14150,258931,-0.0374149659863946
2022-06-16,14450,14450,14000,14000,180828,-0.010600706713780883
2022-06-17,13600,14300,13600,14200,272564,0.014285714285714235
2022-06-20,14300,14350,13700,13950,200370,-0.017605633802816878
2022-06-21,13950,14250,13850,14150,136044,0.014336917562723928
2022-06-22,14200,14200,13300,13550,312522,-0.04240282685512364
2022-06-23,13500,13700,12700,12700,409749,-0.0627306273062731
2022-06-24,12600,13100,12600,12900,230909,0.015748031496062964
2022-06-27,13150,13400,12750,13200,249871,0.023255813953488413
2022-06-28,13100,13300,12950,13200,142491,0.0
2022-06-29,13100,13400,13000,13250,156757,0.0037878787878788955
2022-06-30,13250,13400,12950,12950,158146,-0.02264150943396226
2022-07-01,13150,13250,12650,12950,181271,0.0
2022-07-04,12950,13100,12650,13100,214691,0.01158301158301156
2022-07-05,13000,14200,13000,13600,453341,0.03816793893129766
2022-07-06,13600,13950,13450,13700,266988,0.007352941176470562
2022-07-07,13750,14100,13700,13750,138652,0.0036496350364962904
2022-07-08,13800,14000,13600,13950,190735,0.014545454545454639
2022-07-11,13800,13850,13000,13250,521232,-0.05017921146953408
2022-07-12,13100,13200,12850,13100,213397,-0.01132075471698113
2022-07-13,13100,13300,12900,13300,159840,0.01526717557251911
2022-07-14,13050,13800,13050,13500,165127,0.015037593984962516
2022-07-15,13700,13850,13250,13700,147975,0.014814814814814836
2022-07-18,13650,13850,13450,13750,153772,0.0036496350364962904
2022-07-19,13650,13950,13400,13800,237103,0.0036363636363636598
2022-07-20,13900,13950,13600,13750,136556,-0.0036231884057971175
2022-07-21,13700,14000,13600,14000,169783,0.018181818181818077
2022-07-22,13850,14050,13750,13950,124638,-0.0035714285714285587
2022-07-25,13800,14000,13800,13950,66847,0.0
2022-07-26,13800,14000,13750,13800,65312,-0.010752688172043001
2022-07-27,13850,14050,13700,13950,78636,0.010869565217391353
2022-07-28,14000,14400,13900,14250,256436,0.021505376344086002
2022-07-29,14200,14550,14200,14350,149568,0.007017543859649145
2022-08-01,14250,14500,14200,14250,90002,-0.006968641114982632
2022-08-02,14200,14650,14050,14550,176938,0.021052631578947434
2022-08-03,14550,15050,14350,14950,462321,0.027491408934707806
2022-08-04,14900,15400,14750,14850,510116,-0.006688963210702337
2022-08-05,14850,14850,14500,14600,197990,-0.01683501683501687
2022-08-08,14600,14850,14450,14850,208820,0.017123287671232834
2022-08-09,14800,14950,14450,14900,422023,0.0033670033670034627
2022-08-10,14800,15000,14550,14850,245556,-0.003355704697986628
2022-08-11,15000,15400,14900,15350,624347,0.03367003367003374
2022-08-12,15250,15600,15250,15400,323408,0.0032573289902280145
2022-08-16,15500,15550,15250,15450,172672,0.0032467532467532756
2022-08-17,15300,15400,15050,15200,148133,-0.016181229773462813
2022-08-18,15000,15400,15000,15250,262703,0.00328947368421062
2022-08-19,15200,15450,15150,15400,229685,0.009836065573770592
2022-08-22,15300,15450,15100,15350,132327,-0.0032467532467532756
2022-08-23,15200,15450,15150,15300,211175,-0.0032573289902280145
2022-08-24,15300,16000,15200,15900,612322,0.03921568627450989
2022-08-25,15950,16150,15800,16000,338629,0.0062893081761006275
2022-08-26,15850,15950,15700,15700,163584,-0.018750000000000044
2022-08-29,15150,15800,15100,15500,230517,-0.01273885350318471
2022-08-30,15450,16050,15450,15950,314998,0.029032258064516148
2022-08-31,16000,16100,15700,16000,242542,0.0031347962382444194
2022-09-01,15750,16100,15600,15800,294750,-0.012499999999999956
2022-09-02,15850,16050,15650,15950,262022,0.009493670886076
2022-09-05,16000,16050,15700,15950,296746,0.0
2022-09-06,16000,16200,15900,16100,225695,0.00940438871473348
2022-09-07,15900,16050,15750,16050,262066,-0.0031055900621117516
2022-09-08,16200,16250,16000,16150,225622,0.006230529595015577
2022-09-13,16250,16400,16100,16200,227835,0.003095975232198178
2022-09-14,15800,16100,15700,16000,157126,-0.012345679012345734
2022-09-15,15950,16100,15850,15950,94667,-0.0031250000000000444
2022-09-16,15800,15900,15600,15650,134743,-0.018808777429467072
2022-09-19,15700,15800,15500,15750,129274,0.006389776357827559
2022-09-20,15750,16450,15750,16400,389837,0.041269841269841345
2022-09-21,16300,16500,16150,16200,150406,-0.012195121951219523
2022-09-22,16050,16150,15800,16100,196983,-0.006172839506172867
2022-09-23,16000,16050,14850,14950,534832,-0.0714285714285714
2022-09-26,14800,15000,14250,14400,266781,-0.03678929765886285
2022-09-27,14400,15250,14400,15250,397298,0.05902777777777768
2022-09-28,15100,15400,14600,15200,249598,-0.003278688524590123
2022-09-29,15300,15300,14750,14750,120579,-0.02960526315789469
2022-09-30,14900,14900,14350,14700,184028,-0.003389830508474523
2022-10-04,14850,15200,14650,15100,173902,0.027210884353741527
2022-10-05,15250,15300,14900,15100,201688,0.0
2022-10-06,15200,15450,15050,15150,127030,0.0033112582781456013
2022-10-07,15050,16000,15050,15850,387534,0.0462046204620461
2022-10-11,15600,15750,15000,15100,253122,-0.04731861198738174
2022-10-12,14950,15300,14900,15000,157243,-0.0066225165562914245
2022-10-13,15050,15050,14750,14900,210308,-0.00666666666666671
2022-10-14,15050,15400,14900,15250,152766,0.02348993288590595
2022-10-17,15000,15250,14750,15100,97889,-0.00983606557377048
2022-10-18,15250,15650,15250,15550,126772,0.0298013245033113
2022-10-19,15600,15650,15100,15100,239212,-0.02893890675241162
2022-10-20,15050,15200,14800,15050,144288,-0.0033112582781457123
2022-10-21,15050,15150,14850,15050,98172,0.0
2022-10-24,15400,15400,14600,14650,176892,-0.02657807308970095
2022-10-25,14600,14750,13900,14100,293792,-0.03754266211604096
2022-10-26,14100,14400,14000,14250,208943,0.010638297872340496
2022-10-27,14300,14450,14200,14300,189145,0.0035087719298245723
2022-10-28,14050,14550,14050,14400,116601,0.006993006993007089
2022-10-31,14450,14500,13950,14200,237198,-0.01388888888888884
2022-11-01,14200,14800,14100,14600,181586,0.028169014084507005
2022-11-02,14500,14650,14150,14450,273173,-0.010273972602739767
2022-11-03,14200,14900,14200,14550,196853,0.006920415224913601
2022-11-04,14500,15700,14500,15600,498456,0.07216494845360821
2022-11-07,15400,15850,15150,15600,327467,0.0
2022-11-08,15550,15900,15550,15700,187846,0.0064102564102563875
2022-11-09,15750,15950,15500,15650,243015,-0.0031847133757961776
2022-11-10,15650,16150,15500,15900,521238,0.015974440894568787
2022-11-11,16350,16650,16100,16650,912681,0.04716981132075482
2022-11-14,16650,17000,16500,16850,581845,0.012012012012011963
2022-11-15,16950,16950,16550,16850,348180,0.0
2022-11-16,16750,17150,16700,17100,365173,0.014836795252225476
2022-11-17,17050,17250,16550,16800,318006,-0.01754385964912286
2022-11-18,16800,17000,16700,16750,145731,-0.0029761904761904656
2022-11-21,16850,16850,16350,16700,273864,-0.0029850746268657025
2022-11-22,16600,16750,16000,16350,288768,-0.020958083832335328
2022-11-23,16300,16800,16150,16750,168387,0.024464831804281273
2022-11-24,16750,16850,16450,16650,78718,-0.005970149253731294
2022-11-25,16700,16750,16400,16400,68405,-0.01501501501501501
2022-11-28,16400,16500,16050,16450,162844,0.0030487804878047697
2022-11-29,16500,17300,16200,17100,518949,0.03951367781155013
2022-11-30,17050,17250,16850,16900,272272,-0.011695906432748537
2022-12-01,17000,17150,16800,17000,260094,0.00591715976331364
2022-12-02,17050,17450,16900,17350,341826,0.020588235294117574
2022-12-05,17450,18100,17350,17900,1073996,0.03170028818443793
2022-12-06,17900,18050,17550,17650,396486,-0.013966480446927387
2022-12-07,17600,18250,17550,17900,789777,0.014164305949008416
2022-12-08,17850,18300,17300,18200,809664,0.016759776536312776
2022-12-09,18050,18400,17600,18150,795002,-0.0027472527472527375
2022-12-12,18200,18250,17750,18200,308520,0.0027548209366390353
2022-12-13,18200,18200,17400,18100,477630,-0.005494505494505475
2022-12-14,18150,18200,17750,18100,262980,0.0
2022-12-15,17900,18250,17850,17900,255674,-0.011049723756906049
2022-12-16,17700,18250,17650,18100,372114,0.011173184357541999
2022-12-19,17950,18550,17900,18400,319928,0.016574585635359185
2022-12-20,18300,18350,17750,17950,362443,-0.024456521739130488
2022-12-21,18050,18250,17650,18200,161672,0.013927576601671321
2022-12-22,18100,18400,17950,18400,231302,0.01098901098901095
2022-12-23,18200,18400,18000,18200,272761,-0.010869565217391353
2022-12-26,18200,18350,17700,18100,180038,-0.005494505494505475
2022-12-27,18200,18800,18150,18600,453606,0.027624309392265234
2022-12-28,18550,19250,18300,19050,557561,0.024193548387096753
2022-12-29,18950,19150,18500,18900,534987,-0.007874015748031482
2023-01-02,18650,19000,18050,18750,742699,-0.007936507936507908
2023-01-03,18750,19150,18500,18900,596292,0.008000000000000007
2023-01-04,18900,19000,18400,18650,339954,-0.013227513227513255
2023-01-05,18600,19300,18350,19250,527869,0.03217158176943702
2023-01-06,19100,19550,18550,18900,518111,-0.018181818181818188
2023-01-09,19000,19200,18700,19050,426135,0.007936507936507908
2023-01-10,19050,19150,18700,19000,428409,-0.002624671916010457
2023-01-11,18950,19400,18850,19300,482511,0.015789473684210575
2023-01-12,19300,19400,17750,17850,1469399,-0.07512953367875652
2023-01-13,18050,18600,18000,18550,507171,0.03921568627450989
2023-01-16,18550,19300,18350,19150,427086,0.032345013477088846
2023-01-17,19200,19550,18850,19400,345448,0.01305483028720622
2023-01-18,19400,19950,19200,19700,956023,0.015463917525773141
2023-01-19,19750,19900,19450,19900,396805,0.010152284263959421
2023-01-20,19900,20550,19600,20300,742722,0.0201005025125629
2023-01-25,20300,20550,19650,20150,382712,-0.007389162561576401
2023-01-26,20150,20300,19880,19990,294364,-0.007940446650124056
2023-01-27,19920,20500,19900,20050,362015,0.0030015007503751967
2023-01-30,19920,20450,19890,20350,313255,0.014962593516209433
2023-01-31,20350,20500,20150,20400,249848,0.002457002457002533
2023-02-01,20250,20500,20000,20300,400237,-0.004901960784313708
2023-02-02,20350,20600,19600,19830,720482,-0.023152709359605894
2023-02-03,19800,19840,19410,19780,396223,-0.002521432173474558
2023-02-06,19630,20300,19130,19980,541467,0.010111223458038499
2023-02-07,19880,20000,19560,19980,401547,0.0
2023-02-08,19910,19950,19540,19610,371721,-0.01851851851851849
2023-02-09,19650,20400,19570,20000,714210,0.01988781234064252
