Date,Open,High,Low,Close,Volume,Change
2022-01-03,28150,29950,27800,29500,1054697,0.0535714285714286
2022-01-04,29900,30350,28100,29150,819613,-0.011864406779661052
2022-01-05,29150,29150,26800,27000,649088,-0.07375643224699824
2022-01-06,26200,26600,24900,25250,570903,-0.06481481481481477
2022-01-07,25600,26150,25150,25850,260154,0.023762376237623783
2022-01-10,25300,26300,24350,25900,297336,0.0019342359767891004
2022-01-11,25600,25900,23600,23800,514802,-0.08108108108108103
2022-01-12,24100,24450,23650,24150,279823,0.014705882352941124
2022-01-13,24150,24150,22750,23300,264267,-0.035196687370600444
2022-01-14,22650,23000,22300,22650,222836,-0.027896995708154515
2022-01-17,22850,23000,22100,22450,134560,-0.008830022075055233
2022-01-18,22200,23100,21700,21750,172451,-0.031180400890868598
2022-01-19,21100,23150,21100,21450,473120,-0.01379310344827589
2022-01-20,21200,23100,21200,22950,200593,0.06993006993007
2022-01-21,22750,24550,22350,24000,505402,0.045751633986928164
2022-01-24,23500,23600,22500,23050,219136,-0.039583333333333304
2022-01-25,23100,23450,21450,21600,232574,-0.06290672451193058
2022-01-26,21500,22500,21500,21950,157128,0.01620370370370372
2022-01-27,22100,22300,20400,21050,185560,-0.04100227790432798
2022-01-28,21050,21900,19700,21500,206176,0.0213776722090262
2022-02-03,22000,22300,21450,21550,151895,0.0023255813953488857
2022-02-04,21200,22500,21200,22300,149888,0.03480278422273786
2022-02-07,22650,24600,22350,24300,414592,0.08968609865470856
2022-02-08,24900,24900,23100,23550,355389,-0.030864197530864224
2022-02-09,24000,24400,22900,23100,194846,-0.019108280254777066
2022-02-10,22500,23100,21400,21500,339502,-0.06926406926406925
2022-02-11,21300,22100,20700,21800,202847,0.013953488372093092
2022-02-14,21050,21500,20400,20500,172180,-0.059633027522935755
2022-02-15,20200,20800,19600,19900,185840,-0.029268292682926855
2022-02-16,20300,21050,20300,20900,92993,0.05025125628140703
2022-02-17,21350,21400,19800,20450,164129,-0.021531100478468845
2022-02-18,19850,20650,19850,20250,100482,-0.009779951100244544
2022-02-21,19600,20400,19600,20350,57605,0.004938271604938205
2022-02-22,20000,20000,19550,19600,104245,-0.03685503685503688
2022-02-23,19850,20200,19700,19850,56150,0.012755102040816313
2022-02-24,19650,19650,18350,18600,148032,-0.06297229219143574
2022-02-25,19050,19450,18950,19150,69513,0.029569892473118253
2022-02-28,19150,19950,18900,19650,75931,0.02610966057441244
2022-03-02,19700,20150,19500,20000,61092,0.01781170483460559
2022-03-03,20500,20500,20000,20300,51957,0.014999999999999902
2022-03-04,20250,20250,19600,19800,67503,-0.024630541871921152
2022-03-07,19500,19750,18700,19400,51914,-0.02020202020202022
2022-03-08,19050,19650,19000,19300,42431,-0.005154639175257714
2022-03-10,20050,20400,19550,19600,51146,0.015544041450777257
2022-03-11,19600,20300,19500,19700,72739,0.005102040816326481
2022-03-14,19700,19700,18600,18800,139553,-0.045685279187817285
2022-03-15,18950,18950,18450,18700,70144,-0.005319148936170248
2022-03-16,18550,19200,18550,19000,101422,0.016042780748663166
2022-03-17,19450,20400,19350,20250,182716,0.06578947368421062
2022-03-18,20450,20750,20100,20550,111529,0.014814814814814836
2022-03-21,20600,20650,20000,20150,75328,-0.019464720194647178
2022-03-22,20000,20600,19900,20300,56980,0.007444168734491274
2022-03-23,20550,21050,20400,20650,143631,0.01724137931034475
2022-03-24,20400,20500,19750,20100,112329,-0.0266343825665859
2022-03-25,20500,20500,20100,20350,61820,0.01243781094527363
2022-03-28,20300,20300,19800,19850,76987,-0.02457002457002455
2022-03-29,20050,20450,19900,20100,66448,0.012594458438287104
2022-03-30,20300,20350,19900,20000,72053,-0.00497512437810943
2022-03-31,19900,20200,19850,19950,73536,-0.0024999999999999467
2022-04-01,20050,20050,19600,19700,70129,-0.01253132832080206
2022-04-04,19700,20000,19250,20000,73996,0.015228426395939021
2022-04-05,20200,20350,19900,20200,69569,0.010000000000000009
2022-04-06,20050,20800,19750,20100,164466,-0.004950495049504955
2022-04-07,19900,20000,19250,19300,115678,-0.03980099502487566
2022-04-08,19350,19500,19000,19400,50678,0.005181347150259086
2022-04-11,19400,19400,19050,19200,44004,-0.010309278350515427
2022-04-12,19200,19300,18800,19250,54005,0.0026041666666667407
2022-04-13,19250,19300,19000,19250,54147,0.0
2022-04-14,19050,19400,19000,19050,47641,-0.010389610389610393
2022-04-15,18950,19050,18800,18950,48075,-0.005249343832021025
