Date,Open,High,Low,Close,Volume,Change
2022-01-03,44500,44500,43600,44000,5224,0.003420752565564511
2022-01-04,44050,44350,43750,44150,7171,0.003409090909090917
2022-01-05,44100,44300,43050,43250,4041,-0.020385050962627438
2022-01-06,43050,43550,43000,43000,2953,-0.005780346820809301
2022-01-07,42800,43700,42800,43400,2144,0.009302325581395321
2022-01-10,43500,43550,42650,43000,3092,-0.009216589861751112
2022-01-11,42850,43050,42400,42450,5086,-0.01279069767441865
2022-01-12,42550,43350,42500,43050,1779,0.014134275618374659
2022-01-13,42650,44200,42650,43500,7755,0.010452961672473782
2022-01-14,43500,43550,42850,43000,2982,-0.011494252873563204
2022-01-17,43300,43300,42150,42300,4662,-0.016279069767441867
2022-01-18,42300,42550,41900,41900,2100,-0.009456264775413725
2022-01-19,41900,42900,41400,41550,2264,-0.00835322195704058
2022-01-20,42000,42700,41550,42150,1376,0.014440433212996373
2022-01-21,42500,42700,41600,41700,3349,-0.010676156583629859
2022-01-24,41300,42100,40600,40600,6205,-0.026378896882493952
2022-01-25,40600,41300,39900,40200,5315,-0.009852216748768461
2022-01-26,40200,41000,39800,40000,5594,-0.00497512437810943
2022-01-27,40950,40950,39150,39600,9678,-0.010000000000000009
2022-01-28,39600,41300,39600,41300,4797,0.04292929292929304
2022-02-03,42500,42500,40500,40900,9644,-0.009685230024213065
2022-02-04,41200,43500,40650,43000,25121,0.05134474327628369
2022-02-07,43050,44450,42600,44050,15029,0.024418604651162745
2022-02-08,44100,47000,44100,46000,51061,0.04426787741203175
2022-02-09,46400,47550,45450,46950,33406,0.020652173913043415
2022-02-10,46700,46700,45300,45800,12993,-0.024494142705005273
2022-02-11,45700,46600,45150,45150,14963,-0.014192139737991272
2022-02-14,44550,45300,43300,44700,19469,-0.009966777408637828
2022-02-15,44350,44850,43550,44000,5478,-0.015659955257270708
2022-02-16,45700,46000,44350,46000,11025,0.045454545454545414
2022-02-17,46600,47450,45100,46700,22892,0.01521739130434785
2022-02-18,46000,47200,45650,46500,9016,-0.004282655246252709
2022-02-21,46100,46700,45600,46500,7795,0.0
2022-02-22,45800,46800,45800,46500,9959,0.0
2022-02-23,46400,46950,44850,46300,13768,-0.004301075268817178
2022-02-24,45600,45700,43000,44600,13570,-0.036717062634989195
2022-02-25,44700,45500,44700,44800,4460,0.004484304932735439
2022-02-28,44800,45450,43500,44850,5365,0.0011160714285713969
2022-03-02,44850,44900,44100,44450,4107,-0.00891861761426982
2022-03-03,45500,45600,44650,45350,4616,0.020247469066366763
2022-03-04,45250,45900,45150,45850,5859,0.011025358324145529
2022-03-07,45400,45400,44350,44650,6273,-0.026172300981461283
