Date,Open,High,Low,Close,Volume,Change
2024-11-20,1500,1649,1368,1368,59126011,
2024-11-21,1392,1400,1218,1241,13525325,-0.0928362573099415
2024-11-22,1226,1259,1145,1157,8060450,-0.06768734891216766
2024-11-25,1138,1160,1109,1117,3475620,-0.03457216940363006
2024-11-26,1120,1248,1113,1142,11660806,0.022381378692927445
2024-11-27,1161,1340,1143,1188,15066947,0.04028021015761829
2024-11-28,1176,1214,1151,1155,2898840,-0.02777777777777779
2024-11-29,1158,1165,1096,1102,2803393,-0.045887445887445866
2024-12-02,1102,1146,1086,1107,2432242,0.00453720508166966
2024-12-03,1126,1177,1117,1136,2860098,0.02619692863595313
2024-12-04,1086,1114,1035,1043,2317716,-0.08186619718309862
2024-12-05,1047,1060,972,973,1802414,-0.06711409395973156
2024-12-06,980,1013,889,904,2551980,-0.07091469681397744
2024-12-09,888,922,829,843,2130899,-0.06747787610619471
2024-12-10,846,943,846,911,1960160,0.08066429418742582
2024-12-11,912,931,877,895,844054,-0.01756311745334793
2024-12-12,898,976,887,939,1760041,0.049162011173184306
2024-12-13,949,956,925,943,855446,0.004259850905218299
2024-12-16,952,966,912,915,1007756,-0.02969247083775184
2024-12-17,927,927,873,892,658954,-0.025136612021857907
2024-12-18,900,901,865,877,433255,-0.01681614349775784
2024-12-19,856,875,848,852,574633,-0.02850627137970352
2024-12-20,823,840,625,667,7464973,-0.21713615023474175
2024-12-23,667,696,656,663,1221281,-0.005997001499250421
2024-12-24,687,688,660,675,1090273,0.018099547511312153
2024-12-26,677,750,677,719,3668499,0.06518518518518523
