,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,73300,1,200,0.27,73800,74000,73200,15405303,1133418625093,437585060915000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,140000,1,3300,2.41,137000,140000,137000,5005886,697312508000,101920331100000,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,422000,2,-500,-0.12,426500,431000,422000,340112,144611039000,98748000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,703000,1,5000,0.72,702000,705000,700000,59553,41853962000,50035322000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,59300,2,-600,-1.0,59900,60100,59300,1607316,95829176500,48797181310000,822886700,STK
5,005380,KR7005380001,현대차,KOSPI,,192800,1,8000,4.33,185800,192800,185200,1227505,234662843000,40783274356800,211531506,STK
6,005490,KR7005490008,POSCO홀딩스,KOSPI,,480000,1,19000,4.12,469500,485000,468500,1033587,494635703000,40594190400000,84571230,STK
7,035420,KR7035420009,NAVER,KOSPI,,226000,1,3000,1.35,223000,226500,222000,897126,202101048500,36704342244000,162408594,STK
8,000270,KR7000270009,기아,KOSPI,,89300,1,2100,2.41,87700,89500,87600,1985927,177004713900,35902547327900,402044203,STK
9,051910,KR7051910008,LG화학,KOSPI,,493000,1,29000,6.25,469500,496500,469000,614595,300354805500,34802025099000,70592343,STK
10,006400,KR7006400006,삼성SDI,KOSPI,,452500,1,4000,0.89,459500,467000,449000,477011,217522160500,31115949825000,68764530,STK
11,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,318000,2,-2000,-0.63,324000,328500,318000,1318762,425372834500,31100827392000,97801344,KSQ
12,003670,KR7003670007,포스코퓨처엠,KOSPI,,360500,1,10500,3.0,355000,372000,352500,1190589,432532675500,27925490810000,77463220,STK
13,068270,KR7068270008,셀트리온,KOSPI,,170100,2,-13400,-7.3,183800,184000,170100,1583489,277282675200,24903111177000,146402770,STK
14,035720,KR7035720002,카카오,KOSPI,,54900,1,600,1.1,54400,55000,54000,2205638,120698505500,24416728884000,444749160,STK
15,028260,KR7028260008,삼성물산,KOSPI,,129300,2,-4700,-3.51,132700,132800,127700,558337,72176816000,23997002931000,185591670,STK
16,105560,KR7105560007,KB금융,KOSPI,,53200,1,1300,2.5,52700,53400,52600,1395537,74155956400,21466789030400,403511072,STK
17,012330,KR7012330007,현대모비스,KOSPI,,224500,1,3500,1.58,222500,226500,222000,266267,59772637000,21025568603000,93655094,STK
18,055550,KR7055550008,신한지주,KOSPI,,38900,1,1000,2.64,38000,38900,37950,1485005,57360450300,20053112952100,515504189,STK
19,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,644000,1,34000,5.57,628000,663000,623000,776450,500509062000,17148218192000,26627668,KSQ
