,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,64100,2,-100,-0.16,63700,64600,63600,8681930,557195358100,382663061455000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,547000,2,-6000,-1.08,547000,549000,542000,183187,100065917000,127998000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,87200,1,900,1.04,86300,87600,86200,2707382,235358296300,63481806228000,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,781000,2,-2000,-0.26,783000,785000,775000,28892,22530666000,55586894000000,71174000,STK
4,051910,KR7051910008,LG화학,KOSPI,,688000,2,-3000,-0.43,697000,700000,685000,231354,159773557000,48567531984000,70592343,STK
5,006400,KR7006400006,삼성SDI,KOSPI,,665000,2,-5000,-0.75,664000,672000,663000,145802,97266306000,45728412450000,68764530,STK
6,005935,KR7005931001,삼성전자우,KOSPI,,54800,2,-600,-1.08,55200,55300,54800,974185,53505980900,45094191160000,822886700,STK
7,005380,KR7005380001,현대차,KOSPI,,208500,1,500,0.24,207000,209500,205500,538935,112037448500,44104319001000,211531506,STK
8,000270,KR7000270009,기아,KOSPI,,89400,2,-700,-0.78,90000,90300,88800,1132310,101518009200,36239483221800,405363347,STK
9,035420,KR7035420009,NAVER,KOSPI,,213500,1,2500,1.18,212000,214000,210000,665458,141724686736,35024479647500,164049085,STK
10,005490,KR7005490008,POSCO홀딩스,KOSPI,,363500,1,1000,0.28,359500,368000,359500,624594,227340767000,30741642105000,84571230,STK
11,035720,KR7035720002,카카오,KOSPI,,56600,1,600,1.07,56200,57200,55600,1230769,69667051400,25234607844800,445841128,STK
12,068270,KR7068270008,셀트리온,KOSPI,,166600,2,-2000,-1.19,167800,169800,166400,299245,50268923400,24378777586800,146331198,STK
13,003670,KR7003670007,포스코퓨처엠,KOSPI,,300500,2,-1000,-0.33,299500,305500,299000,764738,230708862500,23277697610000,77463220,STK
14,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,227500,1,5500,2.48,218500,233000,217500,1558052,351601022500,22249805760000,97801344,KSQ
15,012330,KR7012330007,현대모비스,KOSPI,,225000,2,-5000,-2.17,228000,229000,224000,169219,38269063000,21214146150000,94285094,STK
16,028260,KR7028260008,삼성물산,KOSPI,,111100,2,-300,-0.27,111100,111600,109800,172532,19091527700,20619234537000,185591670,STK
17,105560,KR7105560007,KB금융,KOSPI,,48600,2,-600,-1.22,49000,49000,48400,2291265,112060963225,19610638099200,403511072,STK
18,066570,KR7066570003,LG전자,KOSPI,,111800,2,-4400,-3.79,116100,116200,111800,751135,84818796500,18295825605200,163647814,STK
19,055550,KR7055550008,신한지주,KOSPI,,34650,2,-650,-1.84,35100,35350,34550,2120065,74030627650,17502006025350,505108399,STK
20,096770,KR7096770003,SK이노베이션,KOSPI,,177100,2,-1100,-0.62,177800,180300,176700,296729,52901714200,16375651384400,92465564,STK
21,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,544000,2,-6000,-1.09,537000,560000,530000,1379694,752938765000,14485451392000,26627668,KSQ
22,003550,KR7003550001,LG,KOSPI,,88400,2,-2600,-2.86,90600,90900,87400,200473,17705334300,13905407781200,157300993,STK
23,032830,KR7032830002,삼성생명,KOSPI,,66800,2,-900,-1.33,67100,67800,66400,180495,12059861900,13360000000000,200000000,STK
24,015760,KR7015760002,한국전력,KOSPI,,19700,1,360,1.86,19410,19840,19090,2831923,55326951960,12646692316900,641964077,STK
25,086790,KR7086790003,하나금융지주,KOSPI,,41100,2,-800,-1.91,41850,41900,41000,1348939,55975670150,12161632863600,295903476,STK
26,034730,KR7034730002,SK,KOSPI,,164700,2,-1600,-0.96,166400,166400,164100,99179,16346111100,12055764786300,73198329,STK
27,091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,72700,2,-700,-0.95,73400,74700,72700,802281,59115252300,11956017357000,164456910,KSQ
28,352820,KR7352820005,하이브,KOSPI,,282000,1,4500,1.62,280500,287500,277500,242818,68532959500,11743813014000,41644727,STK
29,323410,KR7323410001,카카오뱅크,KOSPI,,24450,2,-550,-2.2,25050,25150,24300,1037966,25612131630,11656956499650,476767137,STK
30,033780,KR7033780008,KT&G,KOSPI,,84600,2,-600,-0.7,85000,85000,84200,393873,33311335283,11614945246200,137292497,STK
