,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,203500,1,3500,1.75,202500,206000,201000,26987996,5474225346566,1204646317127000,5919637922,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,1018000,1,13000,1.29,1012000,1038000,1004000,3462525,3532466059787,725531007570000,712702365,STK
2,005380,KR7005380001,현대차,KOSPI,,572000,1,48000,9.16,535000,584000,532000,4149696,2343545128000,117121442152000,204757766,STK
3,005935,KR7005931001,삼성전자우,KOSPI,,142300,1,1400,0.99,142000,144200,140400,4899606,696690269634,116113194687200,815974664,STK
4,373220,KR7373220003,LG에너지솔루션,KOSPI,,426000,1,13500,3.27,417500,429000,409000,650523,274574034000,99684000000000,234000000,STK
5,402340,KR7402340004,SK스퀘어,KOSPI,,647000,1,30000,4.86,630000,660000,621000,673059,432135910884,85460363405000,132087115,STK
6,207940,KR7207940008,삼성바이오로직스,KOSPI,,1728000,1,5000,0.29,1723000,1732000,1715000,45641,78713216000,79990763328000,46290951,STK
7,000270,KR7000270009,기아,KOSPI,,196100,1,22100,12.7,175700,199900,175500,3876333,754631374600,76559988907800,390412998,STK
8,034020,KR7034020008,두산에너빌리티,KOSPI,,103200,1,1900,1.88,102300,104200,101400,4216954,435034108850,66105910267200,640561146,STK
9,105560,KR7105560007,KB금융,KOSPI,,167700,1,1000,0.6,166300,169400,165100,1144011,191529126700,62527021303500,372850455,STK
10,012450,KR7012450003,한화에어로스페이스,KOSPI,,1212000,2,-29000,-2.34,1240000,1241000,1205000,168169,204332629500,62494842012000,51563401,STK
11,329180,KR7329180004,HD현대중공업,KOSPI,,594000,2,-2000,-0.34,598000,600000,588000,184053,109396744500,62346967650000,104961225,STK
12,028260,KR7028260008,삼성물산,KOSPI,,347000,1,9000,2.66,342000,351000,336000,550441,189286512500,58981860768000,169976544,STK
13,068270,KR7068270008,셀트리온,KOSPI,,244500,2,-4000,-1.61,249500,249500,242500,543961,133146512750,56491299814500,231048261,STK
14,032830,KR7032830002,삼성생명,KOSPI,,246000,1,22000,9.82,229500,259500,224500,838515,204458127250,49200000000000,200000000,STK
15,055550,KR7055550008,신한지주,KOSPI,,99500,2,-1400,-1.39,100300,100800,98500,1873831,186717001107,48306745933000,485494934,STK
16,010130,KR7010130003,고려아연,KOSPI,,2115000,1,244000,13.04,1860000,2188000,1850000,96133,195028509000,44146329435000,20872969,STK
