Date,Open,High,Low,Close,Volume,Change
2022-01-03,40200,41650,40200,41000,101315,0.02499999999999991
2022-01-04,41000,42450,41000,42050,86787,0.025609756097561
2022-01-05,42550,43250,41650,42100,94299,0.0011890606420927874
2022-01-06,41550,42050,40650,41450,52684,-0.015439429928741144
2022-01-07,41450,41900,41000,41500,37601,0.0012062726176116367
2022-01-10,41550,41900,40650,41150,26913,-0.008433734939759074
2022-01-11,40750,41000,39550,40850,51350,-0.007290400972053468
2022-01-12,40900,44000,40900,44000,75619,0.07711138310893517
2022-01-13,44000,44950,43550,44200,71446,0.00454545454545463
2022-01-14,44200,45300,43450,45100,83281,0.020361990950226172
2022-01-17,45100,45300,43850,44000,31383,-0.024390243902439046
2022-01-18,44600,46000,43800,45350,47740,0.030681818181818254
2022-01-19,45350,45750,44500,44900,252864,-0.009922822491730932
2022-01-20,45400,45400,44300,44500,41657,-0.008908685968819552
2022-01-21,45300,47000,40350,41200,253821,-0.07415730337078652
2022-01-24,41300,41700,38750,39000,93898,-0.05339805825242716
2022-01-25,39350,39550,36600,38700,115925,-0.007692307692307665
2022-01-26,38100,39400,37650,39050,48479,0.009043927648578753
2022-01-27,39700,40750,38000,38850,81043,-0.005121638924455829
2022-01-28,38800,40050,37350,39900,47583,0.027027027027026973
2022-02-03,41100,41100,38800,38850,59759,-0.02631578947368418
2022-02-04,38850,39850,38400,39100,17846,0.006435006435006496
2022-02-07,39500,39950,38700,39100,31261,0.0
2022-02-08,39250,39650,37900,38400,29152,-0.01790281329923271
2022-02-09,38600,38600,37500,38450,33475,0.0013020833333332593
2022-02-10,38150,38700,34350,36050,98169,-0.062418725617685356
2022-02-11,35500,36700,35200,36050,33751,0.0
2022-02-14,35400,36200,34600,35850,53478,-0.00554785020804438
2022-02-15,35850,36700,35350,36200,23116,0.009762900976290068
2022-02-16,37100,37150,35650,37100,47831,0.024861878453038777
2022-02-17,37100,37950,36300,37000,21433,-0.0026954177897574594
2022-02-18,37000,37600,36500,37050,35993,0.0013513513513514486
2022-02-21,37000,37800,35900,37300,22109,0.006747638326585648
2022-02-22,36900,37550,36400,37400,25441,0.002680965147453085
2022-02-23,37000,38300,37000,38000,23261,0.016042780748663166
2022-02-24,37900,37900,36450,36850,42822,-0.03026315789473688
2022-02-25,37000,37700,35200,36300,60966,-0.014925373134328401
2022-02-28,35800,37200,35050,36500,54041,0.005509641873278293
2022-03-02,36500,36500,35300,36000,54784,-0.013698630136986356
2022-03-03,35500,37600,35500,37150,44883,0.03194444444444455
2022-03-04,37100,38200,36550,37250,33795,0.0026917900403768957
2022-03-07,37250,37550,35900,36850,23971,-0.010738255033557076
2022-03-08,36850,36850,35200,36800,43039,-0.0013568521031207537
2022-03-10,37200,38250,36650,37100,20628,0.008152173913043459
2022-03-11,37300,37300,35850,35950,34063,-0.030997304582210283
2022-03-14,36050,37000,35550,35950,22928,0.0
2022-03-15,35850,36450,35550,36000,24457,0.0013908205841446364
2022-03-16,36600,37600,35750,37600,72691,0.04444444444444451
2022-03-17,37250,38600,36900,38550,57573,0.025265957446808596
2022-03-18,38050,38450,37300,38300,47471,-0.006485084306095956
2022-03-21,37900,38800,37400,38800,37366,0.01305483028720622
2022-03-22,38300,39750,38300,39000,55397,0.005154639175257714
2022-03-23,39050,39100,37750,37900,54246,-0.028205128205128216
2022-03-24,37000,37050,35100,35850,112185,-0.05408970976253302
2022-03-25,35850,36200,35200,35450,35613,-0.01115760111576014
2022-03-28,35250,36400,35250,36300,29782,0.023977433004231274
2022-03-29,36200,36800,35650,35950,19242,-0.009641873278236957
2022-03-30,36150,36350,35250,35400,33080,-0.015299026425591111
2022-03-31,35300,35700,34650,35500,44297,0.0028248587570620654
2022-04-01,35500,35500,34500,34850,24264,-0.018309859154929553
2022-04-04,35250,35250,34500,34600,14434,-0.00717360114777621
2022-04-05,34600,35000,33950,34750,21590,0.004335260115607031
2022-04-06,34650,34650,33000,34400,67220,-0.010071942446043147
2022-04-07,34450,34650,33400,34500,44666,0.0029069767441860517
2022-04-08,34050,35000,34050,35000,105266,0.01449275362318847
2022-04-11,35000,35400,34300,34500,46246,-0.014285714285714235
2022-04-12,34300,34550,33600,34500,25415,0.0
2022-04-13,34300,35100,34150,34900,14825,0.011594202898550732
2022-04-14,35150,35350,34450,35150,10364,0.007163323782235054
2022-04-15,35100,35650,34950,35400,19122,0.007112375533428139
2022-04-18,35550,36500,35200,36500,29957,0.031073446327683607
2022-04-19,37050,37350,36000,37050,49728,0.015068493150685036
2022-04-20,37000,37800,36500,37750,32651,0.018893387314439902
2022-04-21,37750,37900,37000,37500,26854,-0.0066225165562914245
2022-04-22,37500,37750,36650,37050,25261,-0.01200000000000001
2022-04-25,37000,38050,36400,37350,20749,0.00809716599190291
2022-04-26,37800,37800,37000,37100,17936,-0.00669344042838016
2022-04-27,36700,37600,36000,37450,35597,0.009433962264151052
2022-04-28,37750,37800,36600,37050,42241,-0.010680907877169576
2022-04-29,37500,37650,36950,37500,12867,0.012145748987854255
2022-05-02,37500,37500,36950,37500,18858,0.0
2022-05-03,37200,37950,36700,36700,19281,-0.021333333333333315
2022-05-04,36950,37250,35800,37150,37501,0.012261580381471404
2022-05-06,36400,37200,35750,36750,48057,-0.010767160161507361
2022-05-09,36750,37750,35650,36100,28218,-0.017687074829931926
2022-05-10,35600,36700,34550,35750,40420,-0.00969529085872578
2022-05-11,35700,36250,35200,35750,18697,0.0
2022-05-12,35900,36950,35600,36400,19626,0.018181818181818077
2022-05-13,36350,37000,36100,36150,26214,-0.006868131868131844
2022-05-16,36350,36550,35800,36250,17622,0.0027662517289073207
2022-05-17,36200,37650,36000,37500,32004,0.034482758620689724
2022-05-18,37900,38000,37000,37800,30825,0.008000000000000007
2022-05-19,37400,38350,36850,38300,29640,0.013227513227513255
2022-05-20,38300,38700,37650,38250,24917,-0.0013054830287205776
2022-05-23,38100,38600,37850,38500,9121,0.006535947712418277
2022-05-24,38050,38700,37900,38150,13028,-0.009090909090909038
2022-05-25,37850,38300,36800,37950,43717,-0.005242463958060273
2022-05-26,37950,38200,35050,37450,51942,-0.013175230566534912
2022-05-27,37050,37900,36200,37900,26708,0.012016021361815676
2022-05-30,38350,38800,37800,38400,34395,0.013192612137203241
2022-05-31,38600,38600,37750,38000,15647,-0.01041666666666663
2022-06-02,38050,38400,37500,38150,19395,0.003947368421052699
2022-06-03,38400,38400,37400,37650,11922,-0.013106159895150737
2022-06-07,37900,37900,37100,37450,11194,-0.005312084993359889
2022-06-08,36550,38000,36300,37350,29291,-0.002670226969292422
2022-06-09,37700,37700,36950,37400,15884,0.0013386880856760541
2022-06-10,37550,37550,36750,37400,13055,0.0
2022-06-13,37350,37350,35950,36850,33561,-0.014705882352941124
2022-06-14,36800,37200,35550,37200,55946,0.009497964721845387
2022-06-15,37300,37500,36450,37150,34982,-0.0013440860215053752
2022-06-16,37850,37950,36550,37150,47253,0.0
2022-06-17,37150,37400,35450,37300,36599,0.004037685060565233
2022-06-20,37100,37600,36450,37300,32767,0.0
2022-06-21,36750,37250,36550,36950,27899,-0.009383378016085797
2022-06-22,37000,37100,36450,36950,28325,0.0
2022-06-23,36750,37350,36000,36950,35939,0.0
2022-06-24,36950,38000,36500,37500,19021,0.014884979702300516
2022-06-27,37800,37800,36900,37050,11921,-0.01200000000000001
2022-06-28,37050,37150,36550,37000,11026,-0.0013495276653171517
2022-06-29,36550,38500,36550,37500,32294,0.013513513513513598
2022-06-30,37450,38500,37200,37850,31485,0.009333333333333416
2022-07-01,38400,38400,36000,37300,47249,-0.014531043593130732
2022-07-04,37000,37550,36400,37400,23563,0.002680965147453085
2022-07-05,38000,38250,37500,38000,11795,0.016042780748663166
2022-07-06,37550,37950,37150,37700,21705,-0.007894736842105288
2022-07-07,37500,38500,37500,37950,11205,0.006631299734747964
2022-07-08,37950,38500,37250,38500,17547,0.01449275362318847
2022-07-11,38500,38500,37700,37700,14079,-0.020779220779220786
2022-07-12,37700,38500,37150,37800,16652,0.0026525198938991412
2022-07-13,37400,37900,37200,37350,10275,-0.011904761904761862
2022-07-14,37300,38100,37050,38050,14325,0.018741633199464536
2022-07-15,38050,38600,37500,38550,23323,0.013140604467805517
2022-07-18,38350,38900,38150,38900,13434,0.009079118028534339
2022-07-19,38900,39000,38000,38950,20059,0.0012853470437017567
2022-07-20,38950,39050,38600,38600,15005,-0.00898587933247752
2022-07-21,38800,38950,37900,38100,18868,-0.012953367875647714
2022-07-22,38450,39700,38000,39150,22455,0.027559055118110187
2022-07-25,39000,39150,38400,39150,10551,0.0
2022-07-26,38750,39250,38400,38500,19855,-0.016602809706257937
2022-07-27,38100,38500,37500,38100,24562,-0.010389610389610393
2022-07-28,38000,38250,37300,37600,26213,-0.013123359580052507
2022-07-29,37450,37550,36700,37150,27747,-0.01196808510638303
2022-08-01,37500,37500,35900,37400,39395,0.006729475100942128
2022-08-02,37400,37500,36850,37300,10165,-0.002673796791443861
2022-08-03,37300,37650,37000,37300,10099,0.0
2022-08-04,37350,37500,36800,37450,11336,0.004021447721179516
2022-08-05,37450,38950,37300,38850,38865,0.03738317757009346
