Date,Open,High,Low,Close,Volume,Change
2022-01-03,318500,320000,313000,316000,16941,-0.00784929356357933
2022-01-04,314000,314500,305500,311500,29322,-0.014240506329113889
2022-01-05,309500,312000,304500,309500,18811,-0.006420545746388395
2022-01-06,306000,320000,305500,317500,34397,0.025848142164781818
2022-01-07,314000,324000,313000,322000,32744,0.014173228346456623
2022-01-10,322500,327500,319000,323000,22967,0.0031055900621117516
2022-01-11,321000,325000,316500,316500,22663,-0.020123839009287936
2022-01-12,319000,322000,317500,321500,14410,0.01579778830963674
2022-01-13,322500,323000,317000,319000,11313,-0.007776049766718529
2022-01-14,319500,321500,315000,315000,11067,-0.01253918495297801
2022-01-17,314500,319000,314000,314500,9764,-0.0015873015873015817
2022-01-18,315000,317000,309500,311500,12849,-0.009538950715421324
2022-01-19,310000,314000,309000,310500,14574,-0.0032102728731941976
2022-01-20,313000,313500,306000,312000,11132,0.004830917874396157
2022-01-21,308000,314500,307500,308500,12402,-0.011217948717948678
2022-01-24,311000,328500,310500,327000,103380,0.05996758508914102
2022-01-25,327000,331500,321000,324000,70592,-0.00917431192660545
2022-01-26,324000,328500,321000,323000,28375,-0.0030864197530864335
2022-01-27,324500,324500,311500,315000,44373,-0.024767801857585092
2022-01-28,314500,327000,312000,323000,39012,0.025396825396825307
2022-02-03,325500,329000,321000,324500,26428,0.004643962848297267
2022-02-04,327000,341000,326500,341000,86359,0.05084745762711873
2022-02-07,336500,349000,336000,341500,58754,0.0014662756598240456
2022-02-08,343000,346500,337500,339000,40270,-0.007320644216691097
2022-02-09,340000,344500,335500,341500,32373,0.007374631268436627
2022-02-10,341500,345000,336500,339000,25035,-0.007320644216691097
2022-02-11,333500,346000,333000,334500,38119,-0.013274336283185861
2022-02-14,333000,339500,331000,335500,27582,0.002989536621823552
2022-02-15,336000,338000,323000,327000,40911,-0.025335320417287588
2022-02-16,328500,334000,325000,332000,28755,0.015290519877675823
2022-02-17,332000,336000,327000,332000,34705,0.0
2022-02-18,331500,335500,326000,329500,25167,-0.0075301204819276935
2022-02-21,327000,331500,325500,330500,11576,0.003034901365705611
2022-02-22,328000,328500,320500,325000,21906,-0.016641452344931973
2022-02-23,326500,330500,324000,327000,18920,0.006153846153846176
2022-02-24,327000,329000,322500,325500,18806,-0.004587155963302725
2022-02-25,328000,331000,310500,312500,50044,-0.03993855606758834
2022-02-28,312000,312000,304000,307000,35534,-0.01759999999999995
2022-03-02,306500,310000,304000,308000,30997,0.0032573289902280145
2022-03-03,310000,310500,303500,308000,37870,0.0
2022-03-04,308000,310000,305000,309000,17437,0.0032467532467532756
2022-03-07,307000,307000,287000,289000,71875,-0.06472491909385114
2022-03-08,286000,290500,282500,289500,52093,0.0017301038062282892
2022-03-10,296000,297500,287500,290500,36824,0.003454231433505983
2022-03-11,291000,294000,283500,290500,46904,0.0
2022-03-14,290500,291000,283500,285000,27743,-0.018932874354561147
2022-03-15,285000,286500,280500,281000,23615,-0.01403508771929829
2022-03-16,282500,287000,281000,287000,21130,0.021352313167259718
2022-03-17,290500,301500,289500,297500,54191,0.03658536585365857
2022-03-18,298000,298000,291500,294500,44814,-0.010084033613445342
2022-03-21,296500,298500,294000,298500,16485,0.013582342954159499
2022-03-22,297000,297500,294000,295500,15004,-0.01005025125628145
2022-03-23,297000,299500,294000,296000,15917,0.0016920473773265332
2022-03-24,293000,298500,292000,298500,15258,0.008445945945946054
2022-03-25,297500,298000,294500,295000,9268,-0.011725293132328285
2022-03-28,293500,295500,292000,294500,12005,-0.0016949152542372614
2022-03-29,294500,298000,293500,298000,15778,0.011884550084889645
