Date,Open,High,Low,Close,Volume,Change
2022-01-03,12850,12950,12750,12950,19769,0.0
2022-01-04,13050,13150,12850,13000,34499,0.0038610038610038533
2022-01-05,13050,13050,12750,12800,39622,-0.01538461538461533
2022-01-06,12600,13700,12600,13250,214378,0.03515625
2022-01-07,13500,13500,13050,13200,70220,-0.0037735849056603765
2022-01-10,13200,13200,12700,12900,75975,-0.022727272727272707
2022-01-11,12750,12950,12650,12800,30295,-0.007751937984496138
2022-01-12,12800,12950,12750,12900,35948,0.0078125
2022-01-13,12850,13250,12800,13200,99469,0.023255813953488413
2022-01-14,13200,13800,12800,13600,109247,0.030303030303030276
2022-01-17,13600,13850,13150,13200,67084,-0.02941176470588236
2022-01-18,13200,14500,13200,13300,323124,0.007575757575757569
2022-01-19,13100,13350,12900,12900,56379,-0.03007518796992481
2022-01-20,12900,13900,12850,13650,109481,0.058139534883721034
2022-01-21,13450,14500,13300,13650,280476,0.0
2022-01-24,13500,13650,13050,13150,79225,-0.03663003663003661
2022-01-25,13050,13250,12400,12500,84659,-0.049429657794676785
2022-01-26,12400,12900,12350,12400,33866,-0.008000000000000007
2022-01-27,12400,12750,12250,12450,48140,0.0040322580645162365
2022-01-28,12450,13000,12250,12850,33212,0.032128514056224855
2022-02-03,13000,13450,12950,13300,54031,0.035019455252918386
2022-02-04,13200,13900,13200,13900,54266,0.04511278195488733
2022-02-07,14000,14100,13600,14000,54125,0.007194244604316502
2022-02-08,14000,14400,13900,14300,79062,0.021428571428571352
2022-02-09,14400,14600,14150,14500,72370,0.013986013986013957
2022-02-10,14650,15000,14100,14750,108129,0.01724137931034475
2022-02-11,14500,14850,14300,14350,49217,-0.027118644067796627
2022-02-14,14150,14450,13950,14150,35185,-0.013937282229965153
2022-02-15,14200,14950,14150,14600,106213,0.03180212014134276
2022-02-16,14950,15000,14650,14800,61113,0.013698630136986356
2022-02-17,14800,15900,14600,15250,442764,0.030405405405405483
2022-02-18,14900,15650,14900,15450,104337,0.013114754098360715
2022-02-21,15150,16100,15150,15850,158146,0.025889967637540368
2022-02-22,15550,16650,15550,16200,274790,0.02208201892744488
2022-02-23,16700,16800,15600,15800,186916,-0.024691358024691357
2022-02-24,15400,16000,15250,15500,158645,-0.01898734177215189
2022-02-25,15600,15900,15250,15550,150922,0.003225806451612856
2022-02-28,15350,15500,15000,15450,95307,-0.006430868167202619
2022-03-02,15250,15650,15050,15450,89754,0.0
2022-03-03,15750,15750,15350,15450,73976,0.0
2022-03-04,15350,15450,15100,15200,52074,-0.016181229773462813
2022-03-07,15200,15250,14650,14750,62105,-0.02960526315789469
