Date,Open,High,Low,Close,Volume,Change
2022-01-03,17900,17950,17650,17800,17679,0.0
2022-01-04,17800,17900,17650,17800,16177,0.0
2022-01-05,17800,17900,17650,17900,35389,0.00561797752808979
2022-01-06,17800,17850,17600,17750,21637,-0.008379888268156388
2022-01-07,17900,17900,17550,17800,15057,0.0028169014084507005
2022-01-10,17800,17850,17450,17750,28757,-0.002808988764044895
2022-01-11,17650,17750,17350,17500,23349,-0.014084507042253502
2022-01-12,17600,17650,17400,17650,18485,0.008571428571428674
2022-01-13,17700,17700,17400,17650,16806,0.0
2022-01-14,17600,17700,17450,17700,16870,0.0028328611898016387
2022-01-17,17700,17700,17400,17500,22016,-0.011299435028248594
2022-01-18,17450,17550,17100,17250,28529,-0.014285714285714235
2022-01-19,17150,17250,17000,17150,21262,-0.005797101449275366
2022-01-20,17150,17250,17000,17200,26963,0.00291545189504383
2022-01-21,17150,17200,17050,17200,6840,0.0
2022-01-24,17050,17150,16600,16950,23129,-0.014534883720930258
2022-01-25,16800,16950,16500,16800,50206,-0.008849557522123908
2022-01-26,16700,16900,16600,16750,14455,-0.0029761904761904656
2022-01-27,16850,16850,16050,16250,35098,-0.02985074626865669
2022-01-28,16250,16550,15950,16550,32646,0.01846153846153853
2022-02-03,16650,16800,16550,16750,17857,0.012084592145015005
2022-02-04,16600,16800,16550,16800,18517,0.0029850746268655914
2022-02-07,16750,16850,16550,16550,24593,-0.014880952380952328
2022-02-08,16650,16700,16350,16600,26731,0.0030211480362538623
2022-02-09,16600,16950,16600,16950,25658,0.02108433734939763
2022-02-10,17000,17050,16750,16950,17775,0.0
2022-02-11,16850,17000,16750,16900,9773,-0.002949852507374673
2022-02-14,16800,16850,16500,16700,19361,-0.011834319526627168
2022-02-15,16550,16750,16400,16550,22227,-0.008982035928143728
2022-02-16,16700,16750,16550,16550,29439,0.0
2022-02-17,16600,16700,16450,16600,28174,0.0030211480362538623
2022-02-18,16450,16600,16350,16600,20734,0.0
2022-02-21,16400,16600,16350,16600,11099,0.0
2022-02-22,16350,16500,16200,16500,22778,-0.0060240963855421326
2022-02-23,16400,16500,16400,16500,9419,0.0
2022-02-24,16450,16500,16350,16450,29153,-0.00303030303030305
2022-02-25,16450,16650,16450,16600,18674,0.00911854103343468
2022-02-28,16500,16800,16500,16800,16088,0.012048192771084265
2022-03-02,16850,17000,16700,17000,10676,0.011904761904761862
2022-03-03,17000,19150,16900,17400,561952,0.0235294117647058
2022-03-04,17450,17500,17100,17400,53127,0.0
2022-03-07,17200,17500,17200,17450,31594,0.002873563218390718
2022-03-08,17350,17550,17150,17450,27707,0.0
2022-03-10,17450,17600,17300,17450,42894,0.0
2022-03-11,17450,17500,17300,17450,27446,0.0
2022-03-14,17450,17950,17350,17750,63222,0.017191977077363862
2022-03-15,17550,17700,17400,17450,18469,-0.016901408450704203
2022-03-16,17550,17650,17300,17650,22206,0.011461318051575908
2022-03-17,17650,17850,17650,17850,23436,0.011331444759206777
2022-03-18,17850,18000,17750,18000,24424,0.008403361344537785
2022-03-21,18050,18100,17800,17950,18078,-0.002777777777777768
2022-03-22,17900,18000,17750,17900,34005,-0.0027855153203342198
2022-03-23,17900,17950,17800,17950,21039,0.0027932960893854997
2022-03-24,17950,18200,17850,18200,23525,0.013927576601671321
2022-03-25,18200,18300,18000,18250,18199,0.0027472527472527375
2022-03-28,18300,18350,18100,18250,23516,0.0
2022-03-29,18200,18250,18000,18150,22997,-0.005479452054794498
2022-03-30,18150,18150,18000,18100,16171,-0.0027548209366391463
2022-03-31,18100,18150,17950,18100,15126,0.0
2022-04-01,18100,18100,17900,18000,19059,-0.0055248618784530246
2022-04-04,18050,18050,17750,18000,27768,0.0
2022-04-05,18000,18000,17850,18000,10484,0.0
2022-04-06,17850,18100,17850,18000,10566,0.0
2022-04-07,17950,18000,17800,18000,12295,0.0
2022-04-08,17900,19450,17800,17950,554832,-0.002777777777777768
2022-04-11,18050,18050,17700,18000,26496,0.0027855153203342198
2022-04-12,17950,18000,17750,17950,23302,-0.002777777777777768
2022-04-13,17900,18000,17700,18000,67166,0.0027855153203342198
2022-04-14,18000,18050,17800,17850,26941,-0.008333333333333304
2022-04-15,17750,17850,17600,17850,38268,0.0
2022-04-18,17750,17900,17650,17900,35722,0.0028011204481792618
2022-04-19,17950,18000,17850,17950,15375,0.0027932960893854997
2022-04-20,17850,18000,17700,17800,54514,-0.00835654596100277
2022-04-21,17850,17900,17750,17850,14195,0.002808988764045006
2022-04-22,17750,18050,17700,17950,27147,0.0056022408963585235
2022-04-25,17900,17950,17750,17900,13545,-0.0027855153203342198
2022-04-26,17750,18000,17750,18000,18943,0.005586592178770999
2022-04-27,17750,18000,17550,18000,27068,0.0
2022-04-28,18050,18300,17850,18150,61601,0.008333333333333304
2022-04-29,18150,18200,18050,18150,20446,0.0
2022-05-02,18150,18250,18000,18250,18419,0.005509641873278293
2022-05-03,18100,18200,17950,18150,26587,-0.005479452054794498
2022-05-04,18150,18150,17950,18100,8134,-0.0027548209366391463
2022-05-06,17900,17950,17700,17750,21796,-0.01933701657458564
2022-05-09,17850,17850,17300,17400,41645,-0.019718309859154903
2022-05-10,17100,17250,16800,17250,42144,-0.008620689655172376
2022-05-11,17100,17250,17000,17250,15158,0.0
2022-05-12,17250,17250,16700,16900,24996,-0.020289855072463725
2022-05-13,16800,17050,16800,17000,14722,0.00591715976331364
2022-05-16,17000,17200,16950,17000,15676,0.0
2022-05-17,17000,17050,16900,17050,9789,0.002941176470588225
2022-05-18,17100,17100,16900,17100,17395,0.0029325513196480912
2022-05-19,16850,16950,16650,16950,30167,-0.00877192982456143
2022-05-20,17000,17150,16900,17150,14483,0.01179941002949847
2022-05-23,17100,17200,16850,17200,6956,0.00291545189504383
2022-05-24,17200,17200,16900,16900,14321,-0.01744186046511631
2022-05-25,16950,17000,16800,16900,21483,0.0
2022-05-26,16950,17000,16800,16900,13845,0.0
2022-05-27,16950,16950,16800,16950,6484,0.002958579881656709
2022-05-30,16950,17400,16950,17400,18263,0.026548672566371723
2022-05-31,17400,17450,17150,17450,17951,0.002873563218390718
2022-06-02,17500,17500,17250,17450,6185,0.0
2022-06-03,17450,17500,17350,17500,6290,0.002865329512893977
2022-06-07,17500,17500,17200,17400,7906,-0.005714285714285672
2022-06-08,17450,17550,17250,17500,11301,0.005747126436781658
2022-06-09,17450,17500,17150,17450,13237,-0.0028571428571428914
2022-06-10,17400,17400,17200,17350,11819,-0.005730659025787954
2022-06-13,17250,17250,16800,17000,38968,-0.02017291066282423
2022-06-14,16800,17050,16500,17050,85566,0.002941176470588225
2022-06-15,17050,17050,16650,16900,36900,-0.008797653958944274
2022-06-16,16900,17000,16650,16800,27281,-0.00591715976331364
2022-06-17,16600,16700,16350,16700,27238,-0.005952380952380931
2022-06-20,16750,16750,16100,16500,31774,-0.0119760479041916
2022-06-21,16300,16500,16150,16450,17992,-0.00303030303030305
2022-06-22,16350,16450,16000,16300,37634,-0.00911854103343468
2022-06-23,16200,16200,15700,15950,40105,-0.021472392638036797
2022-06-24,15650,16200,15650,16150,18709,0.012539184952978122
2022-06-27,16250,16250,15900,16250,13378,0.006191950464396356
2022-06-28,16200,16250,16000,16200,12459,-0.003076923076923088
2022-06-29,15900,16150,15800,16150,12663,-0.0030864197530864335
2022-06-30,16150,16150,15900,16150,13282,0.0
2022-07-01,16100,16200,16000,16150,14210,0.0
2022-07-04,16150,16150,15800,16150,32542,0.0
2022-07-05,16200,16550,16150,16550,9997,0.024767801857585203
2022-07-06,16550,16650,16350,16550,4951,0.0
2022-07-07,16550,16750,16400,16700,11444,0.009063444108761365
2022-07-08,16800,16900,16600,16750,11335,0.0029940119760478723
2022-07-11,16800,16800,16450,16650,10104,-0.005970149253731294
2022-07-12,16600,16750,16450,16750,17042,0.006006006006006093
2022-07-13,16550,17000,16550,16850,16415,0.005970149253731405
2022-07-14,16900,16900,16500,16900,34583,0.0029673590504450953
2022-07-15,16900,16900,16550,16850,22060,-0.00295857988165682
2022-07-18,16900,16900,16650,16750,29729,-0.005934718100890191
2022-07-19,16750,16950,16550,16900,22036,0.008955223880596996
2022-07-20,16900,17150,16850,16900,33649,0.0
2022-07-21,16850,17000,16800,17000,10346,0.00591715976331364
2022-07-22,17000,17100,16850,17000,10592,0.0
2022-07-25,17000,17000,16850,17000,4895,0.0
2022-07-26,17000,17050,16900,17000,8235,0.0
2022-07-27,16950,17050,16900,17050,10602,0.002941176470588225
2022-07-28,17000,17100,16950,17100,14479,0.0029325513196480912
2022-07-29,17100,17200,17000,17150,17157,0.0029239766081872176
2022-08-01,17100,17150,16950,17150,18123,0.0
2022-08-02,17050,17200,17000,17200,4462,0.00291545189504383
2022-08-03,17200,17250,17050,17200,5310,0.0
2022-08-04,17150,17250,17000,17250,21413,0.0029069767441860517
2022-08-05,17250,17250,17000,17200,14507,-0.0028985507246376274
2022-08-08,17050,17250,16950,17200,38375,0.0
2022-08-09,17100,17250,17050,17200,11938,0.0
2022-08-10,17100,17250,17000,17100,24727,-0.005813953488372103
2022-08-11,17100,17250,17100,17150,17976,0.0029239766081872176
2022-08-12,17100,17200,17050,17150,16282,0.0
2022-08-16,17100,17200,17050,17200,58852,0.00291545189504383
2022-08-17,17200,17250,17100,17250,14562,0.0029069767441860517
2022-08-18,17100,17200,17050,17200,19213,-0.0028985507246376274
2022-08-19,17100,17200,17100,17150,13636,-0.0029069767441860517
2022-08-22,17100,17200,17050,17150,23433,0.0
2022-08-23,17100,17150,17050,17100,19391,-0.002915451895043719
2022-08-24,17100,17200,17050,17150,20662,0.0029239766081872176
2022-08-25,17200,17250,17050,17200,17276,0.00291545189504383
2022-08-26,17200,17250,17100,17150,6739,-0.0029069767441860517
2022-08-29,16850,17150,16850,17100,18318,-0.002915451895043719
2022-08-30,17100,17150,16950,17100,9399,0.0
2022-08-31,17100,17100,16950,17100,10635,0.0
2022-09-01,17000,17100,16850,17050,26018,-0.0029239766081871066
2022-09-02,17000,17050,16900,17050,11100,0.0
2022-09-05,17050,17050,16750,17000,81713,-0.0029325513196480912
2022-09-06,17000,17000,16900,17000,4837,0.0
2022-09-07,17000,17000,16700,16950,11153,-0.002941176470588225
2022-09-08,17050,17050,16800,16900,7769,-0.002949852507374673
2022-09-13,16950,17000,16800,16950,24446,0.002958579881656709
2022-09-14,16800,16850,16750,16800,12011,-0.008849557522123908
2022-09-15,16850,17050,16700,16950,22842,0.008928571428571397
