Date,Open,High,Low,Close,Volume,Change
2022-01-03,28900,28950,28150,28750,220533,0.005244755244755206
2022-01-04,28950,29300,28500,28800,247633,0.0017391304347826875
2022-01-05,28550,28600,27700,27850,328667,-0.03298611111111116
2022-01-06,27250,27700,27000,27100,359958,-0.026929982046678624
2022-01-07,27350,28000,27300,28000,152622,0.03321033210332103
2022-01-10,27600,27650,26800,27100,235641,-0.03214285714285714
2022-01-11,27150,27350,26300,26550,204432,-0.020295202952029467
2022-01-12,26800,27200,26450,27050,262530,0.01883239171374762
2022-01-13,26950,27150,26600,26700,179828,-0.012939001848428888
2022-01-14,26500,27450,26400,27200,284939,0.01872659176029967
2022-01-17,27250,27400,26700,27200,173206,0.0
2022-01-18,27250,28350,27050,27400,371410,0.007352941176470562
2022-01-19,26850,27250,26350,26750,287129,-0.02372262773722633
2022-01-20,26500,27100,26400,27000,193430,0.009345794392523255
2022-01-21,26400,26450,25450,25750,521017,-0.04629629629629628
2022-01-24,25350,25950,24750,25750,377504,0.0
2022-01-25,25750,26050,24800,25250,368244,-0.01941747572815533
2022-01-26,25400,25600,24900,25000,217321,-0.00990099009900991
2022-01-27,25100,25300,23800,24100,341907,-0.03600000000000003
2022-01-28,24350,25050,23400,25050,407803,0.03941908713692954
2022-02-03,25700,25800,25100,25250,268007,0.007984031936127733
2022-02-04,25050,25500,24950,25400,191031,0.005940594059405946
2022-02-07,25400,25450,24700,24950,174100,-0.017716535433070835
2022-02-08,25050,25150,24200,24500,209393,-0.018036072144288595
2022-02-09,24750,25400,24650,25400,236750,0.03673469387755102
2022-02-10,25700,25750,25250,25500,162218,0.003937007874015741
2022-02-11,25100,25700,24700,25350,259375,-0.00588235294117645
2022-02-14,24600,24900,23950,24350,237935,-0.03944773175542404
2022-02-15,24350,24700,23900,24100,135760,-0.010266940451745366
2022-02-16,24750,26000,24750,26000,377213,0.07883817427385886
2022-02-17,26000,27150,25250,26050,601705,0.0019230769230769162
