Date,Open,High,Low,Close,Volume,Change
2025-11-17,54000,55000,22850,22850,21446871,
2025-11-18,20300,26350,18900,23600,17323668,0.03282275711159732
2025-11-19,23000,27450,22800,25450,11353588,0.07838983050847448
2025-11-20,25950,27600,23900,24650,5128001,-0.03143418467583492
2025-11-21,23550,25050,20500,21000,1499476,-0.14807302231237318
2025-11-24,21000,22250,19640,21400,1117167,0.01904761904761898
2025-11-25,21900,24500,21700,21800,2767457,0.01869158878504673
2025-11-26,23050,24900,22750,23850,3145461,0.09403669724770647
2025-11-27,23850,24800,22550,22800,1617545,-0.04402515723270439
2025-11-28,22700,22750,21500,21600,692537,-0.052631578947368474
2025-12-01,21400,22400,20450,20500,834872,-0.05092592592592593
2025-12-02,18820,20950,18820,20000,1108200,-0.024390243902439046
2025-12-03,19950,20700,19800,20000,691020,0.0
2025-12-04,20250,22650,20000,21200,2468294,0.06000000000000005
2025-12-05,21250,21250,20050,20100,593998,-0.05188679245283023
2025-12-08,20200,21000,19900,19900,577529,-0.00995024875621886
2025-12-09,19880,19880,19140,19270,351041,-0.03165829145728638
2025-12-10,19200,19490,18860,18910,280959,-0.018681888946548986
2025-12-11,19000,19410,18500,18920,280591,0.0005288207297726721
2025-12-12,18920,18950,18100,18110,347746,-0.042811839323467216
2025-12-15,18120,18210,17330,17350,292878,-0.04196576477084479
2025-12-16,17290,17300,16180,16270,326865,-0.06224783861671468
2025-12-17,15500,15500,13960,14200,1757833,-0.12722802704363856
2025-12-18,14170,15580,13870,14730,1764477,0.03732394366197189
2025-12-19,14810,17580,14560,15750,2976493,0.06924643584521384
2025-12-22,15880,17970,15750,17350,2513664,0.10158730158730167
2025-12-23,17860,17860,15670,15700,905467,-0.09510086455331412
2025-12-24,15860,16280,15110,15690,529466,-0.0006369426751592355
2025-12-26,15650,15680,14800,14800,444960,-0.05672402804333976
2025-12-29,14800,16950,14340,16100,2079390,0.08783783783783794
2025-12-30,16000,16450,15230,15350,501169,-0.04658385093167705
2026-01-02,15350,16400,15150,15830,454720,0.03127035830618885
2026-01-05,16060,17150,15420,17010,1187060,0.07454200884396722
2026-01-06,16840,22050,16580,21600,11469241,0.26984126984126977
2026-01-07,21550,25150,20750,22900,11402926,0.06018518518518512
2026-01-08,23550,25450,22950,24300,6237124,0.06113537117903922
2026-01-09,24500,24650,22800,23550,1836729,-0.030864197530864224
2026-01-12,23750,29000,23750,27550,8737776,0.1698513800424628
2026-01-13,27550,27700,26050,26600,1620243,-0.03448275862068961
2026-01-14,26850,29500,25400,25650,3848734,-0.0357142857142857
2026-01-15,25650,27600,24550,26150,2034459,0.01949317738791434
2026-01-16,27400,29050,26650,27800,2903019,0.06309751434034427
2026-01-19,28750,29700,27300,28150,2141644,0.012589928057553879
2026-01-20,30150,36550,30050,36550,6958321,0.29840142095914746
2026-01-21,35100,41800,33400,37550,12064564,0.02735978112175097
2026-01-22,37950,38200,34050,34950,1853123,-0.06924101198402133
2026-01-23,35200,35250,30550,31000,1504054,-0.11301859799713876
2026-01-26,31000,32450,28000,32300,1221190,0.041935483870967794
2026-01-27,32300,33350,31000,31850,841752,-0.01393188854489169
2026-01-28,32500,32650,30900,31750,560880,-0.0031397174254317317
2026-01-29,31950,34550,30150,34000,1556250,0.07086614173228356
2026-01-30,34350,36750,33150,35050,1158341,0.03088235294117636
2026-02-02,35000,37500,32700,35400,1340135,0.009985734664764712
2026-02-03,36800,38850,35700,38150,1501619,0.07768361581920913
2026-02-04,38900,40100,36600,39000,1066592,0.022280471821756187
2026-02-05,37800,39700,36800,36850,762142,-0.055128205128205154
2026-02-06,34900,38800,32800,37200,1162634,0.009497964721845387
2026-02-09,39000,45400,36300,41200,5334908,0.10752688172043001
2026-02-10,41500,43600,39650,39650,1495996,-0.03762135922330101
2026-02-11,38500,44050,38150,41000,1797850,0.034047919293821005
