Date,Open,High,Low,Close,Volume,Change
2022-01-03,9310,9370,9250,9300,10818,-0.0010741138560687036
2022-01-04,9410,9520,9310,9510,21441,0.022580645161290214
2022-01-05,9440,9550,9420,9510,17768,0.0
2022-01-06,9770,10700,9600,10150,554283,0.06729758149316512
2022-01-07,10150,10300,9930,10250,67623,0.009852216748768461
2022-01-10,10300,10550,10100,10250,96073,0.0
2022-01-11,10100,10450,10050,10250,72414,0.0
2022-01-12,10100,10200,10000,10050,38266,-0.019512195121951237
2022-01-13,10100,10400,10000,10250,57009,0.01990049751243772
2022-01-14,10800,11850,10400,10500,597251,0.024390243902439046
2022-01-17,10300,11100,10250,10650,223525,0.014285714285714235
2022-01-18,10850,11050,10250,10650,280372,0.0
2022-01-19,11250,11350,10700,11050,595834,0.03755868544600949
2022-01-20,11000,11100,10500,10650,141082,-0.03619909502262442
2022-01-21,10900,11350,10500,10500,334539,-0.014084507042253502
2022-01-24,10400,11000,10200,10250,245397,-0.023809523809523836
2022-01-25,10250,10600,9500,9500,200714,-0.07317073170731703
2022-01-26,9500,9700,9040,9240,72230,-0.027368421052631597
2022-01-27,9300,10100,8880,8880,204329,-0.038961038961038974
2022-01-28,8770,9070,8760,9000,28131,0.013513513513513598
2022-02-03,9020,9220,9020,9180,21280,0.020000000000000018
2022-02-04,9380,9380,9180,9270,23242,0.009803921568627416
2022-02-07,9280,9420,9220,9350,16956,0.008629989212513456
2022-02-08,9300,9500,9220,9350,29872,0.0
2022-02-09,9390,9440,9250,9390,21564,0.004278074866310266
2022-02-10,9360,9520,9360,9490,19488,0.010649627263045858
2022-02-11,9490,9510,9350,9430,16673,-0.006322444678609096
2022-02-14,9200,9500,8980,9000,40688,-0.04559915164369033
2022-02-15,9000,9080,8850,8900,24176,-0.011111111111111072
2022-02-16,8940,9160,8940,9150,8218,0.028089887640449396
2022-02-17,9150,9250,9070,9200,16530,0.005464480874316946
2022-02-18,9010,9220,9010,9110,11712,-0.009782608695652173
2022-02-21,9110,9200,9050,9110,9953,0.0
2022-02-22,9010,9200,8970,9060,15111,-0.005488474204171201
2022-02-23,9000,9200,9000,9090,8584,0.0033112582781456013
2022-02-24,8990,9040,8830,8910,14930,-0.01980198019801982
2022-02-25,8960,9110,8950,9030,16555,0.013468013468013407
2022-02-28,9030,9060,8960,9020,4364,-0.001107419712070845
2022-03-02,8950,9100,8940,9050,11887,0.003325942350332678
2022-03-03,9050,9150,8990,9070,17278,0.0022099447513812542
2022-03-04,9010,9250,9010,9110,18204,0.004410143329658167
2022-03-07,9020,9100,8940,8950,15135,-0.01756311745334793
2022-03-08,8950,9020,8860,8990,17956,0.004469273743016755
2022-03-10,9000,9090,8890,9030,26320,0.004449388209121219
2022-03-11,9030,9080,9000,9040,16461,0.001107419712070845
2022-03-14,9100,9120,8950,9020,8751,-0.0022123893805309214
2022-03-15,8920,9030,8920,8970,8013,-0.005543237250554278
2022-03-16,8970,9070,8950,9030,8683,0.006688963210702337
2022-03-17,9030,9170,9030,9150,17193,0.013289036544850585
2022-03-18,9150,9180,9080,9150,8171,0.0
2022-03-21,9200,9290,9100,9280,15607,0.014207650273224015
2022-03-22,9300,9300,9200,9280,7391,0.0
2022-03-23,9300,9320,9210,9240,8964,-0.004310344827586188
2022-03-24,9190,9240,9120,9170,8254,-0.007575757575757569
2022-03-25,9220,9220,9020,9140,12425,-0.0032715376226826187
2022-03-28,9090,9120,9030,9120,7429,-0.002188183807439792
