Date,Open,High,Low,Close,Volume,Change
2022-01-03,18900,19150,18200,18650,336032,-0.007978723404255317
2022-01-04,18800,19300,18800,19000,315446,0.018766756032171594
2022-01-05,19050,19100,17700,17850,662735,-0.06052631578947365
2022-01-06,17550,17750,16500,16600,759081,-0.07002801120448177
2022-01-07,16900,17150,16850,16950,324123,0.02108433734939763
2022-01-10,17200,17300,16750,16900,274606,-0.002949852507374673
2022-01-11,17100,17900,17100,17600,503967,0.041420118343195256
2022-01-12,17500,17750,17400,17650,210605,0.0028409090909091717
2022-01-13,17700,17700,16950,17000,308872,-0.03682719546742208
2022-01-14,16650,16900,16200,16500,482314,-0.02941176470588236
2022-01-17,16550,17100,16550,16900,254520,0.024242424242424176
2022-01-18,16850,17100,16150,16500,259379,-0.023668639053254448
2022-01-19,16200,16750,16150,16350,193493,-0.009090909090909038
2022-01-20,16250,16600,16150,16450,159258,0.006116207951070374
2022-01-21,16200,16600,16200,16450,166159,0.0
2022-01-24,16250,16550,15700,16050,304796,-0.024316109422492405
2022-01-25,16000,16700,15750,16100,474799,0.0031152647975076775
2022-01-26,16150,16600,15800,15950,245406,-0.009316770186335366
2022-01-27,15950,16000,13800,15100,1335981,-0.053291536050156685
2022-01-28,15100,15550,14550,15350,534037,0.01655629139072845
2022-02-03,15850,16150,15200,15250,646811,-0.006514657980456029
2022-02-04,15050,15550,14950,15500,453338,0.016393442622950838
2022-02-07,15650,16150,15350,15450,667230,-0.003225806451612856
2022-02-08,15500,16050,15250,15550,513368,0.006472491909385036
2022-02-09,15550,16100,15350,16050,547675,0.03215434083601276
2022-02-10,16050,16600,16000,16300,854177,0.015576323987538832
2022-02-11,16100,16350,15950,16000,346088,-0.018404907975460127
2022-02-14,15700,16000,15500,15950,327955,-0.0031250000000000444
2022-02-15,16100,16250,15650,15750,287148,-0.01253918495297801
2022-02-16,16250,17450,16150,17350,1391842,0.10158730158730167
2022-02-17,17450,18850,17300,18150,2176819,0.04610951008645525
2022-02-18,18000,19250,17850,19000,1360601,0.04683195592286493
2022-02-21,18850,19600,18700,18950,820500,-0.0026315789473684292
2022-02-22,18450,19250,18050,18750,976119,-0.01055408970976257
2022-02-23,19050,19200,18500,18750,420678,0.0
2022-02-24,18500,18900,17850,17950,813265,-0.04266666666666663
2022-02-25,18300,19050,18300,18750,606867,0.04456824512534818
2022-02-28,18600,18850,18250,18650,324317,-0.005333333333333301
2022-03-02,18550,18900,18500,18750,277173,0.00536193029490617
2022-03-03,18850,19000,18100,18300,535310,-0.02400000000000002
2022-03-04,18300,18650,18150,18400,389232,0.005464480874316946
2022-03-07,18000,18400,17950,18050,356386,-0.01902173913043481
2022-03-08,17950,19400,17750,19200,1323096,0.06371191135734078
2022-03-10,19550,19700,19050,19300,752209,0.005208333333333259
2022-03-11,19550,20750,19500,20700,1457017,0.07253886010362698
2022-03-14,20700,20900,19900,20650,784473,-0.0024154589371980784
2022-03-15,20300,21900,20250,21050,1286615,0.01937046004842613
2022-03-16,21300,21900,20500,21600,901230,0.026128266033254244
2022-03-17,22000,22450,21400,22150,783276,0.02546296296296302
2022-03-18,22100,22350,21400,21750,544047,-0.018058690744920947
2022-03-21,21750,21750,20850,21350,711170,-0.01839080459770115
2022-03-22,21350,21600,20900,21450,406350,0.004683840749414525
2022-03-23,21400,21650,20900,21050,354561,-0.018648018648018683
2022-03-24,21200,21750,20750,21650,495939,0.028503562945368266
2022-03-25,21750,21800,21250,21550,378028,-0.004618937644341847
2022-03-28,21550,21700,20900,21350,353526,-0.009280742459396807
2022-03-29,21600,21800,21350,21750,283066,0.0187353629976581
2022-03-30,21850,22150,21350,21900,397205,0.006896551724137945
2022-03-31,22000,23000,21950,22400,40227051,0.022831050228310446
2022-04-01,23000,24000,22000,23350,1813380,0.04241071428571419
2022-04-04,23800,24000,22450,22600,938805,-0.032119914346895095
2022-04-05,22600,22900,22050,22300,552688,-0.013274336283185861
2022-04-06,22050,23500,22000,23050,742844,0.03363228699551568
2022-04-07,22700,22900,22300,22550,345661,-0.021691973969631184
2022-04-08,22750,23600,22650,23200,539499,0.02882483370288247
2022-04-11,23150,24400,23100,23700,1023909,0.02155172413793105
2022-04-12,23550,23550,22200,22750,672362,-0.04008438818565396
2022-04-13,22800,23400,22450,22750,401776,0.0
2022-04-14,22950,22950,22300,22550,317293,-0.00879120879120876
2022-04-15,22550,23000,22250,22800,301642,0.011086474501108556
2022-04-18,23050,23100,21550,21600,696410,-0.052631578947368474
2022-04-19,21700,22350,21650,22200,437205,0.02777777777777768
2022-04-20,22300,22500,21500,21650,434616,-0.024774774774774744
2022-04-21,21500,22000,21500,21650,345710,0.0
2022-04-22,21500,21900,21500,21750,283445,0.004618937644341736
2022-04-25,21500,21750,21100,21450,335799,-0.01379310344827589
2022-04-26,21550,21650,21100,21150,258052,-0.013986013986013957
2022-04-27,20650,20700,19950,20550,554000,-0.028368794326241176
2022-04-28,21000,21000,20150,20550,285281,0.0
2022-04-29,20850,21350,20500,20750,477171,0.009732360097323589
