Date,Open,High,Low,Close,Volume,Change
2024-06-19,3150,3495,2045,2055,42064145,
2024-06-20,2060,2070,2050,2065,956187,0.0048661800486617945
2024-06-21,2060,2075,2055,2065,377206,0.0
2024-06-24,2065,2080,2060,2080,182597,0.007263922518159882
2024-06-25,2075,2080,2060,2080,94396,0.0
2024-06-26,2080,2085,2065,2085,128792,0.0024038461538462563
2024-06-27,2075,2095,2070,2085,101063,0.0
2024-06-28,2085,2085,2075,2080,71442,-0.0023980815347721673
2024-07-01,2080,2090,2080,2085,25398,0.0024038461538462563
2024-07-02,2080,2090,2080,2085,79780,0.0
2024-07-03,2085,2105,2080,2095,57418,0.004796163069544335
2024-07-04,2095,2100,2085,2100,20570,0.0023866348448686736
2024-07-05,2100,2120,2100,2110,72998,0.004761904761904745
2024-07-08,2110,2140,2100,2135,64361,0.011848341232227444
2024-07-09,2135,2160,2135,2150,33736,0.007025761124121788
2024-07-10,2150,2165,2140,2150,38696,0.0
2024-07-11,2150,2170,2135,2155,87019,0.0023255813953488857
2024-07-12,2155,2175,2140,2165,68927,0.004640371229698292
2024-07-15,2150,2170,2150,2155,15617,-0.004618937644341847
2024-07-16,2155,2170,2150,2150,18175,-0.002320185614849146
2024-07-17,2150,2175,2150,2155,59648,0.0023255813953488857
2024-07-18,2150,2165,2150,2160,35081,0.002320185614849146
2024-07-19,2150,2165,2145,2150,46224,-0.00462962962962965
2024-07-22,2150,2165,2150,2150,31554,0.0
2024-07-23,2150,2165,2150,2155,40934,0.0023255813953488857
2024-07-24,2165,2165,2150,2150,16523,-0.002320185614849146
2024-07-25,2155,2160,2140,2140,17339,-0.0046511627906976605
2024-07-26,2145,2150,2135,2140,16936,0.0
2024-07-29,2135,2155,2135,2145,16554,0.002336448598130758
2024-07-30,2145,2160,2130,2155,23685,0.004662004662004726
2024-07-31,2150,2150,2135,2140,1333,-0.00696055684454755
2024-08-01,2140,2145,2135,2140,11127,0.0
2024-08-02,2145,2145,2135,2145,6332,0.002336448598130758
2024-08-05,2145,2145,2100,2125,59008,-0.009324009324009341
2024-08-06,2110,2135,2110,2135,24075,0.004705882352941115
2024-08-07,2130,2145,2125,2135,4320,0.0
2024-08-08,2145,2145,2130,2130,9759,-0.0023419203747072626
2024-08-09,2145,2145,2130,2130,405,0.0
2024-08-12,2130,2140,2125,2135,11063,0.0023474178403755097
2024-08-13,2125,2150,2125,2135,21854,0.0
2024-08-14,2135,2150,2135,2150,26054,0.007025761124121788
2024-08-16,2145,2150,2135,2140,5953,-0.0046511627906976605
2024-08-19,2135,2145,2130,2140,35973,0.0
2024-08-20,2135,2135,2120,2130,20555,-0.004672897196261627
2024-08-21,2135,2165,2125,2125,61642,-0.0023474178403756207
2024-08-22,2125,2145,2120,2140,27638,0.007058823529411784
2024-08-23,2125,2140,2110,2115,24205,-0.011682242990654235
2024-08-26,2100,2120,2100,2120,10434,0.0023640661938533203
2024-08-27,2105,2110,2075,2090,73483,-0.014150943396226467
2024-08-28,2090,2135,2085,2130,66449,0.019138755980861344
2024-08-29,2125,2130,2100,2120,9527,-0.0046948356807511304
2024-08-30,2110,2130,2105,2125,12724,0.002358490566037652
2024-09-02,2115,2135,2115,2135,10618,0.004705882352941115
2024-09-03,2135,2140,2115,2130,15063,-0.0023419203747072626
2024-09-04,2100,2135,2100,2125,7932,-0.0023474178403756207
2024-09-05,2125,2125,2115,2125,2216,0.0
2024-09-06,2125,2125,2110,2110,3417,-0.007058823529411784
2024-09-09,2090,2115,2090,2115,445,0.0023696682464455776
2024-09-10,2100,2125,2100,2115,13682,0.0
2024-09-11,2120,2135,2115,2135,54465,0.009456264775413725
2024-09-12,2120,2135,2120,2125,100466,-0.004683840749414525
2024-09-13,2130,2130,2125,2125,8242,0.0
2024-09-19,2130,2130,2125,2130,8964,0.0023529411764706687
2024-09-20,2130,2135,2125,2135,8143,0.0023474178403755097
2024-09-23,2135,2145,2120,2140,24265,0.0023419203747072626
2024-09-24,2110,2145,2110,2140,7184,0.0
