Date,Open,High,Low,Close,Volume,Change
2022-01-03,19900,20150,19650,20150,51614,0.012562814070351758
2022-01-04,20050,20350,19700,20100,189365,-0.002481389578163795
2022-01-05,20200,20950,20150,20750,344468,0.03233830845771135
2022-01-06,20600,22250,20250,21750,568790,0.04819277108433728
2022-01-07,21750,21950,21100,21600,293580,-0.006896551724137945
2022-01-10,21950,22400,21500,21850,247760,0.011574074074074181
2022-01-11,22150,22200,20650,20700,346669,-0.052631578947368474
2022-01-12,20700,20800,19800,19950,405380,-0.036231884057971064
2022-01-13,20100,20400,19850,20000,204173,0.0025062656641603454
2022-01-14,19700,19950,19250,19500,202518,-0.025000000000000022
2022-01-17,19300,19300,18500,18500,161735,-0.05128205128205132
2022-01-18,18500,18650,17700,17900,175617,-0.032432432432432434
2022-01-19,17450,18200,17300,17350,284307,-0.030726256983240274
2022-01-20,17400,17750,14400,14950,1260977,-0.13832853025936598
2022-01-21,15250,16000,15000,15500,813190,0.03678929765886285
2022-01-24,15350,15600,14850,15150,284320,-0.022580645161290325
2022-01-25,15050,15300,14850,15150,265830,0.0
2022-01-26,15100,15350,14800,14900,213137,-0.01650165016501648
2022-01-27,15150,15300,14300,14650,241763,-0.016778523489932917
2022-01-28,14650,15100,14250,15050,284751,0.027303754266211566
2022-02-03,15300,15350,15100,15350,143082,0.019933554817275656
2022-02-04,15100,15700,15100,15600,81539,0.016286644951140072
2022-02-07,15650,15850,15250,15750,78465,0.009615384615384581
2022-02-08,15700,16150,15500,15800,95183,0.0031746031746031633
2022-02-09,16000,16750,15900,16600,125040,0.05063291139240511
2022-02-10,16700,17250,16450,16600,250083,0.0
2022-02-11,17000,17600,16450,17150,316453,0.033132530120481896
2022-02-14,16650,17450,16450,16950,214410,-0.011661807580174877
2022-02-15,16850,18250,16850,17300,356848,0.020648967551622377
2022-02-16,17650,17700,17050,17150,142915,-0.00867052023121384
2022-02-17,17050,17450,16800,17200,161140,0.00291545189504383
2022-02-18,17000,17350,16800,17300,89795,0.005813953488372103
2022-02-21,17200,17550,16850,17400,101757,0.005780346820809301
2022-02-22,17100,17500,16800,17000,101158,-0.02298850574712641
2022-02-23,17250,18150,16900,18150,229342,0.0676470588235294
2022-02-24,17950,18250,17400,17450,156594,-0.038567493112947604
2022-02-25,17700,17950,17050,17450,138248,0.0
2022-02-28,17650,18100,17350,17650,135544,0.011461318051575908
2022-03-02,17650,17950,17500,17800,100903,0.008498583569405138
2022-03-03,18250,18750,18000,18500,169153,0.0393258426966292
2022-03-04,18950,19250,18450,19250,140786,0.04054054054054057
2022-03-07,19300,21650,18800,19300,728696,0.0025974025974024872
2022-03-08,20350,21400,18150,18250,858043,-0.05440414507772018
2022-03-10,18550,18950,18000,18550,225843,0.016438356164383494
2022-03-11,18500,19800,18500,19650,255344,0.059299191374662996
2022-03-14,19650,20000,19100,19100,172456,-0.027989821882951627
2022-03-15,19100,19150,18100,18500,153970,-0.03141361256544506
2022-03-16,18550,18900,18100,18400,119847,-0.00540540540540535
2022-03-17,18650,18650,18200,18500,103112,0.005434782608695565
2022-03-18,19000,19600,18800,18800,253554,0.016216216216216273
2022-03-21,18800,18950,18500,18700,85859,-0.005319148936170248
2022-03-22,18800,19100,18600,19050,110664,0.018716577540107027
