Date,Open,High,Low,Close,Volume,Change
2023-07-27,31600,32750,22200,22550,4484016,
2023-07-28,23850,25250,22450,23400,1022469,0.037694013303769314
2023-07-31,22700,24650,22000,23700,719481,0.012820512820512775
2023-08-01,24050,25150,23400,24350,491043,0.02742616033755274
2023-08-02,24800,24800,22900,23000,306344,-0.05544147843942504
2023-08-03,23350,23400,21300,22100,280920,-0.03913043478260869
2023-08-04,22000,22900,21300,22450,177889,0.015837104072398134
2023-08-07,22650,23100,21600,21800,161393,-0.028953229398663738
2023-08-08,21900,24800,21100,22400,1304139,0.02752293577981657
2023-08-09,22400,22850,22000,22200,223192,-0.008928571428571397
2023-08-10,21800,21800,21250,21300,154740,-0.04054054054054057
2023-08-11,21500,22200,21200,22000,179152,0.032863849765258246
2023-08-14,21800,23350,21600,23050,255112,0.04772727272727262
2023-08-16,22500,24250,21950,22000,424348,-0.045553145336225564
