Date,Open,High,Low,Close,Volume,Change
2023-04-07,2005,2010,2000,2005,1199572,
2023-04-10,2005,2010,2005,2005,38650,0.0
2023-04-11,2010,2010,2005,2010,25699,0.0024937655860348684
2023-04-12,2010,2010,2000,2005,45350,-0.0024875621890547706
2023-04-13,2010,2010,2005,2010,25414,0.0024937655860348684
2023-04-14,2010,2010,2005,2010,49328,0.0
2023-04-17,2010,2015,2005,2010,77415,0.0
2023-04-18,2010,2020,2005,2015,161748,0.0024875621890547706
2023-04-19,2015,2050,2015,2030,90074,0.007444168734491274
2023-04-20,2045,2045,2030,2040,28635,0.0049261083743843415
2023-04-21,2040,2045,2030,2040,27863,0.0
2023-04-24,2045,2055,2020,2050,62221,0.004901960784313708
2023-04-25,2045,2050,2035,2045,29458,-0.0024390243902439046
2023-04-26,2045,2060,2045,2060,18828,0.007334963325183352
2023-04-27,2060,2075,2060,2075,20359,0.00728155339805836
2023-04-28,2075,2090,2070,2090,11755,0.0072289156626506035
2023-05-02,2090,2105,2085,2095,27940,0.0023923444976077235
2023-05-03,2095,2110,2095,2105,15221,0.004773269689737569
2023-05-04,2100,2105,2055,2095,34717,-0.004750593824228044
2023-05-08,2095,2100,2090,2100,19724,0.0023866348448686736
2023-05-09,2100,2100,2090,2100,8512,0.0
2023-05-10,2100,2105,2085,2100,9651,0.0
2023-05-11,2100,2135,2100,2125,18442,0.011904761904761862
