Date,Open,High,Low,Close,Volume,Change
2025-02-05,60500,61900,54900,55800,11928487,
2025-02-06,56400,58000,55000,57700,4504009,0.03405017921146958
2025-02-07,57700,58300,56200,57200,2240564,-0.008665511265164683
2025-02-10,56400,57700,55700,55700,1547194,-0.02622377622377625
2025-02-11,56100,56300,54200,54400,1517341,-0.02333931777378817
2025-02-12,54200,55700,53800,54300,987535,-0.0018382352941176405
2025-02-13,55200,56800,54700,55700,1574873,0.025782688766114115
2025-02-14,55400,55500,54300,54500,929423,-0.021543985637342944
2025-02-17,54600,54600,53100,53200,965351,-0.023853211009174258
2025-02-18,53300,53600,52000,52100,1021817,-0.020676691729323293
2025-02-19,52800,53200,52200,52300,803215,0.0038387715930903177
2025-02-20,52200,52700,51200,51300,735273,-0.019120458891013437
2025-02-21,51500,52200,51200,51700,526764,0.007797270955165692
2025-02-24,50900,51400,50100,50300,666499,-0.027079303675048405
2025-02-25,50200,51100,49750,50700,622991,0.007952286282306265
2025-02-26,50400,50700,49950,50100,387046,-0.011834319526627168
2025-02-27,50200,50200,49400,49950,584305,-0.0029940119760478723
2025-02-28,49300,49400,48350,48350,719821,-0.03203203203203209
2025-03-04,47850,47900,46550,46550,743054,-0.03722854188210967
2025-03-05,47000,47800,46500,47400,672430,0.018259935553168738
2025-03-06,47700,51300,47400,51000,2214248,0.07594936708860756
2025-03-07,50300,51700,50300,51200,865391,0.0039215686274509665
2025-03-10,51000,51100,49800,50500,441922,-0.013671875
2025-03-11,48950,51500,48800,50700,526969,0.003960396039603964
2025-03-12,51200,52900,51000,52200,982245,0.029585798816567976
2025-03-13,52600,52700,51000,51700,462240,-0.009578544061302652
2025-03-14,51700,52600,51300,51700,320626,0.0
2025-03-17,51700,52300,51200,51200,380336,-0.009671179883945835
2025-03-18,51600,52400,51400,51700,346065,0.009765625
2025-03-19,52000,53400,51800,52800,851039,0.02127659574468077
2025-03-20,53300,53300,52300,52400,386265,-0.007575757575757569
2025-03-21,52300,52900,52100,52200,265520,-0.003816793893129722
2025-03-24,51800,52400,51600,52000,191469,-0.003831417624521105
2025-03-25,51900,52200,51600,51600,209816,-0.007692307692307665
2025-03-26,51700,52600,51100,52000,281388,0.007751937984496138
2025-03-27,51500,51900,51100,51100,178120,-0.017307692307692357
2025-03-28,51100,51500,49800,49800,309677,-0.025440313111546042
2025-03-31,48750,49750,48750,49000,220463,-0.016064257028112428
2025-04-01,49300,49850,48850,48900,213936,-0.0020408163265306367
2025-04-02,49100,49200,47850,48300,257418,-0.012269938650306789
2025-04-03,47400,49450,47400,48850,233579,0.011387163561076497
2025-04-04,48300,50100,47900,50000,223526,0.023541453428863823
2025-04-07,48850,49450,48350,48350,322021,-0.03300000000000003
2025-04-08,49200,50200,48350,48400,229463,0.0010341261633919352
2025-04-09,48000,48650,47000,47450,231484,-0.01962809917355368
2025-04-10,49300,49500,48100,48350,215583,0.018967334035827177
2025-04-11,47950,49250,47825,48800,250572,0.009307135470527417
2025-04-14,48900,49650,48600,49400,239579,0.012295081967213184
2025-04-15,49500,50700,49000,50700,267055,0.026315789473684292
2025-04-16,50700,51500,50500,50900,279435,0.0039447731755424265
2025-04-17,50800,51300,50700,50900,152118,0.0
2025-04-18,51000,52100,50550,52000,254235,0.0216110019646365
2025-04-21,52000,52400,51800,52200,210245,0.0038461538461538325
2025-04-22,51800,52300,51800,52200,141863,0.0
