Date,Open,High,Low,Close,Volume,Change
2024-02-02,11180,11180,8240,9220,13988066,
2024-02-05,9000,9800,8720,8840,3933646,-0.041214750542299394
2024-02-06,8820,9750,8040,8230,8522334,-0.0690045248868778
2024-02-07,8120,8430,7750,7760,1760253,-0.05710814094775207
2024-02-08,8100,9400,7820,8240,12294100,0.061855670103092786
2024-02-13,8130,8290,7650,7650,1482959,-0.07160194174757284
2024-02-14,7570,7790,7290,7360,795049,-0.03790849673202612
2024-02-15,7320,7850,7200,7310,1901418,-0.006793478260869512
2024-02-16,7450,7560,7300,7330,796449,0.002735978112175186
2024-02-19,7320,7360,7040,7040,477345,-0.0395634379263301
2024-02-20,7040,7170,6860,6970,438839,-0.009943181818181768
2024-02-21,6950,8210,6930,7230,4829727,0.0373027259684362
2024-02-22,7260,8070,7230,7710,2044489,0.06639004149377592
2024-02-23,7600,8180,7400,7730,962095,0.0025940337224383825
2024-02-26,7710,8060,7560,7570,580326,-0.02069857697283317
2024-02-27,7560,8090,7360,7990,1280974,0.05548216644649928
2024-02-28,7860,8360,7500,7610,817767,-0.04755944931163958
2024-02-29,7530,7740,7300,7300,295566,-0.04073587385019706
2024-03-04,7310,7450,6960,7010,391254,-0.03972602739726028
2024-03-05,6990,6990,6760,6830,316194,-0.025677603423680417
2024-03-06,6780,6960,6710,6720,228114,-0.016105417276720324
2024-03-07,6800,6800,6420,6430,335756,-0.04315476190476186
2024-03-08,6460,6540,6300,6410,190991,-0.0031104199066873672
2024-03-11,6400,6540,6270,6330,200425,-0.012480499219968744
2024-03-12,6350,6410,6250,6330,187878,0.0
2024-03-13,6340,6410,6120,6220,278236,-0.017377567140600347
2024-03-14,6200,6700,6140,6360,365304,0.022508038585209
2024-03-15,6300,6370,6220,6220,120641,-0.022012578616352196
2024-03-18,6250,6470,6210,6380,169415,0.025723472668810254
2024-03-19,6400,6420,6170,6190,197647,-0.029780564263322873
2024-03-20,6270,6270,6130,6150,113279,-0.00646203554119551
2024-03-21,6200,6250,6150,6160,82288,0.001626016260162677
2024-03-22,6140,6310,6120,6290,113085,0.02110389610389607
2024-03-25,6290,6460,6190,6200,202854,-0.014308426073131986
2024-03-26,6190,6220,6130,6140,106425,-0.009677419354838679
2024-03-27,6140,6230,6040,6130,162103,-0.0016286644951140072
2024-03-28,6140,6260,6090,6100,158828,-0.004893964110929905
2024-03-29,6110,6170,5930,5950,157896,-0.024590163934426257
2024-04-01,5950,6090,5920,6060,86134,0.018487394957983128
2024-04-02,6090,6110,5910,6020,94943,-0.0066006600660065695
2024-04-03,5990,5990,5830,5830,109604,-0.031561461794019974
2024-04-04,5850,5900,5720,5750,130949,-0.013722126929674117
2024-04-05,5700,5840,5660,5740,84615,-0.0017391304347825765
2024-04-08,5840,5840,5590,5620,91973,-0.020905923344947785
2024-04-09,5650,5650,5490,5550,85271,-0.01245551601423489
