Date,Open,High,Low,Close,Volume,Change
2022-01-03,6790,6810,6680,6740,28459,0.0
2022-01-04,6740,6780,6600,6780,43519,0.005934718100890191
2022-01-05,6790,6800,6640,6640,28226,-0.020648967551622377
2022-01-06,6570,6850,6520,6730,95742,0.013554216867469826
2022-01-07,6790,6840,6710,6820,48656,0.013372956909361022
2022-01-10,6820,6850,6620,6650,45390,-0.024926686217008776
2022-01-11,6620,6690,6400,6410,53633,-0.03609022556390973
2022-01-12,6480,6590,6450,6580,15208,0.026521060842433775
2022-01-13,6580,6650,6490,6550,17695,-0.00455927051671734
2022-01-14,6510,6790,6480,6720,49249,0.025954198473282508
2022-01-17,6720,6740,6490,6500,31136,-0.03273809523809523
2022-01-18,6590,6590,6320,6320,24986,-0.027692307692307683
2022-01-19,6250,6540,6120,6200,46110,-0.01898734177215189
2022-01-20,6170,6640,6170,6340,38464,0.022580645161290214
2022-01-21,6340,6430,6210,6300,17879,-0.006309148264984188
2022-01-24,6300,6300,5980,6030,55549,-0.042857142857142816
2022-01-25,6040,6130,5780,5870,44264,-0.026533996683250405
2022-01-26,5810,6040,5800,5900,21310,0.005110732538330387
2022-01-27,5910,6020,5540,5670,51563,-0.03898305084745768
2022-01-28,5670,5810,5500,5810,40249,0.024691358024691468
2022-02-03,6000,6000,5850,5950,16855,0.024096385542168752
2022-02-04,5900,6080,5840,6060,21826,0.018487394957983128
2022-02-07,6060,6100,5970,6100,15261,0.0066006600660066805
2022-02-08,6160,6160,5990,6090,12731,-0.0016393442622950616
2022-02-09,6290,6310,6090,6130,17348,0.006568144499178974
2022-02-10,6190,6190,6050,6100,10799,-0.004893964110929905
2022-02-11,6100,6100,5970,6050,20492,-0.008196721311475419
2022-02-14,6000,6000,5770,5830,22360,-0.036363636363636376
2022-02-15,5890,5990,5730,5730,13459,-0.01715265866209259
2022-02-16,6050,6080,5830,6050,33286,0.055846422338568846
2022-02-17,6050,6120,5950,5960,23760,-0.014876033057851235
2022-02-18,5970,6020,5880,6000,12964,0.006711409395973256
2022-02-21,5940,6020,5880,6000,12186,0.0
2022-02-22,5900,5990,5880,5970,15767,-0.0050000000000000044
2022-02-23,5970,6070,5950,6040,13901,0.011725293132328396
2022-02-24,5980,6040,5800,5880,23828,-0.026490066225165587
2022-02-25,5920,6060,5920,5970,12547,0.015306122448979664
2022-02-28,5970,6010,5860,6000,12486,0.005025125628140614
2022-03-02,6000,6100,5960,6090,10600,0.014999999999999902
2022-03-03,6070,6180,6070,6140,17513,0.008210180623973828
2022-03-04,6080,6150,6080,6140,8726,0.0
2022-03-07,6100,6210,5950,5990,15580,-0.02442996742671011
2022-03-08,5870,5970,5850,5910,16081,-0.013355592654423987
2022-03-10,5910,6090,5910,6000,21080,0.015228426395939021
2022-03-11,5950,6360,5950,6230,51056,0.03833333333333333
2022-03-14,6260,6260,6080,6120,20583,-0.017656500802568198
2022-03-15,6120,6170,6080,6140,6375,0.0032679738562091387
2022-03-16,6190,6300,6150,6260,25312,0.019543973941368087
2022-03-17,6320,6380,6220,6320,42898,0.009584664536741228
2022-03-18,6320,6350,6280,6350,10347,0.004746835443038
2022-03-21,6350,6390,6270,6310,20205,-0.006299212598425252
2022-03-22,6320,6370,6250,6270,14839,-0.006339144215530945
2022-03-23,6280,6340,6240,6260,17156,-0.0015948963317384823
2022-03-24,6260,6300,6220,6250,13988,-0.0015974440894568342
2022-03-25,6250,6300,6220,6260,12061,0.0016000000000000458
2022-03-28,6260,6450,6250,6410,64753,0.023961661341852958
2022-03-29,6420,6490,6410,6460,40704,0.007800312012480548
2022-03-30,6500,6530,6410,6420,24964,-0.006191950464396245
2022-03-31,6410,6510,6360,6480,16233,0.009345794392523255
2022-04-01,6480,6480,6380,6380,21814,-0.015432098765432056
2022-04-04,6400,6490,6380,6490,18987,0.01724137931034475
2022-04-05,6430,6540,6430,6490,12846,0.0
2022-04-06,6420,6910,6420,6430,335342,-0.009244992295839749
2022-04-07,6450,6480,6320,6360,23876,-0.010886469673405896
2022-04-08,6350,6480,6210,6280,45483,-0.012578616352201255
2022-04-11,6330,6390,6230,6300,22376,0.0031847133757962887
2022-04-12,6230,6280,6110,6190,25980,-0.01746031746031751
2022-04-13,6150,6300,6150,6230,9289,0.00646203554119551
2022-04-14,6270,6280,6210,6260,14538,0.0048154093097914075
2022-04-15,6220,6280,6210,6230,20586,-0.004792332268370614
2022-04-18,6240,6310,6240,6260,14492,0.0048154093097914075
2022-04-19,6270,6480,6270,6390,34119,0.02076677316293929
2022-04-20,6400,6470,6380,6460,17014,0.010954616588419341
2022-04-21,6490,6520,6430,6450,19366,-0.001547987616099089
2022-04-22,6430,6580,6300,6300,26752,-0.023255813953488413
2022-04-25,6290,6300,6170,6200,28860,-0.015873015873015928
2022-04-26,6230,6280,6150,6240,14448,0.006451612903225712
2022-04-27,6140,6170,6050,6120,27785,-0.019230769230769273
