Date,Open,High,Low,Close,Volume,Change
2023-06-16,17200,20200,14140,17570,14710644,
2023-06-19,18790,18990,16150,16220,4184810,-0.07683551508252706
2023-06-20,15820,16580,14440,14440,1674364,-0.10974106041923548
2023-06-21,14460,14880,13170,13180,1025586,-0.08725761772853191
2023-06-22,12840,12890,11620,11620,959398,-0.11836115326251895
2023-06-23,11730,12370,11500,11870,748020,0.02151462994836484
2023-06-26,11700,12400,11590,11850,481926,-0.0016849199663016012
2023-06-27,11760,12680,11750,12140,1425466,0.024472573839662504
2023-06-28,12150,12210,11730,11730,369372,-0.03377265238879734
2023-06-29,11840,11940,11500,11550,295936,-0.01534526854219953
2023-06-30,11550,11650,11000,11030,316094,-0.045021645021645074
2023-07-03,11030,11170,10970,10980,145271,-0.004533091568449721
2023-07-04,10980,11060,10710,10800,138198,-0.016393442622950838
2023-07-05,10800,10850,10520,10520,162072,-0.025925925925925908
2023-07-06,10490,10520,10130,10230,148775,-0.027566539923954414
2023-07-07,10100,10310,9950,10120,206195,-0.010752688172043001
2023-07-10,10090,10180,9900,9980,160707,-0.013833992094861691
2023-07-11,9940,10100,9850,10060,181868,0.008016032064128265
2023-07-12,10060,10060,9660,9750,176714,-0.030815109343936387
2023-07-13,9840,10920,9760,10150,688492,0.0410256410256411
2023-07-14,10170,10260,9870,10000,224340,-0.014778325123152691
2023-07-17,9970,10260,9800,9800,210561,-0.020000000000000018
2023-07-18,9800,9900,9450,9460,217642,-0.03469387755102038
2023-07-19,9460,9470,9100,9100,237727,-0.038054968287526414
2023-07-20,9070,9200,9010,9130,133467,0.003296703296703285
2023-07-21,9140,9190,8950,9100,130686,-0.003285870755750264
2023-07-24,8900,9010,8660,8660,261918,-0.0483516483516484
2023-07-25,8700,8820,8530,8800,175398,0.01616628175519641
2023-07-26,8640,8700,8040,8120,356581,-0.07727272727272727
2023-07-27,8100,8430,8020,8120,243257,0.0
2023-07-28,8090,8850,8080,8850,300726,0.08990147783251223
2023-07-31,9700,10330,9100,10070,1245424,0.13785310734463274
2023-08-01,10030,10200,9660,9810,395042,-0.02581926514399202
2023-08-02,9720,10170,9520,9540,281728,-0.02752293577981646
2023-08-03,9540,9740,9370,9590,161676,0.00524109014675056
2023-08-04,9510,9590,9060,9130,135348,-0.0479666319082378
2023-08-07,9130,9210,8950,9200,78269,0.00766703176341732
2023-08-08,9150,9350,9000,9010,127122,-0.020652173913043526
2023-08-09,9150,9180,8940,9030,103181,0.002219755826859071
2023-08-10,9070,9070,8930,9000,72876,-0.0033222591362126463
2023-08-11,9030,9170,8880,8880,97966,-0.013333333333333308
2023-08-14,8880,8900,8460,8510,128146,-0.04166666666666663
2023-08-16,8370,8500,8100,8190,156531,-0.03760282021151584
2023-08-17,8110,8250,7840,8000,137972,-0.023199023199023228
2023-08-18,7860,7970,7720,7830,128297,-0.02124999999999999
2023-08-21,7720,7970,7720,7730,96051,-0.012771392081736943
2023-08-22,7710,7770,7640,7660,76017,-0.009055627425614499
2023-08-23,7670,7700,7470,7470,129123,-0.024804177545691863
2023-08-24,7420,7780,7420,7600,71989,0.01740294511378848
2023-08-25,7590,7590,7110,7390,91375,-0.02763157894736845
2023-08-28,7410,7880,7410,7780,99439,0.05277401894451961
2023-08-29,8060,10110,8050,8660,7207965,0.11311053984575836
2023-08-30,8510,8800,8320,8450,833795,-0.024249422632794504
2023-08-31,8430,8490,8090,8150,378084,-0.035502958579881616
2023-09-01,8030,8130,7860,7880,288592,-0.03312883435582825
2023-09-04,7810,8830,7750,8260,582355,0.048223350253807196
2023-09-05,8190,8700,8150,8430,235878,0.02058111380145289
