Date,Open,High,Low,Close,Volume,Change
2022-01-03,31000,31450,30850,31150,31775,0.0032206119162641045
2022-01-04,31150,31300,30850,31050,33518,-0.0032102728731941976
2022-01-05,31050,31350,30800,30900,51751,-0.004830917874396157
2022-01-06,30350,31150,30200,30200,66731,-0.02265372168284785
2022-01-07,30250,31850,30150,31850,88196,0.054635761589403975
2022-01-10,31850,31950,30600,30800,61868,-0.03296703296703296
2022-01-11,30800,30950,29950,30100,68609,-0.022727272727272707
2022-01-12,30150,30900,30050,30850,48815,0.024916943521594792
2022-01-13,30850,30900,30500,30550,52052,-0.00972447325769854
2022-01-14,30500,30500,29650,29700,83039,-0.02782324058919805
2022-01-17,29700,29950,28750,29100,79161,-0.02020202020202022
2022-01-18,29100,29600,28500,28500,64136,-0.020618556701030966
2022-01-19,27900,29000,27900,28550,43531,0.0017543859649122862
2022-01-20,28650,30800,28600,30500,120042,0.06830122591943955
2022-01-21,30000,30650,29850,30500,52577,0.0
2022-01-24,30450,30450,29550,29950,49241,-0.0180327868852459
2022-01-25,30000,30400,28800,29000,82460,-0.03171953255425708
2022-01-26,28750,29950,28400,28650,73819,-0.012068965517241348
2022-01-27,28700,28700,27100,27150,121503,-0.05235602094240843
2022-01-28,27200,29150,25800,29150,140249,0.07366482504604055
2022-02-03,29500,30950,29050,30500,111767,0.046312178387650116
2022-02-04,30500,30800,29850,30700,60128,0.006557377049180246
2022-02-07,30550,30550,29750,30000,57378,-0.0228013029315961
2022-02-08,30000,30350,29300,29600,67254,-0.013333333333333308
2022-02-09,29900,30900,29650,30900,85298,0.04391891891891886
2022-02-10,30950,31650,30500,31050,114401,0.004854368932038833
2022-02-11,30250,31900,30250,30700,96556,-0.011272141706924366
2022-02-14,30450,31050,29550,30500,69162,-0.006514657980456029
2022-02-15,30250,30900,30150,30200,36617,-0.00983606557377048
2022-02-16,30550,31600,30550,31550,82193,0.04470198675496695
2022-02-17,31600,35350,31600,34700,946503,0.09984152139461178
2022-02-18,34350,35500,34100,34900,299047,0.0057636887608070175
2022-02-21,34300,36650,34200,36550,492040,0.04727793696275073
2022-02-22,36000,37800,35950,36350,485318,-0.005471956224350261
2022-02-23,36250,36850,35650,36600,209532,0.00687757909215958
2022-02-24,36200,36300,34550,34550,308922,-0.05601092896174864
2022-02-25,35100,36200,34750,35400,172176,0.02460202604920414
2022-02-28,34850,35650,34350,35650,130344,0.007062146892655274
2022-03-02,35550,35750,34800,35650,110742,0.0
2022-03-03,35750,36300,35150,36250,99398,0.016830294530154388
2022-03-04,36000,36400,35300,35800,102128,-0.012413793103448256
2022-03-07,35350,35450,34200,34700,85228,-0.030726256983240274
2022-03-08,34000,34500,33600,33650,103067,-0.030259365994236287
2022-03-10,34050,35500,34050,34750,124364,0.03268945022288272
2022-03-11,34500,35350,34400,34650,60500,-0.0028776978417266452
2022-03-14,34650,34750,32250,32250,155004,-0.06926406926406925
2022-03-15,32250,32550,30950,31750,127625,-0.015503875968992276
2022-03-16,32050,33000,31800,32450,108295,0.022047244094488105
2022-03-17,32850,33200,32550,33100,74856,0.02003081664098616
2022-03-18,32750,33250,32250,33000,68245,-0.0030211480362537513
2022-03-21,33150,33400,32550,32800,60425,-0.0060606060606061
2022-03-22,32800,33500,32550,32800,56654,0.0
2022-03-23,32800,33250,31900,32200,130789,-0.018292682926829285
2022-03-24,32050,32300,31550,32250,101845,0.0015527950310558758
2022-03-25,32350,32400,31750,32200,56721,-0.0015503875968991832
2022-03-28,32200,32200,31450,31650,83904,-0.017080745341614856
2022-03-29,31600,32800,31600,32750,99030,0.034755134281200695
2022-03-30,32850,33600,32400,33600,155192,0.025954198473282508
2022-03-31,33450,33500,32550,32700,124580,-0.0267857142857143
2022-04-01,32600,34800,32450,34400,248082,0.051987767584097844
2022-04-04,34600,35300,34000,34750,144903,0.01017441860465107
2022-04-05,34850,37750,34200,36600,676403,0.05323741007194238
2022-04-06,36200,37800,36100,37300,443016,0.0191256830601092
2022-04-07,37450,37950,36100,36500,253084,-0.02144772117962468
2022-04-08,36500,36500,34550,35300,278061,-0.0328767123287671
2022-04-11,35300,36750,34500,36200,206178,0.025495750708215192
2022-04-12,35600,36400,35400,36300,105605,0.0027624309392264568
2022-04-13,36400,36900,35900,36600,88297,0.008264462809917328
2022-04-14,37400,37400,36050,36050,115342,-0.015027322404371546
2022-04-15,35600,36050,35100,35350,69819,-0.01941747572815533
2022-04-18,35400,36600,35150,36450,111545,0.03111739745403108
2022-04-19,36550,36650,36200,36650,64907,0.005486968449931462
2022-04-20,36600,36600,35800,36000,73373,-0.017735334242837686
2022-04-21,35950,36350,35850,35900,69284,-0.002777777777777768
2022-04-22,35550,35550,34500,34600,131702,-0.03621169916434541
2022-04-25,34000,34200,33400,33450,123122,-0.033236994219653204
2022-04-26,33700,33950,33100,33400,95978,-0.001494768310911776
2022-04-27,32200,33400,32200,33250,90977,-0.004491017964071808
2022-04-28,33300,34550,33250,33950,178988,0.021052631578947434
2022-04-29,34000,35900,33950,34500,153725,0.016200294550809957
2022-05-02,34250,34500,33650,34000,75255,-0.01449275362318836
2022-05-03,34150,34400,33800,33850,41584,-0.004411764705882337
2022-05-04,33600,34000,32800,32850,61118,-0.02954209748892167
2022-05-06,32600,32600,32050,32200,56977,-0.019786910197869156
2022-05-09,32100,32200,31150,31200,72411,-0.03105590062111796
2022-05-10,30500,31000,29850,30750,130852,-0.014423076923076872
2022-05-11,30650,31150,30100,31000,62807,0.008130081300812941
2022-05-12,30500,30850,29550,29600,82626,-0.04516129032258065
2022-05-13,29650,30700,29650,30700,60490,0.03716216216216206
2022-05-16,30800,31200,30250,30300,49798,-0.013029315960912058
2022-05-17,29850,30300,28750,29350,209448,-0.031353135313531344
2022-05-18,29800,29850,28600,29000,146313,-0.011925042589437829
2022-05-19,28150,28550,28150,28150,75926,-0.02931034482758621
2022-05-20,28200,28750,28100,28450,86058,0.010657193605683846
2022-05-23,28300,29500,28300,29500,119057,0.03690685413005279
2022-05-24,29500,29600,29050,29050,70388,-0.015254237288135575
2022-05-25,29000,29350,28850,29000,61268,-0.0017211703958691649
