Date,Open,High,Low,Close,Volume,Change
2022-01-03,20650,20950,20400,20750,117242,0.00728155339805836
2022-01-04,21050,22200,20950,22000,378005,0.06024096385542177
2022-01-05,21950,21950,20800,20800,178227,-0.054545454545454564
2022-01-06,20050,20600,19600,19800,134497,-0.04807692307692313
2022-01-07,19800,20300,19750,19800,71048,0.0
2022-01-10,19950,19950,19200,19700,81644,-0.005050505050505083
2022-01-11,19550,20550,19350,19500,79480,-0.010152284263959421
2022-01-12,19650,20200,19600,20100,37296,0.03076923076923066
2022-01-13,20400,20400,19500,19550,64749,-0.027363184079602032
2022-01-14,19150,19500,19100,19300,37682,-0.012787723785166238
2022-01-17,19300,19400,18900,18950,44732,-0.01813471502590669
2022-01-18,18750,19100,18350,18600,61872,-0.01846965699208447
2022-01-19,18300,20300,18200,19700,172485,0.05913978494623651
2022-01-20,19550,20250,19550,19850,79128,0.0076142131979695105
2022-01-21,20200,20400,19700,19750,98731,-0.005037783375314908
2022-01-24,19500,20000,19000,19100,49220,-0.032911392405063244
2022-01-25,18900,19400,18200,18250,94657,-0.04450261780104714
2022-01-26,18250,18500,17900,18200,47229,-0.002739726027397249
2022-01-27,18300,18800,17000,17250,98387,-0.052197802197802234
2022-01-28,17400,17850,16950,17600,81226,0.020289855072463725
2022-02-03,17800,18350,17750,18050,59607,0.02556818181818188
2022-02-04,18050,18300,17600,17950,50274,-0.005540166204986097
2022-02-07,18000,18400,17800,18400,36224,0.025069637883008422
2022-02-08,18150,18450,17950,18150,38956,-0.013586956521739135
2022-02-09,18200,18350,18000,18100,26498,-0.0027548209366391463
2022-02-10,18300,18300,17550,17900,37970,-0.011049723756906049
2022-02-11,17900,17950,17400,17400,38585,-0.027932960893854775
2022-02-14,17000,17100,16450,16500,43822,-0.051724137931034475
2022-02-15,16500,16700,15850,15950,47106,-0.033333333333333326
2022-02-16,16300,16800,16300,16750,34815,0.050156739811912265
2022-02-17,16750,17000,16200,16400,40664,-0.020895522388059695
2022-02-18,16000,16650,16000,16600,22890,0.012195121951219523
2022-02-21,16200,16600,16100,16500,24191,-0.0060240963855421326
2022-02-22,16200,16800,16000,16200,20854,-0.018181818181818188
2022-02-23,16200,16450,16050,16300,25658,0.006172839506172867
2022-02-24,15900,16150,15500,15800,59915,-0.030674846625766916
